node,labels
0,27.443
1,15.102
2,15.093
3,15.738
4,44.624
5,1.694
6,1.203
7,1.239
8,1.164
9,4.936
10,5.54
11,4.477
12,4.44
13,4.891
14,6.801
15,4.121
16,5.727
17,3.805
18,5.21
19,1.699
20,1.207
21,1.147
22,1.202
23,21.682
24,15.85
25,13.378
26,26.657
27,12.052
28,13.322
29,14.372
30,19.226
31,11.886
32,3.688
33,2.409
34,2.388
35,2.482
36,2.475
37,3.645
38,2.608
39,2.727
40,1.713
41,1.621
42,42.486
43,27.744
44,24.841
45,24.405
46,44.706
47,43.137
48,20.938
49,25.332
50,2.954
51,1.805
52,1.975
53,1.846
54,19.077
55,25.264
56,10.351
57,10.794
58,14.464
59,12.301
60,10.748
61,10.701
62,38.651
63,21.33
64,22.9
65,21.298
66,19.804
67,23.036
68,21.874
69,25.204
70,60.352
71,21.283
72,23.662
73,71.627
74,65.036
75,43.008
76,40.086
77,52.086
78,64.488
79,74.16
80,50.403
81,32.13
82,18.993
83,19.071
84,55.123
85,53.404
86,30.309
87,32.274
88,31.575
89,12.921
90,7.027
91,7.969
92,51.528
93,52.781
94,27.347
95,62.748
96,56.087
97,31.659
98,36.058
99,32.947
100,65.138
101,35.723
102,55.832
103,43.981
104,30.475
105,31.231
106,27.538
107,24.487
108,59.025
109,37.166
110,47.157
111,36.257
112,32.264
113,38.978
114,75.466
115,81.943
116,46.684
117,7.631
118,6.444
119,6.587
120,4.706
121,4.609
122,6.191
123,6.734
124,1.695
125,1.261
126,1.209
127,1.182
128,25.209
129,26.697
130,15.741
131,13.165
132,17.114
133,27.938
134,5.547
135,5.871
136,3.403
137,3.383
138,3.259
139,3.328
140,3.537
141,2.281
142,1.516
143,1.616
144,1.504
145,1.557
146,22.411
147,17.218
148,12.758
149,27.645
150,12.134
151,12.931
152,13.362
153,15.281
154,12.833
155,12.78
156,21.626
157,28.982
158,10.913
159,9.58
160,11.158
161,10.44
162,11.088
163,16.076
164,7.571
165,25.784
166,7.983
167,6.603
168,3.68
169,3.737
170,7.306
171,4.41
172,3.654
173,3.906
174,33.256
175,39.245
176,19.112
177,19.452
178,18.524
179,20.79
180,11.918
181,10.431
182,20.783
183,11.469
184,22.128
185,2.81
186,1.856
187,1.782
188,1.871
189,1.836
190,1.89
191,13.321
192,5.856
193,7.85
194,17.493
195,74.889
196,72.849
197,65.271
198,43.483
199,66.117
200,61.31
201,67.371
202,1.721
203,1.222
204,1.26
205,1.205
206,9.762
207,5.454
208,6.433
209,6.798
210,6.986
211,14.889
212,6.164
213,6.993
214,1.664
215,1.178
216,1.233
217,1.162
218,14.338
219,8.141
220,8.438
221,8.815
222,8.839
223,21.161
224,1.732
225,1.193
226,1.185
227,1.146
228,16.939
229,8.725
230,10.72
231,26.504
232,9.448
233,18.407
234,10.722
235,23.123
236,10.628
237,12.566
238,10.168
239,9.043
240,8.226
241,4.886
242,9.71
243,4.184
244,4.013
245,4.585
246,37.071
247,28.373
248,18.756
249,55.791
250,22.365
251,23.462
252,36.621
253,22.226
254,20.879
255,21.062
256,41.513
257,42.901
258,9.781
259,6.8
260,14.051
261,5.882
262,24.181
263,15.149
264,17.545
265,27.679
266,13.805
267,19.283
268,17.302
269,11.279
270,9.673
271,11.28
272,19.544
273,11.594
274,11.071
275,9.9
276,28.193
277,16.42
278,19.209
279,15.821
280,17.213
281,8.209
282,11.813
283,4.598
284,4.834
285,4.614
286,4.849
287,4.427
288,24.625
289,13.38
290,21.54
291,20.475
292,15.607
293,22.9
294,24.411
295,16.408
296,17.412
297,26.108
298,14.008
299,3.971
300,2.475
301,2.521
302,2.503
303,2.456
304,2.386
305,2.412
306,2.502
307,18.097
308,20.225
309,14.763
310,14.086
311,14.186
312,13.966
313,14.084
314,27.409
315,31.881
316,14.502
317,24.672
318,15.911
319,15.415
320,14.24
321,1.695
322,1.238
323,1.203
324,1.182
325,10.98
326,17.553
327,6.3
328,6.542
329,1.638
330,1.142
331,1.135
332,1.231
333,11.495
334,7.181
335,6.404
336,18.763
337,7.578
338,10.135
339,7.055
340,5.558
341,3.46
342,2.1
343,2.157
344,2.16
345,2.244
346,3.059
347,2.795
348,1.798
349,1.963
350,1.96
351,1.829
352,1.794
353,35.537
354,20.834
355,20.224
356,19.176
357,29.145
358,7.342
359,4.038
360,4.384
361,4.249
362,4.612
363,4.165
364,6.74
365,2.25
366,1.374
367,1.539
368,1.505
369,1.526
370,11.531
371,8.491
372,21.884
373,8.652
374,7.597
375,8.613
376,34.57
377,21.178
378,19.904
379,19.841
380,1.642
381,1.13
382,1.216
383,1.137
384,43.917
385,24.202
386,42.155
387,23.591
388,24.392
389,2.782
390,2.551
391,2.542
392,2.558
393,2.828
394,45.265
395,25.944
396,55.119
397,24.074
398,24.724
399,43.492
400,1.688
401,1.367
402,1.173
403,1.208
404,1.689
405,1.134
406,1.219
407,1.151
408,14.859
409,8.955
410,8.076
411,9.159
412,8.355
413,8.507
414,5.126
415,3.004
416,3.364
417,6.942
418,3.343
419,1.736
420,1.188
421,1.242
422,1.195
423,6.845
424,5.996
425,6.208
426,3.911
427,5.5
428,4.038
429,21.963
430,14.862
431,14.197
432,1.666
433,1.23
434,1.172
435,1.199
436,38.452
437,23.252
438,24.286
439,20.27
440,20.071
441,19.632
442,10.349
443,5.069
444,6.22
445,6.599
446,5.684
447,52.344
448,44.482
449,40.075
450,53.727
451,47.782
452,27.282
453,28.106
454,26.639
455,27.099
456,29.096
457,26.32
458,25.688
459,26.904
460,26.831
461,26.743
462,30.605
463,1.701
464,1.178
465,1.231
466,1.17
467,20.866
468,17.238
469,29.656
470,12.741
471,13.28
472,12.676
473,21.81
474,13.42
475,12.7
476,14.117
477,12.435
478,26.799
479,10.668
480,12.903
481,7.386
482,7.614
483,6.001
484,6.559
485,7.761
486,4.475
487,2.864
488,2.896
489,2.678
490,2.748
491,2.689
492,2.753
493,2.809
494,2.845
495,20.337
496,13.19
497,16.834
498,12.244
499,13.209
500,14.903
501,22.634
502,21.487
503,13.751
504,8.037
505,9.685
506,6.663
507,10.161
508,5.783
509,5.147
510,1.697
511,1.241
512,1.221
513,1.241
514,41.756
515,24.512
516,27.761
517,25.925
518,16.849
519,18.591
520,31.013
521,18.142
522,19.567
523,15.487
524,12.294
525,8.241
526,5.702
527,3.237
528,3.461
529,3.552
530,3.445
531,2.85
532,1.805
533,1.906
534,1.865
535,1.854
536,1.755
537,17.265
538,11.905
539,26.371
540,10.061
541,36.822
542,19.753
543,19.822
544,18.825
545,39.475
546,37.254
547,17.306
548,3.352
549,2.13
550,2.193
551,2.175
552,2.096
553,2.089
554,2.266
555,20.499
556,11.47
557,12.467
558,15.783
559,10.171
560,12.563
561,25.354
562,21.871
563,12.718
564,14.978
565,26.754
566,15.259
567,13.659
568,17.195
569,11.936
570,14.967
571,19.036
572,10.207
573,10.048
574,25.809
575,9.616
576,10.142
577,25.863
578,13.344
579,12.264
580,14.29
581,13.556
582,14.196
583,28.1
584,15.013
585,40.884
586,17.459
587,16.502
588,17.804
589,2.79
590,1.935
591,1.788
592,1.879
593,1.882
594,1.807
595,2.839
596,1.861
597,1.698
598,1.887
599,1.82
600,1.938
601,2.805
602,1.951
603,1.792
604,1.876
605,1.821
606,1.788
607,35.376
608,22.556
609,19.957
610,18.088
611,20.021
612,20.109
613,10.544
614,22.319
615,12.137
616,23.246
617,12.567
618,20.683
619,33.536
620,10.078
621,10.84
622,13.981
623,11.949
624,12.31
625,12.645
626,14.081
627,10.42
628,5.883
629,19.947
630,9.469
631,13.784
632,8.371
633,7.251
634,7.739
635,7.429
636,4.164
637,2.559
638,2.549
639,2.454
640,3.2
641,2.495
642,2.601
643,1.746
644,1.195
645,1.238
646,1.159
647,2.839
648,1.824
649,1.84
650,1.861
651,1.798
652,1.762
653,31.012
654,15.474
655,18.905
656,15.592
657,14.547
658,3.362
659,2.239
660,2.183
661,2.091
662,2.042
663,2.05
664,2.139
665,2.822
666,1.795
667,1.754
668,1.842
669,1.875
670,1.906
671,64.406
672,37.741
673,38.49
674,64.196
675,39.873
676,34.594
677,33.783
678,38.5
679,38.774
680,26.097
681,14.762
682,16.363
683,17.456
684,14.286
685,16.303
686,20.658
687,15.082
688,18.485
689,17.129
690,17.666
691,17.141
692,10.159
693,16.027
694,10.737
695,10.14
696,23.188
697,12.133
698,4.001
699,2.448
700,2.375
701,2.45
702,2.45
703,2.475
704,2.509
705,2.517
706,1.694
707,1.217
708,1.27
709,1.159
710,16.965
711,3.921
712,2.438
713,2.409
714,2.49
715,2.404
716,2.8
717,1.851
718,1.799
719,1.849
720,1.871
721,1.886
722,26.558
723,15.55
724,16.853
725,54.599
726,29.467
727,32.356
728,29.5
729,51.281
730,1.675
731,1.149
732,1.258
733,1.235
734,48.624
735,29.866
736,48.532
737,2.866
738,1.821
739,1.792
740,1.823
741,1.768
742,1.859
743,6.323
744,4.211
745,7.492
746,3.706
747,3.895
748,5.39
749,2.87
750,1.915
751,1.773
752,1.862
753,1.872
754,1.896
755,50.655
756,29.218
757,55.185
758,30.46
759,3.392
760,2.126
761,2.283
762,2.133
763,2.13
764,2.232
765,2.169
766,12.463
767,18.087
768,8.507
769,7.521
770,6.583
771,7.031
772,7.151
773,8.036
774,4.411
775,2.687
776,2.811
777,4.079
778,3.879
779,2.772
780,58.866
781,33.065
782,30.821
783,33.958
784,34.094
785,28.73
786,2.232
787,1.527
788,1.576
789,1.539
790,1.52
791,23.678
792,15.196
793,14.164
794,15.769
795,15.964
796,3.729
797,2.565
798,3.762
799,2.489
800,2.599
801,2.356
802,3.906
803,2.479
804,2.54
805,2.403
806,2.359
807,35.585
808,23.429
809,22.063
810,22.704
811,22.515
812,2.878
813,1.716
814,1.858
815,1.848
816,1.86
817,1.823
818,7.958
819,4.767
820,4.84
821,4.857
822,4.952
823,4.759
824,4.629
825,4.775
826,4.725
827,4.989
828,4.602
829,4.628
830,4.877
831,4.74
832,4.782
833,2.804
834,1.89
835,1.858
836,1.85
837,1.894
838,1.828
839,1.685
840,1.198
841,1.197
842,1.197
843,3.962
844,2.44
845,2.5
846,2.421
847,2.426
848,3.728
849,43.472
850,26.803
851,25.616
852,25.766
853,28.971
854,41.991
855,15.467
856,14.501
857,11.106
858,12.244
859,8.072
860,7.988
861,18.661
862,16.744
863,10.488
864,20.056
865,16.244
866,28.641
867,18.17
868,17.144
869,25.335
870,17.566
871,2.816
872,1.857
873,1.903
874,1.861
875,1.794
876,1.771
877,15.853
878,9.09
879,12.889
880,8.24
881,2.798
882,1.92
883,1.749
884,1.865
885,1.703
886,1.799
887,41.969
888,26.505
889,25.773
890,27.394
891,49.355
892,55.638
893,3.095
894,3.007
895,2.993
896,2.942
897,4.664
898,2.799
899,2.826
900,2.814
