node,labels
0,27.443
1,15.102
2,15.093
3,15.738
4,44.624
5,21.682
6,15.85
7,13.378
8,26.657
9,12.052
10,13.322
11,14.372
12,19.226
13,11.886
14,42.486
15,27.744
16,24.841
17,24.405
18,44.706
19,43.137
20,20.938
21,25.332
22,19.077
23,25.264
24,10.351
25,10.794
26,14.464
27,12.301
28,10.748
29,10.701
30,38.651
31,21.33
32,22.9
33,21.298
34,19.804
35,23.036
36,21.874
37,25.204
38,60.352
39,21.283
40,23.662
41,71.627
42,65.036
43,43.008
44,40.086
45,52.086
46,64.488
47,74.16
48,50.403
49,32.13
50,18.993
51,19.071
52,55.123
53,53.404
54,30.309
55,32.274
56,31.575
57,12.921
58,7.027
59,7.969
60,51.528
61,52.781
62,27.347
63,62.748
64,56.087
65,31.659
66,36.058
67,32.947
68,65.138
69,35.723
70,55.832
71,43.981
72,30.475
73,31.231
74,27.538
75,24.487
76,59.025
77,37.166
78,47.157
79,36.257
80,32.264
81,38.978
82,75.466
83,81.943
84,46.684
85,25.209
86,26.697
87,15.741
88,13.165
89,17.114
90,27.938
91,22.411
92,17.218
93,12.758
94,27.645
95,12.134
96,12.931
97,13.362
98,15.281
99,12.833
100,12.78
101,21.626
102,28.982
103,10.913
104,9.58
105,11.158
106,10.44
107,11.088
108,16.076
109,7.571
110,25.784
111,7.983
112,6.603
113,3.68
114,3.737
115,7.306
116,4.41
117,3.654
118,3.906
119,33.256
120,39.245
121,19.112
122,19.452
123,18.524
124,20.79
125,11.918
126,10.431
127,20.783
128,11.469
129,22.128
130,13.321
131,5.856
132,7.85
133,17.493
134,74.889
135,72.849
136,65.271
137,43.483
138,66.117
139,61.31
140,67.371
141,9.762
142,5.454
143,6.433
144,6.798
145,6.986
146,14.889
147,6.164
148,6.993
149,14.338
150,8.141
151,8.438
152,8.815
153,8.839
154,21.161
155,16.939
156,8.725
157,10.72
158,26.504
159,9.448
160,18.407
161,10.722
162,23.123
163,10.628
164,12.566
165,10.168
166,9.043
167,8.226
168,4.886
169,9.71
170,4.184
171,4.013
172,4.585
173,37.071
174,28.373
175,18.756
176,55.791
177,22.365
178,23.462
179,36.621
180,22.226
181,20.879
182,21.062
183,41.513
184,42.901
185,9.781
186,6.8
187,14.051
188,5.882
189,24.181
190,15.149
191,17.545
192,27.679
193,13.805
194,19.283
195,17.302
196,11.279
197,9.673
198,11.28
199,19.544
200,11.594
201,11.071
202,9.9
203,28.193
204,16.42
205,19.209
206,15.821
207,17.213
208,8.209
209,11.813
210,4.598
211,4.834
212,4.614
213,4.849
214,4.427
215,24.625
216,13.38
217,21.54
218,20.475
219,15.607
220,22.9
221,24.411
222,16.408
223,17.412
224,26.108
225,14.008
226,18.097
227,20.225
228,14.763
229,14.086
230,14.186
231,13.966
232,14.084
233,27.409
234,31.881
235,14.502
236,24.672
237,15.911
238,15.415
239,14.24
240,10.98
241,17.553
242,6.3
243,6.542
244,11.495
245,7.181
246,6.404
247,18.763
248,7.578
249,10.135
250,7.055
251,5.558
252,35.537
253,20.834
254,20.224
255,19.176
256,29.145
257,11.531
258,8.491
259,21.884
260,8.652
261,7.597
262,8.613
263,34.57
264,21.178
265,19.904
266,19.841
267,43.917
268,24.202
269,42.155
270,23.591
271,24.392
272,45.265
273,25.944
274,55.119
275,24.074
276,24.724
277,43.492
278,14.859
279,8.955
280,8.076
281,9.159
282,8.355
283,8.507
284,21.963
285,14.862
286,14.197
287,38.452
288,23.252
289,24.286
290,20.27
291,20.071
292,19.632
293,10.349
294,5.069
295,6.22
296,6.599
297,5.684
298,52.344
299,44.482
300,40.075
301,53.727
302,47.782
303,27.282
304,28.106
305,26.639
306,27.099
307,29.096
308,26.32
309,25.688
310,26.904
311,26.831
312,26.743
313,30.605
314,20.866
315,17.238
316,29.656
317,12.741
318,13.28
319,12.676
320,21.81
321,13.42
322,12.7
323,14.117
324,12.435
325,26.799
326,10.668
327,12.903
328,7.386
329,7.614
330,6.001
331,6.559
332,7.761
333,20.337
334,13.19
335,16.834
336,12.244
337,13.209
338,14.903
339,22.634
340,21.487
341,13.751
342,8.037
343,9.685
344,6.663
345,10.161
346,5.783
347,5.147
348,41.756
349,24.512
350,27.761
351,25.925
352,16.849
353,18.591
354,31.013
355,18.142
356,19.567
357,15.487
358,12.294
359,8.241
360,17.265
361,11.905
362,26.371
363,10.061
364,36.822
365,19.753
366,19.822
367,18.825
368,39.475
369,37.254
370,17.306
371,20.499
372,11.47
373,12.467
374,15.783
375,10.171
376,12.563
377,25.354
378,21.871
379,12.718
380,14.978
381,26.754
382,15.259
383,13.659
384,17.195
385,11.936
386,14.967
387,19.036
388,10.207
389,10.048
390,25.809
391,9.616
392,10.142
393,25.863
394,13.344
395,12.264
396,14.29
397,13.556
398,14.196
399,28.1
400,15.013
401,40.884
402,17.459
403,16.502
404,17.804
405,35.376
406,22.556
407,19.957
408,18.088
409,20.021
410,20.109
411,10.544
412,22.319
413,12.137
414,23.246
415,12.567
416,20.683
417,33.536
418,10.078
419,10.84
420,13.981
421,11.949
422,12.31
423,12.645
424,14.081
425,10.42
426,5.883
427,19.947
428,9.469
429,13.784
430,8.371
431,7.251
432,7.739
433,7.429
434,31.012
435,15.474
436,18.905
437,15.592
438,14.547
439,64.406
440,37.741
441,38.49
442,64.196
443,39.873
444,34.594
445,33.783
446,38.5
447,38.774
448,26.097
449,14.762
450,16.363
451,17.456
452,14.286
453,16.303
454,20.658
455,15.082
456,18.485
457,17.129
458,17.666
459,17.141
460,10.159
461,16.027
462,10.737
463,10.14
464,23.188
465,12.133
466,16.965
467,26.558
468,15.55
469,16.853
470,54.599
471,29.467
472,32.356
473,29.5
474,51.281
475,48.624
476,29.866
477,48.532
478,6.323
479,4.211
480,7.492
481,3.706
482,3.895
483,5.39
484,50.655
485,29.218
486,55.185
487,30.46
488,12.463
489,18.087
490,8.507
491,7.521
492,6.583
493,7.031
494,7.151
495,8.036
496,58.866
497,33.065
498,30.821
499,33.958
500,34.094
501,28.73
502,23.678
503,15.196
504,14.164
505,15.769
506,15.964
507,35.585
508,23.429
509,22.063
510,22.704
511,22.515
512,43.472
513,26.803
514,25.616
515,25.766
516,28.971
517,41.991
518,15.467
519,14.501
520,11.106
521,12.244
522,8.072
523,7.988
524,18.661
525,16.744
526,10.488
527,20.056
528,16.244
529,28.641
530,18.17
531,17.144
532,25.335
533,17.566
534,15.853
535,9.09
536,12.889
537,8.24
538,41.969
539,26.505
540,25.773
541,27.394
542,49.355
543,55.638
544,33.692
545,18.338
546,16.108
547,9.222
548,9.983
549,15.817
550,9.531
551,23.265
552,12.94
553,13.793
554,19.568
555,12.814
556,27.306
557,33.709
558,49.107
559,21.227
560,19.181
561,16.592
562,17.997
563,62.634
564,43.892
565,36.931
566,44.243
567,71.295
568,39.864
569,51.114
570,45.796
571,15.129
572,9.052
573,7.55
574,10.306
575,10.227
576,14.146
577,7.38
578,7.405
579,6.526
580,8.318
581,6.766
582,6.776
583,24.074
584,14.898
585,14.055
586,16.437
587,40.365
588,14.438
589,17.266
590,13.146
591,9.909
592,8.743
593,51.627
594,28.23
595,29.899
596,29.986
597,37.852
598,25.442
599,22.883
600,24.99
601,23.179
602,6.142
603,5.085
604,9.299
605,4.272
606,4.219
607,4.024
608,16.869
609,9.043
610,10.137
611,10.558
612,9.82
613,8.168
614,12.065
615,4.678
616,4.27
617,10.033
618,5.91
619,6.511
620,13.138
621,6.435
622,5.55
623,6.353
624,9.927
625,4.371
626,5.199
627,6.228
628,5.205
629,6.305
630,10.623
631,4.118
632,3.9
633,7.451
634,5.017
635,3.411
636,3.683
637,10.545
638,7.297
639,4.307
640,3.941
641,9.537
642,4.035
643,4.307
644,18.469
645,19.444
646,10.669
647,11.004
648,22.861
649,9.967
650,12.155
651,6.354
652,6.538
653,5.787
654,6.028
655,57.352
656,32.432
657,32.235
658,33.761
659,31.254
660,17.932
661,10.879
662,10.313
663,10.71
664,11.449
665,10.252
666,10.489
667,15.554
668,8.853
669,8.999
670,9.032
671,9.884
672,10.078
673,9.486
674,9.392
675,9.408
676,10.97
677,5.531
678,7.073
679,5.352
680,6.441
681,31.406
682,26.117
683,18.502
684,14.857
685,60.556
686,34.937
687,33.717
688,34.894
689,39.116
690,19.705
691,20.096
692,23.38
693,33.164
694,16.202
695,10.345
696,20.313
697,10.6
698,7.815
699,10.827
700,5.529
701,3.941
702,4.915
703,3.995
704,48.603
705,26.922
706,30.725
707,28.255
708,13.242
709,6.897
710,7.626
711,8.077
712,16.921
713,14.114
714,10.231
715,11.369
716,12.058
717,7.594
718,4.392
719,4.766
720,4.835
721,4.44
722,42.116
723,33.513
724,24.676
725,25.116
726,25.824
727,24.937
728,26.33
729,9.576
730,5.848
731,6.364
732,5.402
733,6.497
734,14.134
735,6.1
736,55.324
737,30.38
738,30.212
739,13.978
740,8.03
741,8.271
742,7.283
743,44.304
744,24.203
745,39.66
746,24.516
747,25.377
748,25.076
749,27.518
750,30.89
751,28.471
752,27.944
753,28.506
754,26.992
755,28.563
756,30.879
757,17.164
758,17.265
759,18.359
760,16.989
761,31.129
762,22.216
763,13.449
764,8.493
765,10.354
766,8.891
767,7.915
768,22.953
769,13.269
770,12.459
771,12.173
772,13.683
773,14.356
774,9.656
775,8.892
776,22.405
777,13.455
778,53.09
779,27.067
780,29.101
781,40.6
782,27.482
783,9.503
784,5.52
785,5.821
786,4.937
787,5.043
788,23.88
789,12.326
790,8.199
791,7.913
792,8.004
793,40.254
794,22.668
795,24.114
796,29.445
797,15.004
798,19.844
799,19.338
800,19.619
801,30.64
802,17.08
803,16.715
804,6.264
805,3.571
806,4.41
807,3.877
808,40.396
809,18.407
810,21.535
811,21.039
812,21.492
813,11.358
814,11.998
815,10.053
816,32.998
817,20.292
818,22.541
819,29.762
820,17.303
821,17.2
822,17.647
823,15.242
824,9.511
825,9.918
826,8.04
827,39.789
828,23.866
829,21.129
830,22.704
831,22.716
832,23.724
833,25.053
834,15.968
835,8.545
836,8.459
837,9.936
838,8.359
839,9.074
840,8.12
841,9.688
842,8.255
843,16.296
844,11.45
845,9.505
846,9.589
847,49.702
848,27.402
849,28.239
850,55.906
851,29.952
852,30.396
853,32.297
854,33.911
855,18.991
856,28.979
857,21.408
858,23.852
859,14.829
860,13.747
861,12.752
862,25.872
863,19.443
864,15.777
865,17.257
866,14.813
867,15.283
868,16.096
869,16.124
870,17.186
871,14.044
872,16.205
873,15.567
874,11.629
875,8.891
876,7.888
877,8.458
878,5.072
879,5.059
880,5.237
881,5.125
882,34.015
883,18.093
884,20.729
885,12.832
886,7.616
887,8.075
888,7.989
889,7.964
890,7.733
891,7.0
892,7.51
893,7.194
894,7.593
895,6.639
896,9.506
897,4.765
898,5.613
899,5.197
900,3.145
