node,labels
0,2.471
1,4.325
2,19.862
3,9.595
4,1.844
5,9.37
6,8.148
7,8.701
8,1.254
9,2.13
10,14.358
11,2.561
12,2.95
13,3.719
14,1.389
15,14.797
16,2.356
17,12.414
18,3.716
19,0.595
20,0.926
21,0.785
22,1.749
23,4.851
24,0.904
25,0.585
26,2.126
27,0.726
28,2.997
29,3.02
30,4.165
31,9.161
32,1.967
33,2.509
34,2.34
35,0.316
36,0.918
37,0.809
38,1.48
39,2.937
40,0.185
41,0.246
42,0.272
43,0.92
44,0.186
45,0.411
46,0.54
47,1.491
48,5.82
49,0.5
50,1.479
51,2.541
52,1.875
53,2.286
54,3.849
55,3.467
56,3.244
57,1.174
58,1.888
59,2.717
60,0.564
61,2.152
62,6.689
63,1.784
64,10.743
65,1.89
66,9.831
67,9.37
68,2.408
69,4.077
70,4.885
71,2.911
72,0.17
73,0.393
74,0.665
75,0.386
76,0.247
77,0.263
78,0.206
79,0.329
80,1.632
81,1.173
82,1.615
83,1.776
84,0.884
85,1.984
86,1.549
87,1.414
88,1.48
89,2.458
90,2.066
91,3.325
92,2.205
93,1.635
94,1.642
95,1.685
96,1.535
97,0.859
98,1.333
99,1.31
100,1.695
101,6.207
102,8.852
103,2.111
104,1.297
105,2.795
106,0.978
107,0.1
108,1.554
109,0.138
110,2.135
111,1.762
112,1.705
113,2.06
114,0.721
115,2.543
116,7.548
117,1.676
118,1.405
119,5.177
120,3.949
121,1.892
122,1.836
123,1.179
124,1.431
125,2.129
126,1.193
127,1.716
128,1.443
129,2.578
130,1.852
131,1.666
132,1.386
133,1.958
134,1.452
135,1.232
136,1.741
137,1.633
138,1.675
139,3.442
140,1.705
141,2.205
142,1.687
143,0.779
144,1.014
145,0.878
146,1.143
147,1.09
148,0.885
149,0.962
150,0.996
151,1.039
152,1.414
153,1.341
154,3.714
155,1.106
156,0.686
157,0.642
158,3.075
159,0.186
160,0.198
161,0.196
162,1.29
163,0.667
164,2.685
165,2.432
166,5.95
167,2.14
168,3.425
169,1.43
170,3.249
171,2.802
172,2.363
173,5.914
174,1.439
175,2.038
176,3.559
177,2.256
178,1.949
179,1.146
180,3.342
181,1.517
182,1.392
183,2.34
184,2.599
185,1.047
186,7.242
187,2.068
188,1.578
189,0.499
190,2.651
191,1.302
192,8.15
193,0.995
194,0.874
195,1.707
196,1.893
197,2.924
198,1.642
199,1.682
200,0.767
201,1.072
202,1.031
203,2.197
204,2.424
205,4.63
206,3.357
207,0.283
208,1.653
209,1.923
210,2.073
211,2.678
212,2.24
213,1.112
214,1.328
215,0.611
216,0.33
217,1.058
218,1.076
219,4.407
220,1.791
221,2.588
222,2.374
223,1.189
224,3.319
225,2.128
226,1.148
227,1.709
228,0.939
229,3.527
230,4.815
231,2.508
232,0.642
233,0.815
234,1.072
235,3.177
236,2.076
237,1.484
238,1.311
239,0.28
240,1.76
241,1.19
242,1.503
243,1.635
244,1.355
245,4.759
246,1.855
247,1.837
248,2.682
249,1.534
250,1.495
251,1.495
252,1.801
253,2.177
254,1.028
255,0.486
256,1.182
257,1.187
258,1.11
259,1.398
260,0.946
261,1.437
262,2.098
263,1.002
264,1.779
265,1.69
266,1.48
267,1.718
268,0.928
269,1.206
270,0.865
271,1.097
272,0.322
273,0.935
274,2.327
275,0.639
276,2.874
277,2.313
278,0.134
279,0.673
280,3.833
281,1.698
282,1.303
283,2.742
284,3.277
285,3.519
286,1.702
287,0.787
288,0.996
289,1.969
290,0.369
291,1.963
292,2.731
293,4.339
294,2.076
295,1.296
296,3.54
297,5.456
298,1.669
299,5.305
300,2.12
301,1.172
302,0.042
303,0.15
304,1.003
305,0.796
306,1.884
307,2.046
308,1.587
309,2.619
310,2.416
311,2.694
312,1.384
313,4.858
314,2.283
315,1.075
316,0.854
317,1.084
318,2.744
319,1.038
320,1.034
321,1.22
322,1.415
323,1.28
324,2.496
325,2.627
326,2.342
327,0.734
328,3.017
329,1.616
330,2.84
331,2.883
332,3.61
333,1.049
334,2.234
335,0.862
336,1.527
337,1.37
338,1.461
339,2.315
340,1.436
341,1.274
342,1.392
343,1.91
344,5.647
345,1.551
346,3.216
347,2.765
348,1.771
349,2.737
350,4.154
351,1.967
352,1.404
353,0.558
354,0.684
355,1.583
356,2.447
357,0.902
358,0.292
359,0.483
360,1.67
361,1.399
362,4.47
363,1.634
364,3.422
365,2.896
366,1.57
367,1.21
368,0.606
369,0.799
370,1.316
371,1.052
372,1.004
373,0.443
374,0.447
375,1.456
376,0.975
377,0.826
378,0.664
379,0.867
380,0.761
381,0.996
382,1.72
383,1.862
384,0.559
385,2.092
386,0.172
387,1.983
388,1.271
389,1.402
390,2.97
391,0.998
392,1.237
393,1.103
394,1.134
395,1.044
396,1.042
397,1.186
398,0.892
399,0.884
400,1.176
401,0.771
402,1.275
403,1.442
404,2.131
405,1.343
406,2.254
407,1.559
408,1.041
409,1.343
410,0.735
411,1.774
412,1.919
413,1.641
414,1.036
415,1.262
416,1.076
417,0.971
418,1.179
419,1.049
420,0.792
421,0.679
422,0.613
423,1.585
424,2.552
425,1.18
426,1.24
427,2.081
428,1.239
429,1.114
430,1.248
431,0.907
432,0.935
433,0.312
434,0.359
435,0.344
436,1.08
437,0.826
438,0.435
439,0.975
440,0.442
441,0.339
442,0.366
443,0.545
444,0.12
445,0.202
446,0.567
447,0.576
448,0.352
449,0.172
450,0.116
451,0.035
452,0.041
