node,labels
0,19.06
1,28.914
2,56.172
3,47.816
4,48.197
5,18.942
6,29.561
7,22.833
8,28.579
9,21.942
10,12.204
11,12.025
12,53.787
13,49.057
14,25.613
15,36.382
16,16.037
17,20.488
18,22.852
19,28.648
20,28.6
21,19.675
22,19.677
23,22.46
24,21.653
25,22.165
26,23.951
27,18.845
28,50.204
29,49.349
30,23.289
31,26.697
32,24.269
33,24.587
34,28.035
35,13.092
36,15.395
37,22.61
38,23.01
39,27.029
40,22.664
41,21.825
42,17.415
43,45.152
44,22.412
45,14.951
46,17.111
47,19.497
48,27.978
49,25.695
50,27.596
51,23.659
52,20.076
53,23.553
54,11.947
55,46.98
56,29.208
57,11.725
58,21.979
59,25.191
60,45.955
61,13.984
62,17.918
63,29.894
64,28.003
65,17.872
66,19.314
67,14.712
68,22.143
69,19.093
70,25.082
71,25.823
72,19.798
73,18.112
74,8.778
75,6.285
76,8.48
77,22.932
78,17.841
79,18.883
80,25.347
81,23.644
82,24.376
83,5.798
84,26.723
85,29.646
86,23.6
87,19.684
88,10.255
89,8.913
90,25.79
91,11.981
92,5.432
93,13.499
94,10.421
95,38.092
96,26.563
97,21.002
98,19.305
99,16.445
100,36.093
101,16.291
102,11.052
103,16.877
104,9.604
105,21.882
106,21.288
107,13.445
108,6.307
109,17.021
110,9.17
111,24.133
112,38.167
113,38.989
114,16.59
115,16.771
116,16.77
117,54.213
118,21.001
119,8.072
120,11.236
121,10.889
122,1.812
123,30.473
124,19.085
125,16.864
126,21.553
127,20.073
128,8.352
129,23.99
130,11.477
131,13.89
132,6.846
133,11.835
134,10.636
135,22.449
136,9.737
137,12.049
138,7.511
139,10.885
140,8.732
141,14.464
142,21.117
143,23.931
144,10.229
145,9.555
146,4.152
147,8.655
148,14.311
149,26.122
150,11.371
151,30.519
152,17.506
153,41.693
154,5.848
155,14.881
156,31.061
157,8.244
158,5.761
159,8.738
160,7.533
161,10.73
162,11.616
163,25.109
164,29.211
165,11.974
166,12.635
167,17.947
168,15.98
169,13.352
170,27.754
171,17.127
172,23.66
173,19.918
174,20.204
175,11.778
176,27.227
177,12.445
178,34.596
179,12.93
180,13.955
181,34.327
182,27.165
183,18.224
184,12.461
185,12.972
186,6.986
187,25.799
188,34.211
189,34.76
190,17.463
191,11.77
192,19.04
193,13.667
194,14.907
195,24.611
196,23.175
197,23.628
198,10.493
199,10.078
200,11.798
201,6.712
202,32.089
203,3.251
204,13.613
205,34.507
206,9.757
207,22.046
208,2.525
209,19.97
210,6.034
211,21.935
212,2.96
213,2.754
214,22.959
215,16.909
216,26.384
217,25.665
218,22.736
219,27.005
220,25.174
221,30.603
222,18.558
223,16.722
224,17.634
225,12.599
226,9.764
227,10.957
228,9.9
229,8.972
230,9.159
231,11.121
232,8.765
233,23.549
234,6.377
235,2.358
236,17.047
237,26.363
238,17.001
239,5.373
240,6.789
241,8.055
242,18.808
243,9.785
244,7.435
245,19.782
246,15.098
247,15.319
248,14.245
249,14.704
250,11.224
251,9.682
252,6.156
253,6.101
254,11.935
255,16.195
256,13.254
257,6.616
258,16.071
259,7.085
260,10.683
261,36.335
262,10.855
263,9.678
264,16.173
265,15.428
266,10.898
267,18.276
268,12.69
269,1.511
270,1.578
271,12.088
272,10.204
273,9.1
274,10.163
275,4.457
276,10.443
277,11.988
278,1.359
279,14.471
280,4.92
281,8.529
282,4.664
283,4.085
284,16.363
285,3.544
286,2.707
287,3.737
288,3.614
289,3.223
290,3.43
291,3.075
292,3.272
293,4.378
294,3.986
295,2.566
296,2.53
