node,labels
0,15.719
1,11.785
2,12.327
3,16.111
4,14.014
5,11.712
6,29.418
7,17.009
8,30.964
9,29.514
10,14.761
11,28.037
12,19.706
13,7.692
14,11.817
15,53.19
16,48.976
17,30.615
18,29.168
19,17.486
20,21.463
21,50.38
22,58.066
23,35.112
24,11.143
25,18.504
26,33.273
27,37.717
28,35.804
29,12.248
30,35.057
31,8.316
32,9.852
33,8.509
34,41.825
35,14.809
36,10.356
37,31.667
38,5.287
39,3.245
40,1.789
41,31.117
42,4.443
43,4.825
44,25.448
45,0.185
46,6.784
47,6.837
48,6.155
49,2.013
50,6.527
51,3.72
52,35.485
53,57.761
54,50.703
55,9.563
56,5.429
57,56.041
58,55.09
59,2.985
60,54.184
61,12.798
62,48.211
63,53.416
64,23.961
65,3.827
66,37.956
67,39.369
68,6.599
69,36.122
70,36.199
71,24.737
72,35.819
73,31.873
74,32.424
75,40.252
76,28.59
77,48.068
78,57.77
79,58.81
80,56.474
81,30.253
82,33.602
83,23.366
84,30.976
85,41.593
86,31.35
87,40.382
88,55.204
89,55.017
90,50.839
91,56.204
92,56.201
93,31.153
94,31.664
95,56.743
96,38.769
97,44.315
98,50.837
99,43.714
100,17.987
101,20.388
102,17.839
103,22.805
104,23.625
105,45.154
106,37.404
107,52.658
108,33.21
109,42.031
110,32.991
111,20.741
112,11.746
113,22.242
114,15.892
115,25.269
116,51.216
117,51.154
118,49.172
119,31.16
120,28.465
121,34.05
122,43.342
123,39.197
124,20.093
125,25.801
126,18.131
127,23.86
128,32.812
129,49.329
130,5.115
131,41.73
132,29.418
133,11.863
134,4.374
135,9.44
136,44.329
137,30.671
138,18.003
139,50.449
140,51.303
141,48.346
142,48.224
143,30.801
144,19.086
145,29.065
146,17.196
147,11.23
148,46.813
149,44.468
150,39.199
151,28.364
152,23.373
153,21.204
154,43.813
155,43.042
156,35.777
157,14.635
158,46.825
159,13.676
160,39.691
161,30.27
162,27.128
163,24.51
164,30.359
165,32.848
166,27.811
167,24.446
168,29.758
169,29.919
170,25.977
171,0.367
172,17.639
173,28.341
174,37.0
175,44.829
176,52.519
177,47.583
178,26.353
179,35.531
180,34.631
181,22.273
182,41.559
183,30.44
184,37.743
185,19.29
186,22.209
187,25.874
188,18.756
189,49.529
190,24.131
191,20.288
192,31.72
193,11.105
194,16.927
195,13.593
196,13.984
197,38.946
198,31.741
199,38.935
200,32.634
201,18.816
202,10.851
203,11.007
204,8.866
