node,labels
0,0.259
1,0.268
2,0.283
3,0.226
4,0.235
5,0.26
6,0.201
7,0.292
8,0.334
9,0.322
10,0.325
11,0.647
12,0.045
13,1.452
14,0.221
15,0.57
16,6.547
17,0.565
18,7.235
19,22.841
20,0.046
21,0.273
22,1.122
23,0.807
24,1.226
25,123.428
26,0.147
27,0.143
28,0.18
29,0.196
30,0.049
31,1.044
32,1.364
33,2.554
34,1.36
35,0.766
36,2.542
37,1.057
38,2.28
39,2.303
40,2.789
41,1.711
42,0.639
43,0.982
44,1.162
45,1.631
46,1.314
47,0.317
48,1.53
49,0.522
50,2.067
51,1.477
52,0.941
53,1.33
54,1.264
55,3.636
56,1.273
57,1.736
58,1.916
59,0.694
60,0.902
61,0.652
62,0.975
63,0.922
64,0.928
65,0.946
66,0.921
67,0.773
68,0.679
69,0.662
70,0.331
71,0.294
72,0.305
73,0.263
74,0.151
75,0.294
76,0.292
77,0.13
78,0.27
79,0.19
80,0.188
81,0.234
82,0.204
83,0.228
84,0.044
85,0.053
86,0.092
87,0.046
88,0.19
89,0.146
90,0.102
91,0.09
92,0.099
93,0.412
94,0.847
95,0.27
96,0.593
97,0.257
98,0.174
99,0.308
100,0.144
101,0.521
102,0.079
103,0.075
104,0.717
105,0.082
106,0.116
107,0.202
108,0.436
109,1.21
110,0.301
111,0.057
112,10.046
113,17.171
114,7.101
115,14.933
116,26.219
117,16.511
118,8.56
119,27.612
120,3.891
121,25.577
122,18.685
123,21.601
124,22.887
125,10.873
126,20.007
127,18.898
128,19.489
129,15.529
130,63.653
131,16.428
132,30.531
133,15.869
134,17.427
135,10.499
136,18.702
137,14.625
138,17.32
139,22.286
140,23.028
141,15.202
142,19.071
143,15.779
144,11.662
145,18.38
146,19.608
147,22.576
148,12.571
149,1.403
150,12.991
151,4.497
152,1.351
153,0.417
154,0.333
155,0.21
156,0.445
157,0.306
158,0.459
159,0.457
160,0.242
161,0.199
162,0.768
163,12.125
164,1.415
165,133.813
166,0.522
167,1.589
168,129.747
169,3.01
170,0.468
171,0.151
172,0.17
173,0.144
174,0.15
175,66.512
176,129.705
177,34.903
178,127.292
179,133.586
180,11.782
181,124.456
182,18.087
183,114.806
184,126.091
185,132.393
186,127.318
187,131.666
188,129.755
189,128.75
190,136.992
191,16.198
192,27.453
193,28.24
194,129.257
195,137.922
196,22.905
197,129.26
198,14.293
199,129.454
200,87.293
201,127.399
202,125.511
203,110.28
204,130.968
205,129.283
206,132.737
207,126.102
208,125.359
209,114.999
210,124.185
211,132.166
212,133.864
213,131.192
214,132.818
215,104.503
216,134.258
217,131.498
218,127.828
219,132.113
220,134.347
221,125.741
222,123.184
223,119.792
224,129.214
225,119.396
226,132.3
227,131.503
228,127.002
229,102.277
230,134.575
231,132.018
232,119.654
233,133.424
234,133.224
235,134.069
236,131.939
237,133.644
238,130.514
239,130.656
240,123.106
241,43.529
242,125.688
243,123.494
244,108.096
245,75.005
246,136.641
247,136.325
248,127.906
249,108.642
250,124.206
251,117.709
252,124.077
253,134.342
254,11.906
255,6.155
256,8.015
257,57.513
258,3.309
259,96.274
260,98.045
261,57.429
262,78.67
263,85.104
264,84.682
265,96.161
266,71.782
267,73.602
268,82.712
269,24.887
270,75.033
271,100.536
272,65.227
273,100.252
274,78.122
275,85.758
276,55.273
277,89.41
278,99.585
279,65.717
280,64.076
281,90.158
282,86.875
283,91.753
284,110.773
285,48.369
286,103.134
287,45.686
288,93.415
289,84.273
290,65.089
291,96.087
292,39.992
293,86.987
294,99.025
295,103.662
296,89.584
297,21.991
298,66.416
299,86.381
300,114.022
301,114.709
302,94.264
303,93.829
304,54.58
305,92.035
306,116.477
307,78.594
308,91.846
309,93.682
310,112.72
