node,labels
0,0.647
1,0.045
2,1.452
3,0.221
4,0.57
5,6.547
6,0.565
7,7.235
8,22.841
9,0.046
10,0.273
11,1.122
12,0.807
13,1.226
14,123.428
15,1.044
16,1.364
17,2.554
18,1.36
19,0.766
20,2.542
21,1.057
22,2.28
23,2.303
24,2.789
25,1.711
26,0.639
27,0.982
28,1.162
29,1.631
30,1.314
31,0.317
32,1.53
33,0.522
34,2.067
35,1.477
36,0.941
37,1.33
38,1.264
39,3.636
40,1.273
41,1.736
42,1.916
43,0.694
44,0.902
45,0.652
46,0.975
47,0.922
48,0.928
49,0.946
50,0.921
51,0.773
52,0.679
53,0.662
54,0.046
55,0.19
56,0.146
57,0.412
58,0.847
59,0.27
60,0.593
61,0.257
62,0.174
63,0.308
64,0.144
65,0.521
66,0.079
67,0.075
68,0.717
69,0.082
70,0.116
71,0.202
72,0.436
73,1.21
74,0.301
75,0.057
76,10.046
77,17.171
78,7.101
79,14.933
80,26.219
81,16.511
82,8.56
83,27.612
84,3.891
85,25.577
86,18.685
87,21.601
88,22.887
89,10.873
90,20.007
91,18.898
92,19.489
93,15.529
94,63.653
95,16.428
96,30.531
97,15.869
98,17.427
99,10.499
100,18.702
101,14.625
102,17.32
103,22.286
104,23.028
105,15.202
106,19.071
107,15.779
108,11.662
109,18.38
110,19.608
111,22.576
112,12.571
113,1.403
114,12.991
115,4.497
116,1.351
117,0.768
118,12.125
119,1.415
120,133.813
121,0.522
122,1.589
123,129.747
124,3.01
125,0.468
126,66.512
127,129.705
128,34.903
129,127.292
130,133.586
131,11.782
132,124.456
133,18.087
134,114.806
135,126.091
136,132.393
137,127.318
138,131.666
139,129.755
140,128.75
141,136.992
142,16.198
143,27.453
144,28.24
145,129.257
146,137.922
147,22.905
148,129.26
149,14.293
150,129.454
151,87.293
152,127.399
153,125.511
154,110.28
155,130.968
156,129.283
157,132.737
158,126.102
159,125.359
160,114.999
161,124.185
162,132.166
163,133.864
164,131.192
165,132.818
166,104.503
167,134.258
168,131.498
169,127.828
170,132.113
171,134.347
172,125.741
173,123.184
174,119.792
175,129.214
176,119.396
177,132.3
178,131.503
179,127.002
180,102.277
181,134.575
182,132.018
183,119.654
184,133.424
185,133.224
186,134.069
187,131.939
188,133.644
189,130.514
190,130.656
191,123.106
192,43.529
193,125.688
194,123.494
195,108.096
196,75.005
197,136.641
198,136.325
199,127.906
200,108.642
201,124.206
202,117.709
203,124.077
204,134.342
205,11.906
206,6.155
207,8.015
208,57.513
209,3.309
210,96.274
211,98.045
212,57.429
213,78.67
214,85.104
215,84.682
216,96.161
217,71.782
218,73.602
219,82.712
220,24.887
221,75.033
222,100.536
223,65.227
224,100.252
225,78.122
226,85.758
227,55.273
228,89.41
229,99.585
230,65.717
231,64.076
232,90.158
233,86.875
234,91.753
235,110.773
236,48.369
237,103.134
238,45.686
239,93.415
240,84.273
241,65.089
242,96.087
243,39.992
244,86.987
245,99.025
246,103.662
247,89.584
248,21.991
249,66.416
250,86.381
251,114.022
252,114.709
253,94.264
254,93.829
