node,labels
0,100.102
1,138.737
2,199.691
3,132.922
4,74.64
5,137.347
6,84.377
7,177.023
8,169.124
9,36.743
10,94.179
11,155.456
12,125.197
13,146.988
14,163.808
15,98.701
16,45.535
17,146.656
18,96.381
19,64.814
20,19.023
21,80.131
22,38.905
23,77.669
24,64.356
25,63.193
26,0.95
27,25.916
28,37.688
29,53.228
30,37.57
31,16.621
32,115.326
33,64.716
34,107.613
35,193.558
36,45.425
37,159.643
38,123.594
39,95.11
40,169.073
41,128.938
42,163.024
43,155.52
44,105.697
45,175.945
46,195.29
47,114.114
48,209.275
49,71.27
50,106.388
51,141.968
52,111.239
53,172.226
54,181.058
55,82.939
56,183.764
57,75.3
58,91.041
59,129.979
60,198.118
61,119.095
62,149.132
63,81.078
64,189.477
65,118.031
66,87.352
67,137.763
68,87.538
69,72.893
70,147.394
71,132.297
72,108.851
73,194.153
74,209.38
75,137.649
76,194.38
77,102.684
78,57.562
79,178.749
80,92.723
81,105.301
82,88.263
83,81.246
84,102.996
85,38.266
86,18.116
87,32.526
88,78.209
89,111.844
90,14.156
91,52.153
92,123.149
93,108.289
94,103.72
95,52.168
96,86.716
97,103.526
98,160.257
99,145.954
100,59.459
101,105.578
102,176.432
103,91.283
104,78.223
105,75.619
106,195.267
107,166.781
108,105.958
109,56.577
110,36.979
111,113.59
112,118.87
113,135.332
114,87.217
115,195.451
116,72.192
117,48.229
118,121.773
119,24.691
120,45.069
121,14.618
122,97.77
123,82.846
124,74.57
125,6.608
126,45.496
127,2.209
128,34.939
129,34.944
130,11.825
131,5.301
132,17.391
133,101.485
134,169.161
135,52.6
136,72.098
137,76.139
138,119.156
139,110.453
140,35.386
141,203.993
142,38.832
143,8.895
144,13.944
145,94.738
146,52.426
147,135.966
148,42.95
149,98.736
150,165.602
151,40.11
152,35.62
153,124.673
154,70.936
155,161.099
156,34.15
157,184.019
158,78.831
159,124.57
160,57.193
161,54.708
162,34.484
163,56.7
164,129.254
165,117.192
166,32.713
167,128.933
168,157.126
169,64.616
170,123.4
171,85.582
172,188.836
173,93.797
174,45.393
175,85.904
176,163.13
177,19.892
178,76.235
179,164.821
180,133.394
181,195.294
182,94.774
183,122.331
184,185.375
185,53.338
186,194.169
187,154.024
188,95.374
189,127.947
190,95.0
191,111.307
192,50.244
193,92.645
194,21.222
195,102.181
196,39.627
197,202.727
198,181.323
199,70.236
200,90.976
201,112.108
202,88.99
203,52.81
204,44.516
205,63.372
206,116.003
207,87.043
208,80.581
209,43.696
210,78.254
211,102.227
212,91.393
213,43.881
214,22.059
215,25.339
216,79.227
217,103.465
218,112.099
219,99.002
220,54.584
221,47.087
222,29.954
223,124.467
224,71.531
225,87.702
226,23.711
227,12.83
228,12.622
229,29.483
230,99.16
231,20.586
232,128.199
233,41.498
234,36.966
235,54.214
236,114.89
237,54.146
238,25.793
239,113.175
240,14.206
241,22.958
242,19.148
243,50.185
244,89.461
245,117.455
246,31.284
247,108.309
248,27.7
249,33.679
250,105.436
251,104.407
252,16.339
253,41.378
254,43.976
255,27.323
256,9.217
257,29.128
258,9.553
259,63.414
260,57.832
261,25.513
262,29.621
263,38.332
264,19.282
265,57.817
266,15.871
267,12.702
268,64.028
269,35.242
270,46.353
271,83.691
272,59.168
273,74.316
274,97.468
275,20.057
276,14.02
277,38.299
278,86.447
279,68.151
280,30.6
281,48.829
282,116.799
283,114.045
284,116.058
285,10.226
286,43.654
287,99.717
288,39.871
289,46.429
290,74.535
291,28.007
292,72.655
293,143.883
294,139.424
295,102.399
296,22.873
297,132.564
298,129.991
299,75.304
300,122.67
301,41.174
302,69.028
303,23.142
304,59.935
305,127.788
306,123.236
307,99.995
308,71.532
309,24.235
310,88.628
311,36.785
312,147.655
