node,labels
0,7.322
1,3.619
2,3.604
3,3.664
4,10.205
5,51.827
6,19.106
7,24.962
8,24.705
9,25.19
10,23.146
11,25.176
12,24.553
13,30.813
14,24.237
15,52.629
16,28.054
17,32.516
18,26.264
19,23.891
20,32.557
21,30.94
22,35.881
23,23.738
24,39.568
25,25.365
26,29.456
27,26.079
28,8.074
29,14.0
30,11.511
31,14.972
32,23.393
33,49.032
34,3.436
35,6.698
36,2.139
37,4.269
38,2.793
39,5.313
40,23.034
41,13.527
42,11.634
43,27.671
44,14.193
45,13.454
46,13.12
47,10.736
48,18.87
49,2.861
50,7.17
51,13.057
52,4.213
53,4.166
54,2.805
55,2.523
56,29.708
57,63.956
58,1.624
59,2.747
60,26.418
61,19.664
62,26.746
63,28.751
64,19.304
65,19.929
66,9.854
67,20.041
68,3.49
69,7.142
70,3.307
71,7.671
72,7.405
73,9.854
74,1.728
75,3.428
76,4.018
77,8.53
78,2.854
79,5.529
80,2.712
81,2.99
82,6.085
83,10.141
84,18.294
85,27.903
86,63.643
87,3.076
88,6.052
89,3.941
90,7.306
91,3.346
92,6.782
93,3.552
94,6.883
95,19.237
96,3.036
97,5.542
98,2.898
99,3.908
100,7.756
101,12.604
102,6.132
103,7.878
104,9.327
105,6.105
106,7.28
107,9.62
108,12.84
109,3.697
110,6.949
111,11.425
112,4.122
113,2.139
114,7.584
115,4.285
116,1.94
117,2.309
118,5.323
119,10.933
120,6.066
121,12.626
122,18.279
123,26.844
124,22.327
125,10.337
126,13.113
127,12.515
128,3.465
129,6.797
130,11.848
131,5.473
132,16.499
133,37.332
134,1.981
135,3.943
136,19.562
137,12.922
138,10.203
139,9.726
140,25.657
141,24.424
142,10.331
143,11.404
144,26.35
145,23.607
146,49.703
147,54.497
148,78.554
149,49.328
150,28.54
151,11.438
152,48.177
153,25.017
154,24.264
155,24.126
156,27.096
157,23.828
158,22.135
159,32.109
160,23.51
161,26.222
162,31.128
163,33.148
164,23.114
165,80.668
166,27.396
167,19.597
168,35.584
169,3.403
170,6.879
171,6.403
172,11.887
173,10.823
174,4.78
175,6.641
176,6.599
177,6.211
178,13.713
179,15.063
180,36.748
181,17.983
182,34.235
183,2.122
184,3.57
185,7.657
186,32.094
187,2.2
188,4.319
189,5.894
190,6.493
191,3.351
192,8.931
193,23.573
194,41.943
195,43.513
196,19.49
197,22.666
198,20.572
199,3.828
200,8.259
201,32.413
202,10.742
203,5.547
204,1.804
205,1.001
206,2.272
207,11.919
208,8.237
209,8.388
210,9.133
211,18.129
212,8.121
213,8.467
214,6.375
215,8.651
216,9.704
217,5.332
218,11.207
219,27.097
220,5.442
221,12.127
222,2.243
223,4.012
224,28.752
225,60.485
226,9.336
227,7.552
228,8.154
229,8.286
230,8.42
231,12.121
232,6.025
233,8.239
234,6.396
235,6.899
236,5.692
237,6.283
238,3.325
239,12.902
240,13.671
241,3.953
242,8.606
243,1.844
244,3.65
245,6.757
246,33.578
247,4.679
248,41.537
249,6.179
250,13.485
251,2.799
252,5.35
253,3.253
254,6.03
255,5.112
256,3.248
257,6.459
258,3.35
259,6.893
260,2.314
261,3.421
262,1.223
263,11.825
264,25.669
265,12.445
266,8.184
267,9.528
268,18.172
269,16.166
270,6.492
271,8.106
272,7.112
273,8.156
274,23.884
275,6.138
276,4.449
277,4.43
278,9.538
279,4.904
280,15.815
281,7.351
282,8.26
283,11.027
284,10.687
285,46.66
286,9.984
287,9.38
288,7.214
289,4.77
290,5.438
291,6.574
292,4.888
293,4.186
294,5.235
295,6.191
296,5.511
297,7.439
298,3.708
299,13.944
300,2.848
301,4.614
302,9.26
303,17.984
304,6.752
305,11.73
306,3.693
307,12.822
308,23.809
309,13.078
310,25.244
311,5.308
312,11.233
313,4.814
314,8.412
315,2.569
316,5.554
317,0.638
318,0.903
319,58.982
320,32.662
321,45.124
322,44.477
323,54.463
324,45.268
325,25.542
326,33.161
327,15.399
328,16.092
329,5.807
330,6.711
331,3.38
332,3.892
333,3.829
334,2.374
335,4.531
336,9.789
337,4.155
338,0.475
339,0.47
340,9.689
341,22.13
342,5.351
343,9.543
344,4.009
345,8.616
346,6.192
347,1.791
348,0.449
349,0.44
350,13.733
351,32.029
352,4.433
353,2.161
354,4.438
355,5.458
356,8.52
357,5.086
358,4.316
359,5.08
360,4.087
361,4.77
362,5.493
363,26.517
364,60.115
365,2.722
366,5.471
367,6.651
368,13.411
369,5.627
370,7.116
371,4.962
372,1.084
373,1.889
374,8.768
375,12.337
376,9.692
377,7.458
378,6.678
379,2.46
380,3.322
381,1.959
382,3.745
383,15.901
384,7.674
385,9.695
386,7.75
387,12.707
388,6.768
389,3.955
390,3.214
391,10.144
392,4.524
393,2.087
394,3.023
395,5.436
396,3.505
397,3.069
398,8.766
399,4.813
400,4.29
401,6.773
402,23.865
403,52.773
404,4.922
405,12.45
406,7.077
407,0.459
408,0.44
409,7.109
410,16.08
411,7.047
412,3.862
413,5.867
414,4.043
415,3.942
416,2.892
417,27.318
418,1.906
419,3.711
420,3.995
421,1.713
422,4.193
423,2.276
424,3.105
425,5.755
426,7.81
427,28.62
428,10.796
429,2.713
430,1.357
431,3.177
432,9.892
433,21.879
434,7.348
435,3.88
436,3.555
437,5.393
438,4.417
439,3.372
440,2.885
441,2.767
442,4.843
443,3.887
444,9.174
445,3.913
446,9.643
447,3.278
448,2.985
449,3.593
450,6.718
451,2.722
452,8.364
453,4.759
454,17.615
455,6.157
456,1.961
457,3.357
458,45.609
459,2.884
460,4.922
461,4.463
462,9.066
463,10.366
464,1.96
465,16.094
466,34.665
467,2.765
468,11.75
469,23.174
470,1.842
471,24.511
472,5.794
473,3.727
474,8.45
475,32.244
476,45.257
477,15.733
478,13.988
479,33.351
480,19.182
481,2.675
482,5.838
483,12.007
484,3.083
485,6.277
486,1.828
487,4.153
488,8.036
489,5.392
490,45.531
491,22.065
492,19.79
493,22.296
494,19.955
495,20.969
496,34.685
497,22.237
498,20.919
499,26.021
500,21.34
501,26.791
502,22.44
503,26.857
504,20.727
505,20.424
506,44.79
507,9.639
508,4.674
509,4.702
510,6.673
511,1.178
512,2.308
513,11.567
514,8.794
515,12.947
516,6.859
517,3.524
518,7.115
519,3.31
520,6.899
521,1.788
522,3.497
523,4.65
524,8.874
525,1.816
526,3.21
527,5.988
528,2.902
529,3.147
530,12.901
531,11.253
532,0.847
533,1.332
534,3.071
535,5.119
536,3.115
537,6.886
538,6.089
539,1.093
540,1.859
541,0.968
542,1.492
543,19.942
544,22.496
545,10.078
546,8.68
547,4.879
548,3.041
549,5.351
550,12.818
551,7.492
552,18.8
553,11.425
554,6.187
555,4.572
556,4.983
557,1.705
558,2.946
559,4.818
560,2.386
561,28.477
562,0.849
563,1.995
564,11.777
565,13.93
566,11.471
567,2.758
568,4.512
569,4.417
570,2.466
571,5.427
572,3.796
573,7.049
574,19.865
575,39.191
576,3.605
577,2.287
578,3.928
579,3.883
580,1.76
581,3.151
582,25.437
583,7.952
584,15.242
585,1.509
586,2.508
587,5.808
588,10.337
589,3.039
590,2.279
591,4.298
592,4.49
593,11.861
594,0.446
595,0.498
596,12.695
597,3.011
598,8.675
599,12.269
600,3.787
601,1.88
602,15.85
603,7.39
604,7.96
605,8.369
606,6.642
607,7.714
608,35.145
609,3.487
610,4.252
611,9.092
612,2.757
613,5.477
614,3.516
615,3.078
616,14.363
617,5.684
618,14.019
619,12.034
620,6.799
621,12.171
622,7.956
623,1.793
624,17.798
625,7.871
626,8.504
627,8.199
628,8.14
629,2.962
630,6.663
631,1.478
632,2.472
633,4.001
634,2.399
635,5.072
636,7.396
637,15.224
638,3.676
639,6.405
640,10.519
641,2.355
642,8.281
643,29.338
644,20.647
645,10.284
646,24.477
647,29.409
648,2.756
649,3.041
650,6.284
651,11.088
652,2.37
653,4.049
654,5.355
655,2.225
656,4.018
657,4.799
658,2.813
659,3.05
660,9.667
661,8.985
662,13.97
663,4.66
664,2.492
665,4.437
666,5.973
667,10.552
668,1.092
669,4.395
670,2.904
671,5.873
672,3.669
673,0.468
674,0.459
675,6.418
676,3.258
677,3.289
678,2.794
679,2.959
680,8.816
681,8.751
682,17.396
683,13.759
684,21.56
685,14.868
686,4.971
687,8.296
688,20.855
689,9.633
690,8.962
691,12.786
692,8.762
693,12.86
694,4.102
695,32.04
696,4.764
697,4.302
698,7.975
699,17.298
700,19.456
701,43.294
702,11.669
703,6.039
704,10.85
705,8.647
706,4.251
707,10.334
708,9.846
709,4.411
710,2.119
711,2.461
712,6.876
713,36.853
714,3.178
715,3.908
716,3.534
717,3.831
718,6.944
719,3.393
720,2.877
721,2.164
722,2.012
723,1.476
724,1.58
725,4.419
726,7.518
727,14.738
728,8.331
729,34.712
730,9.328
731,40.946
732,18.101
733,21.703
734,25.189
735,22.276
736,15.674
737,7.587
738,2.624
739,9.146
740,12.354
741,28.889
742,5.309
743,14.057
744,4.996
745,3.334
746,42.501
747,53.178
748,6.643
749,2.624
750,5.889
751,2.406
752,6.833
753,12.826
754,3.501
755,3.269
756,1.68
757,5.78
758,1.083
759,3.672
760,7.858
761,5.52
762,13.198
763,2.838
764,5.299
765,18.761
766,2.853
767,4.779
768,1.685
769,3.339
770,4.934
771,2.765
772,2.728
773,2.713
774,2.752
775,1.5
776,1.604
777,10.826
778,0.921
779,5.156
780,3.39
781,5.127
782,9.189
783,3.186
784,2.658
785,5.551
786,11.229
787,17.02
788,8.493
789,7.787
790,5.476
791,3.013
792,5.936
793,10.352
794,20.836
795,52.263
796,41.817
797,39.858
798,16.645
799,8.43
800,7.624
801,3.064
802,18.096
803,22.637
804,11.389
805,4.67
806,8.425
807,3.671
808,7.988
809,12.512
810,7.463
811,7.463
812,6.055
813,8.066
814,5.556
815,3.864
816,6.118
817,3.266
818,6.761
819,34.601
820,13.157
821,6.854
822,12.063
823,9.764
824,4.415
825,19.294
826,6.299
827,21.632
828,74.398
829,72.354
830,55.186
831,69.141
832,11.197
833,5.696
834,5.403
835,5.119
836,5.504
837,2.966
838,3.826
839,16.911
840,1.486
841,18.157
842,7.315
843,35.177
844,4.513
845,9.475
846,4.351
847,3.34
848,17.845
849,81.316
850,40.517
851,38.596
852,38.479
853,36.276
854,34.769
855,36.66
856,67.607
857,4.01
858,3.742
859,2.478
860,5.423
861,1.792
862,3.704
863,2.637
864,5.683
865,1.749
866,5.219
867,11.707
868,2.412
869,4.502
870,9.352
871,5.595
872,4.953
873,6.735
874,7.018
875,50.877
876,2.766
877,9.531
878,3.192
879,6.514
880,1.917
881,6.378
882,5.392
883,5.799
884,23.171
885,1.825
886,39.158
887,1.474
888,2.546
889,3.576
890,7.099
891,3.964
892,4.595
893,4.682
894,8.84
895,5.312
896,3.618
897,4.173
898,3.048
899,3.038
900,5.602
901,4.835
902,5.91
903,3.645
904,3.114
905,3.408
906,3.088
907,2.41
908,6.731
909,3.454
910,5.099
911,4.273
912,3.265
913,11.139
914,6.441
915,3.572
916,3.911
917,6.853
918,10.713
919,4.926
920,5.624
921,4.737
922,4.833
923,4.844
924,5.711
925,24.831
926,5.652
927,7.105
928,2.865
929,4.042
930,2.227
931,6.674
932,3.241
933,3.105
934,7.283
935,3.564
936,6.885
937,3.453
938,6.322
939,2.503
940,3.077
941,31.462
942,13.089
