node,labels
0,7.322
1,3.619
2,3.604
3,3.664
4,10.205
5,51.827
6,19.106
7,24.962
8,24.705
9,25.19
10,23.146
11,25.176
12,24.553
13,30.813
14,24.237
15,52.629
16,28.054
17,32.516
18,26.264
19,23.891
20,32.557
21,30.94
22,35.881
23,23.738
24,39.568
25,25.365
26,29.456
27,26.079
28,8.074
29,14.0
30,11.511
31,14.972
32,23.393
33,49.032
34,3.436
35,6.698
36,2.139
37,4.269
38,2.793
39,5.313
40,23.034
41,13.527
42,11.634
43,27.671
44,14.193
45,13.454
46,13.12
47,10.736
48,18.87
49,2.861
50,7.17
51,13.057
52,4.213
53,4.166
54,2.805
55,2.523
56,29.708
57,63.956
58,1.624
59,2.747
60,26.418
61,19.664
62,26.746
63,28.751
64,19.304
65,19.929
66,9.854
67,20.041
68,3.49
69,7.142
70,3.307
71,7.671
72,7.405
73,9.854
74,1.728
75,3.428
76,4.018
77,8.53
78,2.854
79,5.529
80,2.712
81,2.99
82,6.085
83,10.141
84,18.294
85,27.903
86,63.643
87,3.076
88,6.052
89,3.941
90,7.306
91,3.552
92,6.883
93,19.237
94,3.036
95,5.542
96,2.898
97,3.908
98,7.756
99,12.604
100,6.132
101,7.878
102,9.327
103,6.105
104,7.28
105,9.62
106,12.84
107,3.697
108,6.949
109,11.425
110,4.122
111,2.139
112,7.584
113,4.285
114,1.94
115,2.309
116,5.323
117,10.933
118,6.066
119,12.626
120,18.279
121,26.844
122,22.327
123,10.337
124,13.113
125,12.515
126,3.465
127,6.797
128,11.848
129,5.473
130,16.499
131,37.332
132,19.562
133,12.922
134,10.203
135,9.726
136,25.657
137,24.424
138,10.331
139,11.404
140,26.35
141,23.607
142,49.703
143,54.497
144,78.554
145,49.328
146,28.54
147,11.438
148,48.177
149,25.017
150,24.264
151,24.126
152,27.096
153,23.828
154,22.135
155,32.109
156,23.51
157,26.222
158,31.128
159,33.148
160,23.114
161,80.668
162,27.396
163,19.597
164,35.584
165,3.403
166,6.879
167,6.403
168,11.887
169,10.823
170,4.78
171,6.641
172,6.599
173,6.211
174,13.713
175,15.063
176,36.748
177,17.983
178,34.235
179,2.122
180,3.57
181,7.657
182,32.094
183,2.2
184,4.319
185,5.894
186,6.493
187,3.351
188,8.931
189,23.573
190,41.943
191,43.513
192,19.49
193,22.666
194,20.572
195,3.828
196,8.259
197,32.413
198,10.742
199,5.547
200,11.919
201,8.237
202,8.388
203,9.133
204,18.129
205,8.121
206,8.467
207,6.375
208,8.651
209,9.704
210,5.332
211,11.207
212,27.097
213,5.442
214,12.127
215,2.243
216,4.012
217,28.752
218,60.485
219,9.336
220,7.552
221,8.154
222,8.286
223,8.42
224,12.121
225,6.025
226,8.239
227,6.396
228,6.899
229,5.692
230,6.283
231,3.325
232,12.902
233,13.671
234,3.953
235,8.606
236,1.844
237,33.578
238,4.679
239,41.537
240,6.179
241,13.485
242,2.799
243,5.35
244,3.253
245,6.03
246,5.112
247,3.248
248,6.459
249,3.35
250,6.893
251,11.825
252,25.669
253,12.445
254,8.184
255,9.528
256,18.172
257,16.166
258,6.492
259,8.106
260,7.112
261,8.156
262,23.884
263,6.138
264,4.449
265,4.43
266,9.538
267,4.904
268,15.815
269,7.351
270,8.26
271,11.027
272,10.687
273,46.66
274,9.984
275,9.38
276,7.214
277,4.77
278,5.438
279,6.574
280,4.888
281,4.186
282,5.235
283,6.191
284,5.511
285,7.439
286,3.708
287,13.944
288,2.848
289,4.614
290,9.26
291,17.984
292,6.752
293,11.73
294,3.693
295,12.822
296,23.809
297,13.078
298,25.244
299,5.308
300,11.233
301,4.814
302,8.412
303,2.569
304,5.554
305,58.982
306,32.662
307,45.124
308,44.477
309,54.463
310,45.268
311,25.542
312,33.161
313,15.399
314,16.092
315,5.807
316,6.711
317,3.38
318,3.892
319,3.829
320,2.374
321,4.531
322,9.789
323,4.155
324,9.689
325,22.13
326,5.351
327,9.543
328,4.009
329,8.616
330,6.192
331,13.733
332,32.029
333,4.433
334,2.161
335,4.438
336,26.517
337,60.115
338,2.722
339,5.471
340,6.651
341,13.411
342,5.627
343,7.116
344,4.962
345,8.768
346,12.337
347,9.692
348,7.458
349,6.678
350,2.46
351,15.901
352,7.674
353,9.695
354,7.75
355,12.707
356,6.768
357,3.955
358,3.214
359,10.144
360,4.524
361,3.023
362,5.436
363,3.505
364,3.069
365,8.766
366,4.813
367,4.29
368,6.773
369,23.865
370,52.773
371,4.922
372,12.45
373,7.077
374,7.109
375,16.08
376,7.047
377,3.862
378,5.867
379,4.043
380,3.942
381,2.892
382,27.318
383,1.906
384,3.711
385,3.995
386,1.713
387,4.193
388,3.105
389,5.755
390,7.81
391,28.62
392,10.796
393,1.357
394,3.177
395,9.892
396,21.879
397,7.348
398,3.88
399,3.555
400,5.393
401,4.417
402,3.372
403,2.885
404,2.767
405,4.843
406,3.887
407,9.174
408,3.913
409,9.643
410,3.278
411,2.985
412,3.593
413,6.718
414,8.364
415,4.759
416,17.615
417,6.157
418,1.961
419,3.357
420,45.609
421,2.884
422,4.922
423,4.463
424,9.066
425,10.366
426,16.094
427,34.665
428,2.765
429,11.75
430,23.174
431,24.511
432,5.794
433,3.727
434,8.45
435,32.244
436,45.257
437,15.733
438,13.988
439,33.351
440,19.182
441,2.675
442,5.838
443,12.007
444,3.083
445,6.277
446,1.828
447,4.153
448,8.036
449,5.392
450,45.531
451,22.065
452,19.79
453,22.296
454,19.955
455,20.969
456,34.685
457,22.237
458,20.919
459,26.021
460,21.34
461,26.791
462,22.44
463,26.857
464,20.727
465,20.424
466,44.79
467,9.639
468,4.674
469,4.702
470,6.673
471,1.178
472,2.308
473,11.567
474,8.794
475,12.947
476,6.859
477,3.524
478,7.115
479,3.31
480,6.899
481,1.788
482,3.497
483,4.65
484,8.874
485,3.21
486,5.988
487,2.902
488,3.147
489,12.901
490,11.253
491,3.071
492,5.119
493,3.115
494,6.886
495,6.089
496,19.942
497,22.496
498,10.078
499,8.68
500,4.879
501,3.041
502,5.351
503,12.818
504,7.492
505,18.8
506,11.425
507,6.187
508,4.572
509,4.983
510,1.705
511,2.946
512,4.818
513,2.386
514,28.477
515,11.777
516,13.93
517,11.471
518,2.758
519,4.512
520,4.417
521,2.466
522,5.427
523,3.796
524,7.049
525,19.865
526,39.191
527,2.287
528,3.928
529,3.883
530,1.76
531,3.151
532,25.437
533,7.952
534,15.242
535,5.808
536,10.337
537,3.039
538,2.279
539,4.298
540,4.49
541,11.861
542,12.695
543,3.011
544,8.675
545,12.269
546,3.787
547,15.85
548,7.39
549,7.96
550,8.369
551,6.642
552,7.714
553,35.145
554,3.487
555,4.252
556,9.092
557,2.757
558,5.477
559,3.516
560,3.078
561,14.363
562,5.684
563,14.019
564,12.034
565,6.799
566,12.171
567,7.956
568,17.798
569,7.871
570,8.504
571,8.199
572,8.14
573,2.962
574,6.663
575,1.478
576,2.472
577,4.001
578,2.399
579,5.072
580,7.396
581,15.224
582,3.676
583,6.405
584,10.519
585,2.355
586,8.281
587,29.338
588,20.647
589,10.284
590,24.477
591,29.409
592,2.756
593,3.041
594,6.284
595,11.088
596,2.37
597,4.049
598,5.355
599,2.225
600,4.018
601,4.799
602,2.813
603,3.05
604,9.667
605,8.985
606,13.97
607,4.66
608,4.437
609,5.973
610,10.552
611,4.395
612,2.904
613,5.873
614,3.669
615,6.418
616,3.258
617,3.289
618,2.794
619,2.959
620,8.816
621,8.751
622,17.396
623,13.759
624,21.56
625,14.868
626,4.971
627,8.296
628,20.855
629,9.633
630,8.962
631,12.786
632,8.762
633,12.86
634,4.102
635,32.04
636,4.764
637,4.302
638,7.975
639,17.298
640,19.456
641,43.294
642,11.669
643,6.039
644,10.85
645,8.647
646,4.251
647,10.334
648,9.846
649,4.411
650,2.119
651,2.461
652,6.876
653,36.853
654,3.178
655,3.908
656,3.534
657,3.831
658,6.944
659,4.419
660,7.518
661,14.738
662,8.331
663,34.712
664,9.328
665,40.946
666,18.101
667,21.703
668,25.189
669,22.276
670,15.674
671,7.587
672,9.146
673,12.354
674,28.889
675,5.309
676,14.057
677,4.996
678,42.501
679,53.178
680,6.643
681,2.624
682,5.889
683,2.406
684,6.833
685,12.826
686,3.501
687,3.269
688,1.68
689,5.78
690,3.672
691,7.858
692,5.52
693,13.198
694,2.838
695,5.299
696,18.761
697,2.853
698,4.779
699,1.685
700,3.339
701,10.826
702,5.156
703,3.39
704,5.127
705,9.189
706,3.186
707,2.658
708,5.551
709,11.229
710,17.02
711,8.493
712,7.787
713,5.476
714,3.013
715,5.936
716,10.352
717,20.836
718,52.263
719,41.817
720,39.858
721,16.645
722,8.43
723,7.624
724,3.064
725,18.096
726,22.637
727,11.389
728,4.67
729,8.425
730,3.671
731,7.988
732,12.512
733,7.463
734,7.463
735,6.055
736,8.066
737,5.556
738,3.864
739,6.118
740,3.266
741,6.761
742,34.601
743,13.157
744,6.854
745,12.063
746,9.764
747,4.415
748,19.294
749,6.299
750,21.632
751,74.398
752,72.354
753,55.186
754,69.141
755,11.197
756,5.696
757,5.403
758,5.119
759,5.504
760,2.966
761,3.826
762,16.911
763,1.486
764,18.157
765,7.315
766,35.177
767,4.513
768,9.475
769,4.351
770,3.34
771,17.845
772,81.316
773,40.517
774,38.596
775,38.479
776,36.276
777,34.769
778,36.66
779,67.607
780,4.01
781,3.742
782,2.478
783,5.423
784,1.792
785,3.704
786,2.637
787,5.683
788,1.749
789,5.219
790,11.707
791,2.412
792,4.502
793,9.352
794,5.595
795,4.953
796,6.735
797,7.018
798,50.877
799,2.766
800,9.531
801,3.192
802,6.514
803,6.378
804,5.392
805,5.799
806,23.171
807,1.825
808,39.158
809,1.474
810,2.546
811,3.576
812,7.099
813,3.964
814,4.595
815,4.682
816,8.84
817,5.312
818,3.618
819,4.173
820,3.048
821,3.038
822,5.602
823,4.835
824,5.91
825,3.645
826,2.41
827,6.731
828,3.454
829,5.099
830,4.273
831,3.265
832,11.139
833,6.441
834,3.572
835,3.911
836,6.853
837,10.713
838,4.926
839,5.624
840,4.737
841,4.833
842,4.844
843,5.711
844,24.831
845,5.652
846,7.105
847,2.865
848,4.042
849,2.227
850,6.674
851,3.241
852,3.105
853,7.283
854,3.564
855,6.885
856,3.453
857,6.322
858,2.503
859,3.077
860,31.462
861,13.089
862,2.932
863,3.289
864,8.831
865,10.349
866,5.199
867,63.593
868,28.801
869,30.113
870,29.109
871,24.307
872,14.333
873,7.055
874,18.114
875,6.702
876,14.361
877,33.733
878,15.262
879,40.133
880,45.52
881,1.954
882,3.566
883,3.607
884,5.859
885,4.266
886,3.401
887,1.879
888,15.761
889,25.321
890,11.731
891,15.639
892,11.864
893,11.849
894,12.178
895,11.547
896,5.973
897,4.12
898,2.643
899,12.313
900,3.255
901,5.581
902,8.447
903,17.84
904,2.91
905,6.255
906,6.938
907,3.429
908,10.229
909,2.625
910,9.485
911,4.299
912,63.44
913,30.527
914,28.592
915,29.596
916,59.977
917,41.932
918,17.539
919,33.268
920,3.777
921,7.678
922,16.948
923,8.624
924,2.872
925,10.775
926,7.065
927,12.705
928,5.476
929,6.036
930,5.232
931,6.229
932,4.192
933,2.523
934,4.163
935,8.267
936,5.424
937,11.82
938,2.972
939,9.563
940,3.006
941,1.937
942,2.633
