node,labels
0,0.098
1,1.902
2,0.045
3,0.053
4,0.057
5,3.346
6,66.492
7,83.55
8,31.031
9,45.141
10,80.043
11,74.69
12,49.607
13,80.839
14,71.726
15,79.732
16,70.484
17,70.163
18,54.429
19,83.707
20,78.151
21,49.164
22,61.335
23,55.365
24,64.973
25,45.416
26,42.355
27,58.903
28,67.308
29,65.211
30,59.424
31,68.92
32,53.133
33,67.139
34,58.127
35,59.381
36,41.424
37,68.679
38,41.626
39,61.176
40,43.89
41,33.752
42,62.382
43,63.615
44,37.609
45,66.771
46,36.563
47,46.8
48,44.114
49,76.067
50,80.826
51,64.25
52,34.653
53,43.211
54,74.653
55,54.114
56,72.737
57,51.022
58,37.124
59,35.138
60,44.212
61,50.056
62,34.891
63,60.177
64,65.738
65,70.903
66,67.792
67,46.714
68,71.575
69,67.516
70,68.071
71,69.495
72,75.546
73,65.987
74,63.194
75,67.155
76,66.255
77,52.0
78,54.313
79,42.919
80,44.028
81,41.192
82,45.41
83,59.138
84,66.482
85,58.971
86,55.503
87,46.153
88,69.845
89,55.536
90,48.636
91,47.051
92,57.36
93,64.902
94,47.877
95,52.122
96,5.484
97,52.882
98,51.532
99,49.296
100,51.289
101,51.689
102,52.374
103,51.178
104,9.99
105,6.531
106,48.364
107,61.007
108,7.556
109,55.218
110,51.721
111,48.377
112,55.716
113,54.847
114,51.291
115,14.979
116,51.047
117,51.172
118,50.039
119,50.183
120,51.08
121,52.746
122,52.48
123,52.451
124,51.53
125,47.94
126,50.559
127,47.55
128,52.266
129,51.419
130,53.206
131,55.457
132,66.165
133,52.287
134,51.423
135,53.882
136,50.777
137,62.303
138,55.661
139,49.339
140,48.056
141,51.973
142,52.352
143,53.428
144,47.716
145,51.317
146,47.629
147,50.473
148,51.111
149,49.585
150,51.195
151,48.115
152,50.513
153,50.508
154,5.123
155,2.487
156,15.991
157,21.349
158,10.474
159,13.225
160,59.47
161,27.549
162,2.003
163,28.722
164,1.352
165,0.245
166,9.882
167,1.179
168,39.069
169,23.102
170,19.175
171,4.163
172,1.506
173,4.684
174,2.219
175,0.08
176,0.07
177,0.948
178,4.686
179,7.251
180,39.955
181,0.876
182,2.875
183,3.434
184,3.185
185,2.444
186,1.979
187,2.517
188,2.875
189,2.909
190,3.896
191,2.997
192,3.108
193,3.003
194,2.073
195,2.099
196,2.519
197,2.531
198,3.153
199,3.471
200,2.593
201,2.404
202,2.163
203,2.679
204,2.937
205,3.15
206,2.798
207,2.957
208,9.382
209,45.099
210,7.138
211,0.056
212,0.058
213,0.052
214,0.051
215,0.534
216,0.482
217,0.405
218,0.547
219,0.431
220,0.532
221,4.729
222,12.206
223,7.788
224,49.633
225,1.036
226,1.144
227,44.643
228,41.999
229,36.411
230,0.331
231,0.085
232,0.083
233,1.525
234,1.547
235,1.427
236,36.157
237,1.831
238,1.119
239,1.584
240,13.881
241,2.07
242,8.092
243,2.856
244,0.557
245,0.487
246,3.081
247,1.834
248,0.458
249,2.982
250,1.433
251,8.542
252,3.345
253,0.523
254,11.075
255,3.587
256,21.253
257,53.373
258,14.477
259,13.935
260,14.475
261,26.384
262,59.806
263,49.32
264,49.532
265,48.917
266,20.551
267,26.019
268,2.184
269,2.423
270,2.18
271,16.644
272,12.869
273,1.38
274,1.18
275,1.954
276,6.472
277,40.837
278,2.914
279,42.548
280,40.713
281,33.801
282,32.009
283,68.581
284,5.217
285,14.717
286,2.753
287,5.722
288,13.595
289,24.062
290,32.641
291,33.59
292,45.945
293,14.538
294,0.437
295,3.784
296,0.529
297,0.554
298,0.43
299,0.444
300,0.592
301,0.634
302,0.441
303,0.448
304,31.758
305,45.77
306,36.865
307,33.435
308,49.848
309,9.118
310,38.704
311,34.496
312,6.789
313,14.648
314,3.764
315,0.029
316,0.029
317,0.03
318,0.028
319,0.028
320,0.02
321,0.289
322,0.027
323,9.89
324,0.048
325,1.5
326,0.463
327,0.426
328,0.841
329,3.018
330,3.23
331,1.063
332,0.181
333,0.294
334,4.662
335,0.117
336,0.016
337,0.014
338,16.927
339,14.32
340,6.329
341,0.491
342,0.544
343,0.469
344,25.63
345,2.123
346,0.011
347,2.819
348,2.347
349,5.107
350,34.924
351,4.487
352,0.018
353,1.008
354,2.135
355,1.452
356,1.139
357,0.414
358,1.016
359,2.012
360,3.948
361,2.588
362,31.838
363,27.282
364,27.28
365,27.817
366,9.85
367,23.527
368,9.26
369,21.833
370,7.135
371,3.318
372,6.859
373,6.538
374,11.141
375,3.579
376,6.006
377,6.25
378,3.371
379,0.313
380,0.689
381,1.159
382,3.183
383,5.623
384,4.51
385,1.722
386,2.106
387,0.009
388,0.017
389,1.019
390,4.948
391,3.411
392,1.038
393,2.725
394,0.697
395,0.022
396,0.915
397,1.344
398,5.202
399,0.206
400,0.287
401,18.979
402,8.795
403,7.514
404,45.468
405,1.882
406,1.038
407,0.016
408,7.164
409,0.75
410,1.581
411,1.909
412,0.037
413,0.033
414,0.058
415,1.116
416,1.246
417,1.237
418,1.005
419,0.769
420,0.012
421,0.02
422,0.02
423,0.017
424,4.695
425,6.611
426,8.23
427,5.381
428,5.155
429,2.907
430,1.389
431,5.258
432,5.153
433,0.428
434,3.759
435,0.955
436,2.839
437,4.521
438,2.571
439,5.029
440,36.368
441,31.492
442,0.457
443,0.031
444,0.029
445,1.887
446,1.92
447,2.799
448,2.039
449,8.544
450,19.473
451,10.013
452,2.273
453,2.767
454,1.194
455,1.002
456,0.013
457,1.625
458,4.956
459,45.899
460,24.945
461,39.932
462,23.31
463,1.269
464,3.432
465,0.172
466,18.194
467,4.573
468,1.545
469,1.993
470,3.007
471,1.097
472,1.409
473,1.955
474,0.693
475,1.318
476,0.681
477,1.599
478,4.616
479,3.481
480,3.242
481,3.944
482,0.027
483,0.266
484,0.013
485,0.016
486,4.296
487,0.076
488,0.074
489,4.502
490,1.381
491,1.818
492,2.993
493,3.165
494,5.928
495,1.626
496,2.001
497,1.506
498,1.536
499,11.17
500,2.656
501,0.179
502,1.605
503,3.424
504,1.743
505,2.388
506,1.397
507,3.068
508,2.55
509,1.035
510,2.115
511,1.384
512,1.802
513,4.347
514,0.251
515,0.166
516,1.244
517,9.444
518,0.093
519,3.299
520,0.995
521,1.806
522,4.106
523,2.013
524,1.753
525,0.011
526,0.019
527,0.134
528,4.325
529,0.022
530,0.02
531,1.748
532,0.016
533,2.535
534,0.067
535,0.028
536,0.018
537,1.894
538,0.016
539,0.015
540,0.969
541,3.245
542,9.916
543,7.644
544,0.859
545,3.151
546,0.828
547,0.736
548,1.443
549,0.736
550,1.134
551,1.563
552,4.789
553,1.126
554,0.913
555,1.126
556,2.969
557,3.19
558,0.275
559,0.608
560,1.142
561,4.738
562,13.461
563,1.115
564,3.054
565,1.409
566,0.697
567,0.077
568,0.068
569,0.758
570,0.396
571,0.041
572,1.295
573,1.577
574,3.116
575,2.923
576,1.625
577,0.015
578,0.069
579,1.107
580,1.209
581,1.478
582,0.233
583,3.61
584,0.008
585,0.013
586,1.16
587,1.199
588,1.965
589,0.01
590,10.331
591,1.129
592,0.565
