node,labels
0,0.098
1,1.902
2,0.045
3,0.053
4,0.057
5,3.346
6,66.492
7,83.55
8,31.031
9,45.141
10,80.043
11,74.69
12,49.607
13,80.839
14,71.726
15,79.732
16,70.484
17,70.163
18,54.429
19,83.707
20,78.151
21,49.164
22,61.335
23,55.365
24,64.973
25,45.416
26,42.355
27,58.903
28,67.308
29,65.211
30,59.424
31,68.92
32,53.133
33,67.139
34,58.127
35,59.381
36,41.424
37,68.679
38,41.626
39,61.176
40,43.89
41,33.752
42,62.382
43,63.615
44,37.609
45,66.771
46,36.563
47,46.8
48,44.114
49,76.067
50,80.826
51,64.25
52,34.653
53,43.211
54,74.653
55,54.114
56,72.737
57,51.022
58,37.124
59,35.138
60,44.212
61,50.056
62,34.891
63,60.177
64,65.738
65,70.903
66,67.792
67,46.714
68,71.575
69,67.516
70,68.071
71,69.495
72,75.546
73,65.987
74,63.194
75,67.155
76,66.255
77,52.0
78,54.313
79,42.919
80,44.028
81,41.192
82,45.41
83,59.138
84,66.482
85,58.971
86,55.503
87,46.153
88,69.845
89,55.536
90,48.636
91,47.051
92,57.36
93,64.902
94,47.877
95,52.122
96,5.484
97,52.882
98,51.532
99,49.296
100,51.289
101,51.689
102,52.374
103,51.178
104,9.99
105,6.531
106,48.364
107,61.007
108,7.556
109,55.218
110,51.721
111,48.377
112,55.716
113,54.847
114,51.291
115,14.979
116,51.047
117,51.172
118,50.039
119,50.183
120,51.08
121,52.746
122,52.48
123,52.451
124,51.53
125,47.94
126,50.559
127,47.55
128,52.266
129,51.419
130,53.206
131,55.457
132,66.165
133,52.287
134,51.423
135,53.882
136,50.777
137,62.303
138,55.661
139,49.339
140,48.056
141,51.973
142,52.352
143,53.428
144,47.716
145,51.317
146,47.629
147,50.473
148,51.111
149,49.585
150,51.195
151,48.115
152,50.513
153,50.508
154,5.123
155,2.487
156,15.991
157,21.349
158,10.474
159,13.225
160,59.47
161,27.549
162,2.003
163,28.722
164,1.352
165,0.245
166,9.882
167,1.179
168,39.069
169,23.102
170,19.175
171,4.163
172,1.506
173,4.684
174,2.219
175,0.948
176,4.686
177,7.251
178,39.955
179,0.876
180,2.875
181,3.434
182,3.185
183,2.444
184,1.979
185,2.517
186,2.875
187,2.909
188,3.896
189,2.997
190,3.108
191,3.003
192,2.073
193,2.099
194,2.519
195,2.531
196,3.153
197,3.471
198,2.593
199,2.404
200,2.163
201,2.679
202,2.937
203,3.15
204,2.798
205,2.957
206,9.382
207,45.099
208,7.138
209,0.534
210,0.482
211,0.405
212,0.547
213,0.431
214,0.532
215,4.729
216,12.206
217,7.788
218,49.633
219,1.036
220,1.144
221,44.643
222,41.999
223,36.411
224,0.331
225,0.085
226,0.083
227,1.525
228,1.547
229,1.427
230,36.157
231,1.831
232,1.119
233,1.584
234,13.881
235,2.07
236,8.092
237,2.856
238,0.557
239,0.487
240,3.081
241,1.834
242,0.458
243,2.982
244,1.433
245,8.542
246,3.345
247,0.523
248,11.075
249,3.587
250,21.253
251,53.373
252,14.477
253,13.935
254,14.475
255,26.384
256,59.806
257,49.32
258,49.532
259,48.917
260,20.551
261,26.019
262,2.184
263,2.423
264,2.18
265,16.644
266,12.869
267,1.38
268,1.18
269,1.954
270,6.472
271,40.837
272,2.914
273,42.548
274,40.713
275,33.801
276,32.009
277,68.581
278,5.217
279,14.717
280,2.753
281,5.722
282,13.595
283,24.062
284,32.641
285,33.59
286,45.945
287,14.538
288,0.437
289,3.784
290,0.529
291,0.554
292,0.43
293,0.444
294,0.592
295,0.634
296,0.441
297,0.448
298,31.758
299,45.77
300,36.865
301,33.435
302,49.848
303,9.118
304,38.704
305,34.496
306,6.789
307,14.648
308,3.764
309,0.289
310,0.027
311,9.89
312,0.048
313,1.5
314,0.463
315,0.426
316,0.841
317,3.018
318,3.23
319,1.063
320,0.181
321,0.294
322,4.662
323,0.117
324,16.927
325,14.32
326,6.329
327,0.491
328,0.544
329,0.469
330,25.63
331,2.123
332,0.011
333,2.819
334,2.347
335,5.107
336,34.924
337,4.487
338,0.018
339,1.008
340,2.135
341,1.452
342,1.139
343,0.414
344,1.016
345,2.012
346,3.948
347,2.588
348,31.838
349,27.282
350,27.28
351,27.817
352,9.85
353,23.527
354,9.26
355,21.833
356,7.135
357,3.318
358,6.859
359,6.538
360,11.141
361,3.579
362,6.006
363,6.25
364,3.371
365,0.313
366,0.689
367,1.159
368,3.183
369,5.623
370,4.51
371,1.722
372,2.106
373,1.019
374,4.948
375,3.411
376,1.038
377,2.725
378,0.697
379,0.022
380,0.915
381,1.344
382,5.202
383,0.206
384,0.287
385,18.979
386,8.795
387,7.514
388,45.468
389,1.882
390,1.038
391,0.016
392,7.164
393,0.75
394,1.581
395,1.909
396,0.037
397,0.033
398,0.058
399,1.116
400,1.246
401,1.237
402,1.005
403,0.769
404,4.695
405,6.611
406,8.23
407,5.381
408,5.155
409,2.907
410,1.389
411,5.258
412,5.153
413,0.428
414,3.759
415,0.955
416,2.839
417,4.521
418,2.571
419,5.029
420,36.368
421,31.492
422,0.457
423,0.031
424,0.029
425,1.887
426,1.92
427,2.799
428,2.039
429,8.544
430,19.473
431,10.013
432,2.273
433,2.767
434,1.194
435,1.002
436,0.013
437,1.625
438,4.956
439,45.899
440,24.945
441,39.932
442,23.31
443,1.269
444,3.432
445,0.172
446,18.194
447,4.573
448,1.545
449,1.993
450,3.007
451,1.097
452,1.409
453,1.955
454,0.693
455,1.318
456,0.681
457,1.599
458,4.616
459,3.481
460,3.242
461,3.944
462,0.027
463,0.266
464,4.296
465,0.076
466,0.074
467,4.502
468,1.381
469,1.818
470,2.993
471,3.165
472,5.928
473,1.626
474,2.001
475,1.506
476,1.536
477,11.17
478,2.656
479,0.179
480,1.605
481,3.424
482,1.743
483,2.388
484,1.397
485,3.068
486,2.55
487,1.035
488,2.115
489,1.384
490,1.802
491,4.347
492,0.251
493,0.166
494,1.244
495,9.444
496,0.093
497,3.299
498,0.995
499,1.806
500,4.106
501,2.013
502,1.753
503,0.134
504,4.325
505,1.748
506,0.016
507,2.535
508,1.894
509,0.969
510,3.245
511,9.916
512,7.644
513,0.859
514,3.151
515,0.828
516,0.736
517,1.443
518,0.736
519,1.134
520,1.563
521,4.789
522,1.126
523,0.913
524,1.126
525,2.969
526,3.19
527,0.275
528,0.608
529,1.142
530,4.738
531,13.461
532,1.115
533,3.054
534,1.409
535,0.697
536,0.758
537,0.396
538,0.041
539,1.295
540,1.577
541,3.116
542,2.923
543,1.625
544,0.015
545,0.069
546,1.107
547,1.209
548,1.478
549,0.233
550,3.61
551,1.16
552,1.199
553,1.965
554,0.01
555,10.331
556,1.129
557,0.565
558,0.323
559,0.013
560,1.14
561,1.12
562,0.188
563,0.116
564,0.906
565,1.4
566,1.69
567,0.975
568,1.415
569,0.704
570,0.495
571,0.052
572,0.088
573,0.163
574,1.13
575,2.304
576,3.235
577,0.342
578,0.237
579,4.205
580,0.341
581,0.928
582,1.305
583,1.34
584,0.147
585,1.353
586,1.439
587,0.855
588,0.938
589,0.139
590,0.929
591,3.109
592,1.033
