node,labels
0,13.615
1,45.969
2,44.01
3,43.428
4,36.449
5,38.427
6,13.313
7,35.909
8,26.845
9,7.196
10,34.482
11,22.866
12,36.941
13,37.613
14,41.962
15,25.119
16,30.345
17,47.53
18,23.333
19,30.003
20,28.564
21,41.079
22,37.134
23,41.021
24,32.524
25,21.681
26,33.739
27,15.194
28,39.692
29,18.366
30,45.5
31,22.586
32,12.625
33,20.09
34,24.699
35,45.309
36,13.559
37,24.7
38,40.898
39,26.975
40,23.243
41,27.677
42,35.914
43,39.281
44,34.05
45,26.811
46,17.405
47,31.123
48,32.093
49,14.446
50,28.534
51,10.117
52,42.124
53,10.613
54,34.49
55,9.841
56,36.121
57,44.536
58,22.121
59,33.164
60,26.356
61,12.996
62,17.818
63,41.941
64,2.93
65,10.578
66,35.874
67,22.124
68,12.147
69,13.963
70,33.875
71,10.377
72,13.031
73,36.359
74,10.52
75,22.72
76,6.961
77,19.408
78,15.946
79,19.291
80,15.335
81,11.576
82,7.549
83,40.334
84,15.092
85,30.329
86,17.6
87,12.69
88,15.49
89,13.753
90,20.546
91,22.812
92,25.097
93,6.196
94,4.427
95,34.418
96,33.792
97,17.559
98,29.241
99,13.584
100,1.188
101,31.188
102,22.405
103,24.746
104,7.368
105,15.854
106,28.017
107,5.271
108,10.12
109,8.603
110,4.886
111,17.866
112,32.401
113,3.96
114,21.453
115,11.686
116,5.579
117,5.147
118,6.971
119,9.295
120,4.961
121,18.84
122,9.484
123,8.677
124,26.325
125,7.962
126,17.68
127,12.867
128,6.844
129,4.128
130,13.413
131,3.755
132,2.422
133,3.13
134,13.49
135,3.975
136,4.577
137,3.238
138,3.468
139,3.798
140,22.716
141,22.738
142,24.104
143,5.991
144,4.976
145,3.147
146,3.779
147,8.394
148,15.345
149,7.232
150,12.265
151,7.228
152,4.953
153,7.317
154,14.891
155,16.83
156,10.381
157,18.462
158,6.214
159,11.976
160,11.577
161,0.742
162,6.377
163,17.791
164,25.46
165,6.45
166,11.826
167,18.347
168,11.543
169,15.495
170,19.051
171,19.508
172,14.182
173,10.713
174,18.298
175,10.017
176,8.374
177,3.029
178,10.936
179,3.012
180,7.137
181,6.571
182,8.963
183,2.591
184,9.659
185,8.378
186,5.064
187,14.951
188,9.844
189,1.731
190,10.933
191,7.772
192,4.692
193,7.797
194,2.299
195,7.788
196,1.721
197,5.03
198,3.196
199,5.564
200,1.834
201,5.044
202,2.421
203,1.882
204,3.12
205,3.976
206,1.556
207,9.776
208,7.218
209,7.247
210,4.939
211,2.251
212,6.556
213,1.096
214,1.33
215,1.575
216,1.443
217,6.235
218,1.341
219,9.338
220,1.09
221,2.637
222,1.086
223,1.067
224,1.126
225,1.906
226,1.321
227,1.457
228,2.542
229,1.001
230,1.3
231,1.344
232,1.779
233,1.312
234,1.171
235,1.037
236,17.689
237,1.165
238,1.815
239,8.058
240,7.788
241,1.911
242,4.504
243,2.747
244,10.041
245,4.308
246,10.109
247,5.17
248,9.421
249,11.617
250,8.785
251,1.72
252,3.636
253,4.07
254,2.712
255,2.952
256,1.722
257,0.905
258,5.348
259,6.025
260,5.315
261,5.8
262,1.049
263,1.098
264,5.532
265,4.708
266,2.143
267,2.338
268,2.274
269,3.97
270,5.127
271,2.832
272,5.304
273,2.798
274,6.517
275,1.94
276,1.384
277,5.306
278,1.49
279,1.816
280,1.05
281,1.701
282,1.197
283,3.991
284,1.248
285,4.821
286,2.672
287,1.439
288,1.841
289,1.417
290,4.987
291,3.787
292,1.068
293,2.749
294,1.143
295,3.716
296,3.506
297,0.838
298,2.59
299,1.728
300,1.2
301,0.848
302,1.86
303,0.987
304,1.05
305,0.988
306,1.137
307,2.144
308,2.744
309,2.242
310,1.696
311,1.478
312,3.131
313,1.67
314,2.019
315,1.346
316,2.136
317,1.444
318,2.317
319,1.798
320,1.102
321,2.057
322,11.957
323,8.219
324,5.513
325,0.783
326,5.884
327,3.157
328,3.818
329,7.48
330,2.921
331,2.449
332,3.158
333,1.841
334,2.585
335,1.95
336,1.107
337,2.117
338,0.986
339,1.535
340,3.152
341,2.998
342,5.372
343,2.2
344,3.447
345,2.403
346,5.79
347,2.914
348,2.837
349,1.273
350,1.054
351,5.154
352,2.334
353,1.646
354,3.559
355,5.444
356,4.35
357,1.705
358,1.515
359,1.169
360,1.483
361,1.476
362,1.657
363,1.166
364,1.057
365,1.141
366,0.912
367,1.005
368,1.349
369,2.175
370,2.496
371,0.255
372,0.711
373,0.058
374,0.518
375,0.12
376,0.187
377,0.402
378,0.23
379,0.449
380,0.16
381,0.53
382,0.843
383,0.715
384,0.296
385,0.593
386,0.197
387,0.167
388,0.918
389,0.215
390,1.535
391,0.184
392,0.156
393,0.352
394,0.086
395,0.118
396,0.481
397,0.687
398,2.941
399,0.949
400,0.751
401,0.746
402,1.423
403,2.217
404,0.561
405,0.356
406,0.233
407,1.336
408,0.917
409,1.163
410,0.942
411,0.598
412,0.416
413,0.106
414,2.83
415,0.378
416,0.138
