node,labels
0,9.408
1,12.51
2,11.684
3,13.435
4,11.593
5,8.88
6,12.183
7,536.782
8,595.375
9,533.808
10,591.275
11,583.79
12,587.047
13,593.653
14,596.271
15,594.175
16,551.321
17,588.921
18,580.66
19,522.11
20,589.025
21,572.645
22,568.461
23,472.352
24,529.739
25,468.833
26,545.369
27,482.462
28,453.374
29,560.915
30,455.363
31,492.362
32,375.275
33,410.116
34,325.857
35,323.529
36,8.203
37,10.591
38,14.789
39,15.719
40,11.671
41,11.967
42,12.848
43,13.806
44,13.908
45,9.118
46,571.23
47,588.386
48,536.576
49,582.444
50,439.789
51,429.412
52,477.475
53,535.751
54,482.95
55,464.56
56,440.238
57,365.599
58,338.927
59,320.309
60,245.745
61,436.358
62,483.937
63,436.428
64,576.909
65,357.077
66,551.831
67,584.189
68,551.591
69,514.258
70,597.967
71,530.468
72,573.527
73,580.569
74,540.062
75,588.961
76,592.78
77,525.951
78,591.772
79,594.495
80,575.472
81,543.618
82,593.102
83,591.73
84,580.234
85,570.476
86,586.56
87,539.212
88,590.748
89,569.422
90,436.11
91,568.764
92,553.525
93,559.795
94,558.509
95,588.728
96,511.826
97,584.889
98,538.795
99,500.385
100,566.53
101,563.61
102,540.739
103,577.653
104,580.403
105,574.282
106,575.643
107,509.805
108,524.661
109,560.2
110,1.315
111,1.501
112,1.311
113,1.939
114,2.273
115,1.956
116,1.878
117,577.849
118,577.193
119,576.614
120,565.331
121,528.741
122,472.838
123,514.821
124,527.884
125,582.518
126,596.496
127,583.699
128,591.71
129,569.927
130,561.759
131,449.754
132,573.965
133,553.991
134,565.94
135,579.611
136,586.523
137,499.18
138,580.326
139,588.915
140,413.384
141,529.034
142,457.916
143,446.566
144,396.474
145,386.051
146,434.582
147,469.346
148,579.489
149,497.615
150,575.742
151,479.816
152,502.043
153,546.62
154,387.898
155,504.19
156,561.892
157,487.033
158,387.845
159,439.931
160,398.845
161,21.604
162,37.198
163,46.977
164,59.925
165,55.423
166,55.959
167,63.548
168,56.411
169,50.096
170,50.158
171,66.439
172,49.975
173,107.637
174,151.142
175,193.952
176,114.788
177,238.712
178,337.409
179,448.168
180,583.757
181,580.033
182,591.893
183,541.781
184,537.05
185,569.384
186,527.917
187,566.66
188,543.375
189,595.693
190,592.679
191,595.941
192,598.228
193,545.487
194,552.452
195,568.313
196,521.405
197,564.348
198,592.046
199,588.68
200,519.652
201,505.17
202,548.429
203,549.477
204,541.993
205,557.517
206,516.194
207,489.786
208,480.356
209,514.058
210,525.516
211,479.796
212,500.833
213,461.21
214,466.348
215,468.327
216,538.384
217,477.298
218,372.814
219,479.997
220,401.064
221,318.466
222,318.873
223,311.343
224,330.559
225,254.418
226,203.518
227,244.035
228,151.274
229,151.575
230,4.892
231,5.109
232,4.563
233,4.7
234,4.25
235,4.63
236,4.612
237,26.805
238,37.493
239,27.012
240,41.59
241,26.165
242,19.721
243,17.01
244,11.797
245,11.442
246,10.488
247,543.773
248,481.559
249,574.714
250,533.899
251,583.265
252,568.977
253,538.895
254,506.232
255,582.874
256,538.686
257,553.351
258,569.367
259,538.543
260,595.292
261,539.124
262,557.281
263,588.543
264,591.273
265,583.077
266,591.687
267,587.664
268,584.296
269,555.736
270,581.718
271,575.824
272,525.098
273,514.786
274,530.224
275,491.245
276,565.543
277,491.643
278,539.945
279,576.252
280,377.231
281,405.68
282,286.415
283,385.134
284,309.434
285,319.377
286,269.362
287,287.948
288,268.05
289,179.285
290,325.157
291,153.095
292,111.127
293,113.879
294,96.323
295,92.389
296,102.887
297,36.209
298,50.846
299,35.192
300,44.776
301,260.078
302,343.002
303,464.195
304,403.431
305,535.425
306,544.342
307,592.504
308,585.984
309,504.627
310,589.608
311,469.085
312,491.641
313,567.744
314,540.975
315,592.409
316,596.275
317,595.449
318,534.734
319,589.565
320,449.934
321,484.644
322,584.8
323,569.876
324,596.804
325,495.626
326,433.359
327,431.893
328,485.786
329,577.723
330,544.57
331,591.375
332,541.052
333,401.645
334,552.236
335,590.731
336,546.029
337,586.684
338,563.613
339,516.21
340,548.257
341,432.302
342,551.021
343,557.76
344,579.168
345,536.683
346,543.798
347,572.356
348,523.587
349,524.808
350,539.002
351,571.252
352,408.578
353,542.75
354,440.224
355,352.118
356,298.995
357,325.214
358,330.037
359,375.79
360,369.929
361,393.044
362,303.774
363,327.444
364,371.984
365,321.509
366,269.79
367,233.822
368,229.64
369,231.731
370,154.571
371,113.617
372,95.922
373,72.253
374,76.329
375,2.164
376,2.414
377,2.636
378,116.668
379,142.393
380,208.575
381,179.552
382,252.723
383,161.873
384,147.82
385,121.042
386,131.412
387,120.48
388,128.283
389,164.504
390,146.079
391,120.168
392,154.671
393,145.405
394,162.034
395,138.658
396,178.12
397,182.138
398,200.241
399,182.421
400,151.7
401,245.42
402,554.184
403,571.607
404,523.208
405,544.136
406,469.358
407,544.436
408,589.362
409,588.178
410,600.037
411,511.853
412,568.474
413,558.836
414,593.431
415,497.531
416,576.95
417,536.637
418,540.302
419,574.996
420,495.595
421,532.021
422,584.897
423,534.122
424,479.435
425,569.469
426,537.389
427,535.887
428,574.561
429,532.206
430,518.068
431,386.299
432,370.864
433,368.264
434,418.922
435,2.422
436,2.045
437,517.758
438,588.014
439,501.434
440,587.709
441,590.635
442,585.608
443,466.987
444,586.67
445,508.754
446,422.068
447,407.661
448,454.599
449,528.58
450,483.305
451,530.305
452,513.528
453,506.714
454,563.713
455,519.857
456,577.855
457,535.283
458,557.351
459,574.286
460,547.433
461,501.87
462,551.332
463,559.653
464,546.361
465,578.003
466,503.524
467,468.089
468,451.656
469,473.485
470,420.369
471,446.078
472,475.102
473,366.168
474,357.718
475,460.032
476,318.622
477,312.528
478,272.806
479,282.857
480,301.772
481,311.023
482,567.016
483,571.973
484,583.989
485,419.112
486,513.771
487,413.022
488,573.921
489,591.569
490,542.026
491,569.859
492,543.645
493,553.718
494,587.441
495,570.463
496,496.563
497,562.198
498,477.118
499,36.291
500,25.678
501,48.759
502,513.141
503,535.152
504,454.474
505,556.369
506,499.238
507,547.499
508,490.179
509,540.936
510,470.283
511,506.095
512,524.019
513,311.729
514,401.229
515,495.257
516,312.055
517,221.539
518,476.061
519,484.853
520,443.645
521,369.596
522,347.113
523,271.484
524,398.043
525,354.783
526,237.949
527,207.625
528,175.694
529,174.9
530,128.75
531,157.711
532,168.981
533,100.439
534,108.309
535,78.844
536,57.614
537,47.899
538,478.814
539,494.884
540,462.694
541,451.692
542,310.334
543,255.272
544,193.906
545,196.658
546,126.539
547,152.525
548,458.314
549,483.993
550,450.268
551,403.192
552,383.499
553,351.592
554,357.463
555,280.72
556,226.99
557,182.853
558,169.325
559,165.397
560,175.939
561,211.889
562,344.694
563,287.993
564,303.97
565,270.861
566,241.71
567,251.191
568,266.699
569,279.17
570,281.444
571,257.834
572,271.636
573,256.376
574,212.542
575,219.427
576,201.827
577,240.439
578,220.679
579,140.934
580,186.366
581,197.066
582,175.431
583,301.781
584,274.002
585,276.271
586,259.911
587,217.385
588,235.061
589,254.067
590,215.658
591,213.896
592,231.631
593,184.729
594,195.606
595,165.045
596,230.955
597,125.687
598,214.892
599,205.273
600,170.912
601,126.439
602,144.005
603,125.024
604,0.766
605,0.764
606,23.929
607,35.43
608,38.884
609,61.057
610,80.029
611,62.486
612,57.812
613,73.572
614,81.883
615,86.425
616,83.652
617,100.36
618,4.129
619,5.236
620,6.216
621,5.981
622,6.1
623,5.848
624,7.694
625,8.719
626,6.85
627,6.405
628,9.488
629,40.299
630,57.041
631,52.599
632,39.914
633,51.241
634,63.258
635,519.971
636,407.271
637,399.863
638,4.052
639,4.757
640,3.281
641,5.209
642,4.627
643,5.65
644,7.295
645,9.309
646,10.354
647,13.295
648,11.159
649,9.419
650,512.15
651,523.479
652,511.894
653,542.065
654,583.071
655,583.144
656,568.651
657,546.329
658,509.892
659,392.015
660,557.421
661,542.154
662,501.334
663,506.659
664,450.625
665,511.523
666,595.181
667,552.972
668,490.955
669,451.73
670,491.264
671,561.541
672,533.409
673,567.217
674,507.211
675,501.136
676,471.052
677,569.473
678,520.752
679,521.742
680,477.166
681,527.67
682,590.886
683,588.621
684,545.742
685,556.485
686,280.956
687,242.691
688,234.916
689,222.986
690,213.644
691,197.219
692,170.442
693,166.089
694,181.207
695,140.358
696,167.93
697,156.52
698,145.553
699,148.404
700,103.635
701,108.616
702,579.299
703,524.684
704,525.453
705,525.624
706,545.161
707,395.176
708,592.197
709,471.62
710,543.15
711,575.298
712,518.343
713,497.185
714,490.392
715,512.08
716,439.677
717,388.142
718,395.197
719,412.928
720,385.455
721,490.552
722,542.526
723,509.135
724,534.988
725,487.124
726,528.581
727,480.383
728,491.815
729,541.867
730,497.635
731,537.635
732,502.815
733,555.181
734,428.768
735,552.534
736,497.093
737,535.68
738,529.171
739,537.495
740,592.384
741,555.432
742,585.161
743,496.163
744,565.423
745,521.998
746,545.993
747,575.273
748,536.951
749,542.194
750,419.452
751,521.544
752,533.515
753,573.999
754,579.931
755,440.064
756,405.271
757,515.327
758,547.984
759,418.616
760,507.046
761,522.19
762,310.158
763,131.549
764,189.073
765,101.606
766,153.671
767,213.18
768,127.83
769,117.689
770,155.776
771,159.353
772,179.939
773,168.171
774,153.168
775,160.602
776,164.437
777,169.913
778,184.559
779,176.767
780,184.242
781,403.153
782,356.766
783,354.344
784,508.576
785,427.984
786,544.79
787,423.695
788,546.533
789,550.727
790,564.308
791,576.435
792,504.8
793,441.467
794,61.792
795,85.17
796,412.091
797,416.838
798,512.669
799,416.541
800,447.67
801,448.3
802,319.601
803,260.612
804,225.96
805,240.404
806,165.422
807,219.184
808,136.04
809,93.382
810,69.655
811,196.56
812,261.513
813,245.803
814,244.549
815,258.578
816,185.521
817,207.95
818,228.223
819,161.53
820,159.782
821,125.375
822,93.674
823,77.286
824,4.194
825,5.505
826,5.78
827,4.353
828,4.256
829,6.064
830,380.256
831,321.257
832,393.231
833,405.787
834,407.926
835,479.737
836,287.938
837,419.598
838,53.754
839,41.328
840,43.617
841,45.334
842,47.604
843,51.285
844,39.374
845,47.741
846,50.963
847,44.471
848,63.122
849,66.141
850,45.72
851,32.59
852,93.469
853,111.477
854,109.534
855,72.235
856,142.312
857,192.347
858,251.559
859,9.899
860,6.888
861,11.057
862,12.111
863,499.568
864,439.247
865,421.534
866,33.91
867,31.95
868,24.949
869,20.075
870,11.515
871,9.99
872,13.968
873,22.163
874,25.507
875,16.858
876,32.395
877,17.048
878,1.318
879,1.512
880,1.297
881,7.322
882,8.227
883,11.257
884,6.983
885,10.09
886,1.683
887,2.057
888,2.036
889,1.726
890,3.622
891,4.641
892,6.444
893,6.28
894,7.434
895,9.067
896,9.472
897,10.037
898,14.806
899,14.844
900,51.691
901,82.672
902,388.203
903,306.218
904,391.146
905,472.196
906,508.41
907,557.236
908,497.003
909,551.271
910,510.946
911,393.195
912,418.536
913,526.486
914,397.779
915,555.051
916,452.964
917,527.17
918,94.325
919,93.131
920,92.184
921,106.15
922,146.297
923,144.285
924,150.003
925,576.836
926,447.867
927,564.567
928,483.525
929,507.868
930,516.614
931,457.761
932,462.528
933,414.791
934,402.36
935,432.476
936,318.144
937,333.244
938,252.216
939,537.654
940,529.308
941,523.593
942,530.55
943,577.214
944,506.53
945,262.702
946,341.183
947,420.279
948,509.351
949,526.183
950,353.743
951,258.826
952,241.854
953,247.122
954,225.008
955,201.469
956,202.704
957,171.646
958,173.434
959,209.217
960,172.617
961,124.934
962,99.468
963,65.16
964,47.61
965,33.965
966,1.966
967,2.431
968,2.581
969,2.465
970,2.024
971,460.681
972,412.382
973,281.119
974,10.035
975,10.638
976,17.25
977,12.434
978,20.769
979,34.103
980,37.691
981,50.929
982,36.9
983,46.953
984,65.38
985,85.807
986,30.645
987,37.59
988,47.536
989,73.685
990,13.753
991,16.455
992,23.517
993,24.958
994,29.602
995,7.209
996,9.028
997,21.246
998,21.671
999,27.905
1000,33.801
1001,40.833
1002,35.699
1003,335.409
1004,4.164
1005,5.71
1006,462.905
1007,530.94
1008,420.647
1009,393.677
1010,385.779
1011,343.497
1012,310.481
1013,426.979
1014,406.785
1015,320.297
1016,282.631
1017,236.837
1018,293.125
1019,410.453
1020,397.269
1021,502.464
1022,485.011
1023,355.247
1024,523.155
1025,511.689
1026,396.09
1027,466.518
1028,418.139
1029,464.131
1030,327.695
1031,284.902
1032,154.658
1033,210.989
1034,235.583
1035,258.76
1036,235.224
1037,185.54
1038,170.482
1039,130.087
1040,143.723
1041,1.76
1042,2.007
1043,2.011
1044,1.772
1045,114.33
1046,94.359
1047,58.211
1048,121.821
1049,91.443
1050,1.796
1051,2.055
1052,2.074
1053,1.669
1054,74.54
1055,58.791
1056,104.922
1057,74.124
1058,68.342
1059,174.978
1060,219.065
1061,161.674
1062,126.081
1063,125.044
1064,95.892
1065,104.736
1066,66.099
1067,136.731
1068,160.927
1069,106.218
1070,121.168
1071,0.743
1072,0.722
1073,121.498
1074,160.712
1075,91.997
1076,13.305
1077,14.601
1078,22.339
1079,25.423
1080,415.557
1081,308.436
1082,321.363
1083,280.702
1084,291.423
1085,284.825
1086,228.641
1087,213.441
1088,177.092
1089,115.069
1090,295.182
1091,397.002
1092,443.679
1093,0.745
1094,0.775
1095,472.342
1096,0.75
1097,0.759
1098,0.729
1099,0.769
1100,457.89
1101,487.294
1102,2.481
1103,3.1
1104,3.43
1105,3.461
1106,3.444
1107,3.051
1108,2.572
1109,187.776
1110,251.7
1111,314.127
1112,0.729
1113,0.72
1114,344.799
1115,0.735
1116,0.748
1117,44.801
1118,65.679
1119,87.063
1120,121.897
1121,152.466
1122,172.608
