node,labels
0,536.782
1,595.375
2,533.808
3,591.275
4,583.79
5,587.047
6,593.653
7,596.271
8,594.175
9,551.321
10,588.921
11,580.66
12,522.11
13,589.025
14,572.645
15,568.461
16,472.352
17,529.739
18,468.833
19,545.369
20,482.462
21,453.374
22,560.915
23,455.363
24,492.362
25,375.275
26,410.116
27,325.857
28,323.529
29,571.23
30,588.386
31,536.576
32,582.444
33,439.789
34,429.412
35,477.475
36,535.751
37,482.95
38,464.56
39,440.238
40,365.599
41,338.927
42,320.309
43,245.745
44,436.358
45,483.937
46,436.428
47,576.909
48,357.077
49,551.831
50,584.189
51,551.591
52,514.258
53,597.967
54,530.468
55,573.527
56,580.569
57,540.062
58,588.961
59,592.78
60,525.951
61,591.772
62,594.495
63,575.472
64,543.618
65,593.102
66,591.73
67,580.234
68,570.476
69,586.56
70,539.212
71,590.748
72,569.422
73,436.11
74,568.764
75,553.525
76,559.795
77,558.509
78,588.728
79,511.826
80,584.889
81,538.795
82,500.385
83,566.53
84,563.61
85,540.739
86,577.653
87,580.403
88,574.282
89,575.643
90,509.805
91,524.661
92,560.2
93,577.849
94,577.193
95,576.614
96,565.331
97,528.741
98,472.838
99,514.821
100,527.884
101,582.518
102,596.496
103,583.699
104,591.71
105,569.927
106,561.759
107,449.754
108,573.965
109,553.991
110,565.94
111,579.611
112,586.523
113,499.18
114,580.326
115,588.915
116,413.384
117,529.034
118,457.916
119,446.566
120,396.474
121,386.051
122,434.582
123,469.346
124,579.489
125,497.615
126,575.742
127,479.816
128,502.043
129,546.62
130,387.898
131,504.19
132,561.892
133,487.033
134,387.845
135,439.931
136,398.845
137,21.604
138,37.198
139,46.977
140,59.925
141,55.423
142,55.959
143,63.548
144,56.411
145,50.096
146,50.158
147,66.439
148,49.975
149,107.637
150,151.142
151,193.952
152,114.788
153,238.712
154,337.409
155,448.168
156,583.757
157,580.033
158,591.893
159,541.781
160,537.05
161,569.384
162,527.917
163,566.66
164,543.375
165,595.693
166,592.679
167,595.941
168,598.228
169,545.487
170,552.452
171,568.313
172,521.405
173,564.348
174,592.046
175,588.68
176,519.652
177,505.17
178,548.429
179,549.477
180,541.993
181,557.517
182,516.194
183,489.786
184,480.356
185,514.058
186,525.516
187,479.796
188,500.833
189,461.21
190,466.348
191,468.327
192,538.384
193,477.298
194,372.814
195,479.997
196,401.064
197,318.466
198,318.873
199,311.343
200,330.559
201,254.418
202,203.518
203,244.035
204,151.274
205,151.575
206,26.805
207,37.493
208,27.012
209,41.59
210,26.165
211,19.721
212,17.01
213,11.797
214,11.442
215,10.488
216,543.773
217,481.559
218,574.714
219,533.899
220,583.265
221,568.977
222,538.895
223,506.232
224,582.874
225,538.686
226,553.351
227,569.367
228,538.543
229,595.292
230,539.124
231,557.281
232,588.543
233,591.273
234,583.077
235,591.687
236,587.664
237,584.296
238,555.736
239,581.718
240,575.824
241,525.098
242,514.786
243,530.224
244,491.245
245,565.543
246,491.643
247,539.945
248,576.252
249,377.231
250,405.68
251,286.415
252,385.134
253,309.434
254,319.377
255,269.362
256,287.948
257,268.05
258,179.285
259,325.157
260,153.095
261,111.127
262,113.879
263,96.323
264,92.389
265,102.887
266,36.209
267,50.846
268,35.192
269,44.776
270,260.078
271,343.002
272,464.195
273,403.431
274,535.425
275,544.342
276,592.504
277,585.984
278,504.627
279,589.608
280,469.085
281,491.641
282,567.744
283,540.975
284,592.409
285,596.275
286,595.449
287,534.734
288,589.565
289,449.934
290,484.644
291,584.8
292,569.876
293,596.804
294,495.626
295,433.359
296,431.893
297,485.786
298,577.723
299,544.57
300,591.375
301,541.052
302,401.645
303,552.236
304,590.731
305,546.029
306,586.684
307,563.613
308,516.21
309,548.257
310,432.302
311,551.021
312,557.76
313,579.168
314,536.683
315,543.798
316,572.356
317,523.587
318,524.808
319,539.002
320,571.252
321,408.578
322,542.75
323,440.224
324,352.118
325,298.995
326,325.214
327,330.037
328,375.79
329,369.929
330,393.044
331,303.774
332,327.444
333,371.984
334,321.509
335,269.79
336,233.822
337,229.64
338,231.731
339,154.571
340,113.617
341,95.922
342,72.253
343,76.329
344,116.668
345,142.393
346,208.575
347,179.552
348,252.723
349,161.873
350,147.82
351,121.042
352,131.412
353,120.48
354,128.283
355,164.504
356,146.079
357,120.168
358,154.671
359,145.405
360,162.034
361,138.658
362,178.12
363,182.138
364,200.241
365,182.421
366,151.7
367,245.42
368,554.184
369,571.607
370,523.208
371,544.136
372,469.358
373,544.436
374,589.362
375,588.178
376,600.037
377,511.853
378,568.474
379,558.836
380,593.431
381,497.531
382,576.95
383,536.637
384,540.302
385,574.996
386,495.595
387,532.021
388,584.897
389,534.122
390,479.435
391,569.469
392,537.389
393,535.887
394,574.561
395,532.206
396,518.068
397,386.299
398,370.864
399,368.264
400,418.922
401,517.758
402,588.014
403,501.434
404,587.709
405,590.635
406,585.608
407,466.987
408,586.67
409,508.754
410,422.068
411,407.661
412,454.599
413,528.58
414,483.305
415,530.305
416,513.528
417,506.714
418,563.713
419,519.857
420,577.855
421,535.283
422,557.351
423,574.286
424,547.433
425,501.87
426,551.332
427,559.653
428,546.361
429,578.003
430,503.524
431,468.089
432,451.656
433,473.485
434,420.369
435,446.078
436,475.102
437,366.168
438,357.718
439,460.032
440,318.622
441,312.528
442,272.806
443,282.857
444,301.772
445,311.023
446,567.016
447,571.973
448,583.989
449,419.112
450,513.771
451,413.022
452,573.921
453,591.569
454,542.026
455,569.859
456,543.645
457,553.718
458,587.441
459,570.463
460,496.563
461,562.198
462,477.118
463,36.291
464,25.678
465,48.759
466,513.141
467,535.152
468,454.474
469,556.369
470,499.238
471,547.499
472,490.179
473,540.936
474,470.283
475,506.095
476,524.019
477,311.729
478,401.229
479,495.257
480,312.055
481,221.539
482,476.061
483,484.853
484,443.645
485,369.596
486,347.113
487,271.484
488,398.043
489,354.783
490,237.949
491,207.625
492,175.694
493,174.9
494,128.75
495,157.711
496,168.981
497,100.439
498,108.309
499,78.844
500,57.614
501,47.899
502,478.814
503,494.884
504,462.694
505,451.692
506,310.334
507,255.272
508,193.906
509,196.658
510,126.539
511,152.525
512,458.314
513,483.993
514,450.268
515,403.192
516,383.499
517,351.592
518,357.463
519,280.72
520,226.99
521,182.853
522,169.325
523,165.397
524,175.939
525,211.889
526,344.694
527,287.993
528,303.97
529,270.861
530,241.71
531,251.191
532,266.699
533,279.17
534,281.444
535,257.834
536,271.636
537,256.376
538,212.542
539,219.427
540,201.827
541,240.439
542,220.679
543,140.934
544,186.366
545,197.066
546,175.431
547,301.781
548,274.002
549,276.271
550,259.911
551,217.385
552,235.061
553,254.067
554,215.658
555,213.896
556,231.631
557,184.729
558,195.606
559,165.045
560,230.955
561,125.687
562,214.892
563,205.273
564,170.912
565,126.439
566,144.005
567,125.024
568,23.929
569,35.43
570,38.884
571,61.057
572,80.029
573,62.486
574,57.812
575,73.572
576,81.883
577,86.425
578,83.652
579,100.36
580,40.299
581,57.041
582,52.599
583,39.914
584,51.241
585,63.258
586,519.971
587,407.271
588,399.863
589,512.15
590,523.479
591,511.894
592,542.065
593,583.071
594,583.144
595,568.651
596,546.329
597,509.892
598,392.015
599,557.421
600,542.154
601,501.334
602,506.659
603,450.625
604,511.523
605,595.181
606,552.972
607,490.955
608,451.73
609,491.264
610,561.541
611,533.409
612,567.217
613,507.211
614,501.136
615,471.052
616,569.473
617,520.752
618,521.742
619,477.166
620,527.67
621,590.886
622,588.621
623,545.742
624,556.485
625,280.956
626,242.691
627,234.916
