node,labels
0,24.361
1,26.368
2,23.953
3,20.949
4,25.677
5,21.17
6,22.414
7,20.867
8,21.7
9,21.561
10,25.522
11,29.105
12,24.606
13,23.535
14,21.975
15,29.807
16,23.417
17,23.206
18,25.955
19,25.658
20,24.198
21,17.608
22,29.72
23,29.201
24,13.429
25,7.339
26,30.486
27,27.148
28,25.133
29,32.097
30,28.177
31,32.212
32,23.302
33,15.808
34,27.7
35,9.048
36,4.244
37,5.754
38,7.978
39,44.721
40,25.378
41,6.561
42,6.21
43,7.536
44,18.819
45,20.978
46,15.331
47,3.074
48,3.595
49,15.717
50,3.334
51,1.046
52,0.786
53,1.25
54,3.729
55,4.353
56,2.578
57,16.852
58,3.837
59,1.703
60,3.083
61,10.657
62,1.981
63,1.398
64,27.911
65,11.615
66,43.789
67,34.763
68,45.014
69,42.087
70,27.679
71,12.664
72,36.303
73,25.056
74,50.031
75,30.414
76,32.221
77,10.054
78,30.444
79,38.504
80,43.832
81,38.061
82,36.097
83,47.026
84,25.304
85,30.818
86,38.96
87,46.276
88,26.558
89,35.69
90,46.252
91,8.432
92,36.152
93,37.414
94,41.017
95,44.554
96,34.729
97,27.022
98,26.405
99,41.038
100,2.44
101,2.249
102,1.339
103,4.109
104,2.255
105,14.564
106,7.725
107,0.092
108,0.403
109,2.265
110,5.364
111,4.38
112,4.886
113,28.119
114,14.734
115,16.638
116,0.494
117,0.316
118,0.265
119,2.893
120,8.928
121,12.989
122,4.188
123,6.814
124,8.528
125,0.381
126,0.315
127,0.365
128,0.328
129,1.801
130,26.902
131,0.419
132,25.468
133,32.817
134,24.293
135,25.205
136,31.549
137,25.531
138,20.894
139,24.78
140,20.392
141,30.513
142,23.433
143,20.841
144,32.783
145,34.167
146,28.062
147,32.584
148,18.283
149,33.578
150,0.429
151,2.338
152,21.272
153,24.158
154,3.377
155,3.247
156,3.816
157,2.921
158,1.247
159,2.836
160,28.126
161,24.949
162,25.452
163,28.876
164,2.797
165,13.861
166,3.323
167,5.363
168,3.547
169,24.878
170,33.298
171,30.446
172,11.842
173,21.045
174,23.621
175,26.344
176,13.267
177,28.345
178,28.211
179,2.306
180,8.337
181,27.234
182,5.337
183,8.895
184,6.537
185,8.413
186,11.952
187,20.159
188,0.892
189,0.959
190,0.11
191,1.598
192,0.544
193,15.373
194,10.999
195,17.752
196,7.651
197,19.462
198,6.032
199,4.135
200,23.932
201,3.644
202,7.816
203,7.82
204,1.846
205,6.672
206,1.956
207,2.512
208,1.75
209,2.955
210,24.931
211,22.936
212,23.506
213,1.562
214,9.254
215,12.214
216,9.268
217,12.018
218,11.443
219,17.434
220,17.847
221,19.74
222,9.969
223,12.498
224,14.556
225,9.375
226,16.655
227,10.972
228,0.605
229,1.194
230,1.172
231,1.34
232,1.69
233,1.614
234,1.411
235,2.616
236,3.157
237,1.851
238,3.118
239,5.673
240,3.164
241,7.889
242,0.072
243,0.057
244,5.69
245,4.602
246,5.682
247,4.912
248,4.342
249,20.686
250,23.039
251,27.073
252,29.949
253,25.029
254,0.583
255,0.534
256,0.608
257,0.618
258,0.569
259,0.596
260,0.61
261,2.714
262,6.49
263,5.939
264,6.373
265,7.556
266,7.287
267,4.698
268,6.015
269,14.182
270,0.346
271,6.022
272,1.668
273,1.061
274,5.164
275,0.508
276,6.253
277,2.976
278,2.772
279,0.344
280,25.916
281,25.301
282,0.981
283,0.142
284,10.027
285,12.385
286,2.438
287,5.427
288,0.764
289,5.127
290,1.078
291,2.325
292,1.727
293,0.646
294,4.125
295,22.205
296,1.389
297,0.51
298,2.173
299,0.811
300,15.563
301,0.317
302,1.825
303,0.22
304,2.752
305,0.082
306,0.079
307,0.805
308,10.027
309,2.119
310,1.85
311,0.436
312,2.596
313,1.969
314,2.054
315,0.66
316,0.701
317,0.479
318,0.472
319,9.114
320,17.925
321,2.346
322,6.611
323,0.08
324,0.069
325,12.31
326,9.688
327,5.978
328,3.77
329,4.472
330,6.538
331,2.236
332,0.153
333,5.162
334,0.59
335,0.099
336,1.572
337,1.079
338,1.5
339,2.265
340,7.318
341,4.008
342,3.067
343,1.627
344,1.441
345,2.423
346,0.762
347,0.07
