node,labels
0,24.361
1,26.368
2,23.953
3,20.949
4,25.677
5,21.17
6,22.414
7,20.867
8,21.7
9,21.561
10,25.522
11,29.105
12,24.606
13,23.535
14,21.975
15,29.807
16,23.417
17,23.206
18,25.955
19,25.658
20,24.198
21,17.608
22,29.72
23,29.201
24,13.429
25,7.339
26,30.486
27,27.148
28,25.133
29,32.097
30,28.177
31,32.212
32,23.302
33,15.808
34,27.7
35,9.048
36,4.244
37,5.754
38,7.978
39,44.721
40,25.378
41,6.561
42,6.21
43,7.536
44,18.819
45,20.978
46,15.331
47,3.074
48,3.595
49,15.717
50,3.334
51,1.046
52,0.786
53,1.25
54,3.729
55,4.353
56,2.578
57,16.852
58,3.837
59,1.703
60,3.083
61,10.657
62,1.981
63,1.398
64,27.911
65,11.615
66,43.789
67,34.763
68,45.014
69,42.087
70,27.679
71,12.664
72,36.303
73,25.056
74,50.031
75,30.414
76,32.221
77,10.054
78,30.444
79,38.504
80,43.832
81,38.061
82,36.097
83,47.026
84,25.304
85,30.818
86,38.96
87,46.276
88,26.558
89,35.69
90,46.252
91,8.432
92,36.152
93,37.414
94,41.017
95,44.554
96,34.729
97,27.022
98,26.405
99,41.038
100,2.44
101,2.249
102,1.339
103,4.109
104,2.255
105,14.564
106,7.725
107,2.265
108,5.364
109,4.38
110,4.886
111,28.119
112,14.734
113,16.638
114,0.494
115,0.316
116,0.265
117,2.893
118,8.928
119,12.989
120,4.188
121,6.814
122,8.528
123,1.801
124,26.902
125,0.419
126,25.468
127,32.817
128,24.293
129,25.205
130,31.549
131,25.531
132,20.894
133,24.78
134,20.392
135,30.513
136,23.433
137,20.841
138,32.783
139,34.167
140,28.062
141,32.584
142,18.283
143,33.578
144,0.429
145,2.338
146,21.272
147,24.158
148,3.377
149,3.247
150,3.816
151,2.921
152,1.247
153,2.836
154,28.126
155,24.949
156,25.452
157,28.876
158,2.797
159,13.861
160,3.323
161,5.363
162,3.547
163,24.878
164,33.298
165,30.446
166,11.842
167,21.045
168,23.621
169,26.344
170,13.267
171,28.345
172,28.211
173,2.306
174,8.337
175,27.234
176,5.337
177,8.895
178,6.537
179,8.413
180,11.952
181,20.159
182,0.892
183,0.959
184,0.11
185,1.598
186,0.544
187,15.373
188,10.999
189,17.752
190,7.651
191,19.462
192,6.032
193,4.135
194,23.932
195,3.644
196,7.816
197,7.82
198,1.846
199,6.672
200,1.956
201,2.512
202,1.75
203,2.955
204,24.931
205,22.936
206,23.506
207,1.562
208,9.254
209,12.214
210,9.268
211,12.018
212,11.443
213,17.434
214,17.847
215,19.74
216,9.969
217,12.498
218,14.556
219,9.375
220,16.655
221,10.972
222,0.605
223,1.194
224,1.172
225,1.34
226,1.69
227,1.614
228,1.411
229,2.616
230,3.157
231,1.851
232,3.118
233,5.673
234,3.164
235,7.889
236,5.69
237,4.602
238,5.682
239,4.912
240,4.342
241,20.686
242,23.039
243,27.073
244,29.949
245,25.029
246,2.714
247,6.49
248,5.939
249,6.373
250,7.556
251,7.287
252,4.698
253,6.015
254,14.182
255,0.346
256,6.022
257,1.668
258,1.061
259,5.164
260,0.508
261,6.253
262,2.976
263,2.772
264,0.344
265,25.916
266,25.301
267,0.981
268,0.142
269,10.027
270,12.385
271,2.438
272,5.427
273,0.764
274,5.127
275,1.078
276,2.325
277,1.727
278,0.646
279,4.125
280,22.205
281,1.389
282,0.51
283,2.173
284,0.811
285,15.563
286,0.317
287,1.825
288,0.22
289,2.752
290,0.805
291,10.027
292,2.119
293,1.85
294,0.436
295,2.596
296,1.969
297,2.054
298,0.66
299,0.701
300,0.479
301,0.472
302,9.114
303,17.925
304,2.346
305,6.611
306,12.31
307,9.688
308,5.978
309,3.77
310,4.472
311,6.538
312,2.236
313,0.153
314,5.162
315,0.59
316,0.099
317,1.572
318,1.079
319,1.5
320,2.265
321,7.318
322,4.008
323,3.067
324,1.627
325,1.441
326,2.423
327,0.762
328,0.07
