node,labels
0,37.789
1,38.389
2,41.975
3,31.598
4,35.071
5,39.946
6,34.686
7,28.174
8,33.981
9,39.644
10,34.88
11,34.913
12,25.987
13,34.155
14,27.329
15,22.091
16,36.502
17,31.193
18,35.744
19,27.706
20,28.089
21,22.248
22,32.327
23,25.011
24,38.651
25,32.147
26,27.201
27,21.569
28,31.442
29,29.718
30,17.254
31,33.737
32,37.012
33,31.045
34,28.645
35,22.545
36,26.315
37,26.728
38,23.172
39,22.998
40,24.653
41,19.845
42,17.359
43,15.311
44,13.067
45,22.155
46,22.217
47,19.027
48,16.127
49,22.042
50,25.038
51,10.82
52,10.996
53,22.91
54,17.508
55,16.702
56,21.232
57,17.588
58,10.477
59,19.388
60,11.943
61,18.117
62,24.046
63,26.822
64,18.057
65,14.015
66,14.816
67,5.921
68,16.316
69,12.621
70,9.882
71,14.171
72,9.783
73,25.937
74,32.789
75,24.682
76,18.386
77,31.257
78,35.402
79,24.199
80,18.784
81,26.19
82,27.237
83,12.832
84,25.016
85,24.202
86,19.181
87,16.739
88,21.682
89,27.302
90,15.268
91,17.644
92,25.337
93,15.362
94,16.318
95,21.667
96,6.524
97,16.284
98,15.979
99,5.329
100,16.881
101,9.216
102,14.012
103,23.222
104,11.924
105,40.43
106,21.043
107,20.504
108,17.982
109,18.303
110,19.237
111,10.021
112,16.436
113,19.932
114,10.92
115,15.491
116,13.01
117,17.33
118,9.032
119,13.507
120,15.983
121,9.46
122,5.885
123,17.388
124,11.273
125,11.762
126,8.038
127,22.515
128,5.794
129,15.878
130,15.54
131,17.049
132,12.72
133,11.674
134,12.713
135,12.422
136,12.205
137,18.852
138,11.063
139,9.277
140,15.006
141,10.329
142,14.62
143,12.204
144,14.093
145,7.133
146,7.95
147,17.71
148,10.46
149,9.118
150,13.966
151,17.694
152,12.855
153,10.437
154,2.784
155,10.76
156,13.574
157,8.677
158,8.711
159,8.932
160,13.583
161,16.858
162,12.25
163,12.005
164,11.102
165,9.473
166,5.931
167,12.197
168,9.116
169,10.295
170,9.185
171,9.136
172,11.055
173,11.672
174,8.314
175,9.743
176,5.791
177,4.094
178,12.003
179,5.284
180,3.967
181,10.162
182,13.244
183,5.285
184,5.12
185,9.112
186,11.771
187,6.563
188,10.832
189,12.271
190,10.131
191,11.923
192,8.363
193,4.438
194,10.863
195,5.121
196,11.637
197,5.128
198,5.987
199,4.523
200,5.348
201,4.179
202,7.045
203,2.363
204,5.067
205,48.305
