node,labels
0,244.588
1,35.467
2,75.716
3,94.281
4,188.565
5,112.191
6,123.305
7,121.324
8,116.557
9,237.142
10,58.704
11,71.153
12,35.223
13,64.24
14,91.387
15,163.924
16,115.533
17,38.122
18,139.442
19,112.963
20,117.482
21,65.014
22,53.253
23,40.523
24,258.96
25,41.908
26,53.984
27,37.81
28,56.875
29,53.677
30,109.482
31,124.602
32,106.611
33,201.05
34,68.489
35,155.431
36,165.548
37,43.57
38,60.293
39,94.885
40,48.671
41,188.342
42,6.524
43,48.362
44,52.956
45,62.912
46,54.165
47,27.141
48,77.588
49,16.781
50,28.14
51,127.801
52,11.736
53,134.677
54,161.205
55,118.708
56,30.066
57,65.66
58,57.899
59,149.987
60,81.312
61,27.061
62,28.454
63,91.8
64,114.705
65,31.88
66,104.627
67,81.282
68,74.234
69,241.474
70,65.202
71,96.4
72,43.342
73,209.038
74,37.885
75,134.252
76,39.004
77,111.397
78,126.934
79,72.523
80,54.646
81,72.676
82,70.461
83,39.237
84,69.876
85,189.641
86,70.628
87,126.779
88,59.733
89,54.085
90,81.092
91,86.691
92,89.901
93,57.8
94,43.949
95,50.237
96,36.644
97,45.332
98,40.077
99,165.856
100,148.914
101,68.236
102,32.96
103,147.924
104,74.373
105,73.776
106,38.078
107,64.75
108,164.273
109,33.671
110,34.503
111,39.413
112,61.945
113,209.812
114,59.211
115,53.513
116,28.477
117,39.86
118,236.984
119,172.658
120,79.423
121,164.077
122,94.35
123,145.763
124,122.042
125,95.223
126,159.741
127,80.017
128,48.74
129,248.575
130,136.584
131,41.941
132,63.947
133,93.601
134,57.928
135,35.581
136,59.095
137,35.685
138,34.445
139,34.598
140,54.518
141,78.612
142,79.671
143,186.187
144,31.622
145,71.251
146,35.903
147,40.085
148,37.363
149,236.148
150,39.183
151,39.602
152,36.977
153,51.637
154,39.176
155,35.629
156,23.655
157,28.002
158,29.696
159,17.139
160,21.804
161,40.797
162,64.181
163,203.907
164,50.114
165,30.933
166,113.052
167,187.339
168,80.939
169,78.703
170,99.998
171,31.264
172,93.281
173,45.748
174,199.753
175,33.449
176,70.855
177,225.837
178,171.486
179,76.045
180,238.066
181,36.373
182,46.491
183,30.852
184,31.716
185,127.985
186,49.303
187,86.988
188,31.332
189,53.115
190,118.31
191,21.596
192,15.519
193,57.971
194,24.215
195,80.082
196,47.366
197,19.939
198,221.964
199,94.775
200,63.95
201,140.92
202,64.41
203,268.661
204,31.716
205,195.942
206,34.196
207,155.79
208,37.518
209,95.57
210,107.685
211,61.237
212,61.819
213,192.827
214,30.158
215,66.66
216,27.242
217,33.234
218,104.018
219,160.363
220,33.054
221,82.695
222,387.534
223,136.235
224,116.286
225,130.503
226,60.343
227,65.032
228,64.195
229,110.775
230,141.315
231,105.261
232,73.713
233,69.508
234,87.438
235,109.674
236,154.259
237,81.389
238,65.238
239,142.27
240,60.363
241,196.727
242,141.384
243,73.18
244,56.06
245,131.25
246,135.104
247,86.28
248,134.675
249,183.256
250,99.067
251,176.872
252,124.159
253,115.402
254,85.278
255,159.971
256,62.599
257,82.47
258,127.15
259,70.377
260,202.35
261,80.654
262,155.721
263,222.15
264,88.837
265,70.059
266,100.913
267,132.781
268,82.696
269,61.515
270,163.789
271,187.692
272,73.158
273,63.587
274,139.426
275,113.293
276,105.456
277,224.361
278,109.491
279,178.11
280,163.533
281,144.852
282,64.027
283,106.731
284,250.601
285,75.36
286,79.695
287,175.801
288,74.586
289,112.187
290,70.548
291,61.364
292,55.764
293,76.504
294,75.268
295,56.524
296,227.222
297,98.427
298,59.374
299,76.572
300,80.496
301,114.84
302,59.104
303,244.542
304,86.431
305,67.184
306,61.541
307,63.548
308,98.136
309,96.778
310,64.229
311,90.644
312,63.715
313,82.324
314,123.172
315,63.122
316,134.853
317,68.512
318,224.092
319,150.945
320,140.704
321,230.652
322,198.988
323,126.429
324,131.083
325,59.687
326,188.121
327,86.777
328,48.752
329,102.43
330,103.052
331,39.504
332,83.311
333,103.924
334,84.746
335,97.466
336,78.331
337,114.785
338,61.553
339,52.845
340,31.864
341,28.103
342,25.425
343,21.171
344,3.725
345,94.749
346,19.667
347,99.319
348,15.305
349,46.23
350,39.391
351,87.506
352,128.808
353,13.171
354,15.198
355,23.1
356,32.098
357,37.476
358,57.687
359,6.429
360,21.349
361,7.799
362,21.837
363,15.949
364,314.382
365,64.232
366,84.539
367,85.798
368,46.733
369,59.902
370,63.987
371,162.306
372,206.761
373,89.932
374,64.263
375,67.635
376,88.842
377,73.918
378,77.866
379,87.987
380,153.108
381,103.815
382,76.821
383,61.898
384,162.794
385,128.345
386,100.035
387,68.632
388,57.378
389,94.31
390,64.12
391,119.467
392,46.305
393,141.466
394,119.774
395,126.513
396,67.224
397,74.245
398,21.877
399,163.004
400,45.989
401,21.071
402,93.43
403,126.234
404,20.123
405,124.394
406,17.725
407,20.753
408,127.075
409,35.012
410,24.605
411,120.226
412,47.521
413,21.845
414,23.226
415,19.46
416,21.296
417,124.882
418,65.176
419,44.016
420,58.673
421,89.541
422,18.095
423,144.232
424,125.248
425,59.054
426,20.569
427,148.169
428,88.038
429,17.318
430,4.491
431,34.805
432,5.077
433,7.297
434,36.586
435,25.538
436,2.517
437,82.06
438,82.129
