node,labels
0,1.217
1,2.564
2,2.434
3,1.572
4,0.238
5,0.532
6,0.028
7,0.691
8,2.062
9,1.984
10,0.043
11,1.106
12,0.799
13,0.553
14,0.248
15,0.555
16,1.954
17,0.348
18,0.765
19,0.042
20,1.409
21,0.223
22,0.486
23,0.135
24,0.963
25,0.048
26,0.587
27,0.915
28,0.045
29,0.455
30,1.527
31,2.547
32,2.862
33,2.672
34,0.629
35,1.918
36,0.178
37,0.792
38,2.131
39,2.413
40,2.042
41,0.828
42,1.84
43,2.338
44,2.297
45,0.065
46,0.943
47,2.1
48,1.975
49,0.935
50,1.922
51,2.48
52,2.053
53,0.131
54,2.664
55,0.639
56,0.702
57,0.073
58,0.061
59,0.184
60,0.084
61,0.084
62,0.133
63,0.083
64,1.237
65,2.959
66,0.133
67,0.431
68,0.335
69,0.081
70,2.08
71,0.094
72,0.111
73,0.051
74,0.081
75,0.087
76,0.053
77,0.099
78,7.917
79,4.205
80,0.541
81,1.916
82,0.701
83,1.952
84,2.431
85,0.199
86,1.525
87,1.262
88,0.387
89,7.066
90,1.249
91,2.634
92,2.333
93,3.261
94,1.961
95,3.139
96,2.576
97,2.606
98,2.088
99,0.245
100,2.563
101,0.164
102,3.789
103,0.824
104,3.11
105,2.56
106,1.6
107,0.577
108,1.749
109,4.193
110,2.149
111,2.377
112,1.286
113,2.398
114,3.474
115,0.304
116,3.438
117,2.75
118,0.868
119,0.386
120,0.603
121,3.727
122,3.136
123,0.748
124,2.084
125,1.644
126,1.341
127,3.506
128,0.749
129,2.392
130,1.283
131,0.475
132,2.39
133,0.799
134,2.793
135,1.749
136,0.381
137,0.788
138,0.252
139,1.16
140,1.979
141,3.776
142,0.72
143,1.94
144,4.048
145,2.096
146,3.009
147,1.905
148,2.115
149,0.773
150,0.967
151,2.769
152,1.976
153,1.978
154,0.387
155,1.773
156,2.455
157,1.841
158,0.595
159,2.781
160,1.141
161,0.602
162,2.764
163,0.418
164,2.501
165,2.747
166,1.015
167,3.183
168,1.078
169,0.184
170,0.151
171,0.636
172,1.789
173,1.416
174,1.81
175,1.526
176,2.926
177,1.837
178,3.275
179,1.952
180,2.724
181,2.27
182,6.346
183,0.444
184,0.778
185,0.367
186,0.365
187,0.416
188,0.324
189,0.395
190,0.193
191,0.468
192,0.385
193,0.441
194,0.416
195,0.575
196,0.662
197,0.287
198,0.236
199,0.575
200,0.432
201,0.804
202,0.503
203,0.236
204,0.313
205,0.442
206,0.436
207,0.736
208,0.479
209,0.317
210,0.389
211,0.181
212,0.3
213,0.292
214,0.356
215,1.133
216,0.473
217,0.707
218,0.314
219,0.242
220,0.235
221,0.188
222,0.634
223,0.241
224,0.158
225,0.25
226,0.336
227,0.503
228,0.5
229,0.596
230,0.271
231,0.431
232,0.168
233,0.216
234,0.529
235,0.733
236,0.597
237,0.462
238,0.299
239,0.216
240,0.128
241,0.329
242,0.307
243,0.206
244,0.242
245,0.159
246,0.379
247,0.347
248,1.232
249,0.415
250,0.314
251,0.395
252,0.428
253,0.205
254,0.466
255,1.427
256,0.168
257,0.145
258,0.231
259,0.377
260,0.21
261,0.23
262,4.054
263,0.151
264,0.153
265,0.199
266,0.393
267,0.202
268,0.212
269,0.17
270,0.233
271,0.299
272,0.125
273,0.309
274,7.604
275,3.295
276,0.334
277,0.157
278,0.234
279,0.387
280,0.249
281,0.384
282,0.187
283,0.263
284,0.454
285,0.241
286,0.188
287,0.65
288,0.339
289,0.261
290,0.187
291,0.392
292,0.22
293,0.141
294,0.492
295,1.2
296,0.295
297,0.243
298,0.216
299,0.582
300,0.301
301,0.337
302,0.212
303,0.393
304,0.644
305,0.176
306,0.214
307,0.18
308,0.392
309,0.278
310,0.297
311,0.136
312,0.238
313,0.315
314,1.342
315,0.214
316,0.223
317,0.204
318,0.122
319,2.495
320,0.133
321,0.371
322,0.34
323,0.236
324,0.383
325,0.194
326,0.284
327,0.182
328,0.206
329,0.383
330,0.182
331,0.154
332,0.71
333,0.244
334,0.243
335,0.355
336,0.249
337,2.37
338,1.973
339,0.181
340,0.281
341,0.142
342,0.314
343,1.092
344,0.206
345,0.365
346,0.16
347,0.661
348,0.055
349,0.031
350,0.453
351,3.402
352,0.084
353,0.039
354,0.038
355,2.828
356,2.628
357,3.339
358,0.102
359,0.247
360,0.236
361,0.111
362,0.226
363,3.089
364,1.023
365,1.307
366,0.048
367,0.063
368,0.05
369,0.046
