node,labels
0,1.133
1,2.892
2,5.809
3,0.41
4,0.36
5,0.433
6,0.257
7,4.23
8,3.209
9,1.464
10,0.202
11,6.966
12,0.174
13,1.737
14,3.986
15,6.229
16,44.94
17,10.889
18,6.726
19,9.18
20,1.907
21,0.42
22,1.919
23,23.887
24,0.963
25,9.003
26,1.024
27,1.206
28,2.561
29,2.356
30,2.357
31,15.12
32,4.68
33,44.042
34,1.148
35,27.926
36,8.327
37,31.807
38,26.784
39,13.628
40,31.505
41,2.23
42,47.924
43,4.041
44,70.898
45,3.236
46,53.111
47,9.812
48,2.706
49,42.947
50,83.524
51,3.941
52,9.098
53,55.326
54,16.092
55,5.184
56,84.829
57,1.446
58,0.139
59,0.107
60,1.267
61,1.73
62,0.944
63,13.143
64,9.64
65,27.097
66,1.374
67,36.81
68,3.689
69,2.174
70,1.406
71,0.858
72,80.163
73,67.051
74,26.86
75,25.361
76,75.697
77,20.626
78,20.295
79,45.8
80,86.038
81,8.343
82,28.357
83,21.561
84,6.726
85,40.519
86,53.136
87,62.73
88,30.953
89,15.554
90,26.277
91,11.923
92,33.748
93,77.338
94,40.124
95,27.063
96,37.887
97,50.195
98,23.767
99,6.967
100,19.454
101,36.598
102,29.483
103,59.462
104,27.964
105,33.318
106,45.702
107,13.82
108,9.044
109,5.521
110,48.568
111,34.316
112,8.733
113,70.659
114,8.085
115,33.09
116,19.894
117,73.271
118,38.296
119,9.951
120,78.072
121,28.82
122,13.686
123,11.87
124,96.198
125,13.416
126,71.114
127,64.821
128,86.164
129,93.067
130,47.325
131,79.364
132,87.164
133,76.624
134,55.96
135,83.12
136,54.89
137,77.349
138,17.041
139,6.466
140,21.473
141,11.164
142,7.743
143,51.145
144,18.62
145,23.651
146,6.891
147,5.883
148,6.802
149,8.056
150,8.035
151,8.817
152,10.032
153,9.403
154,9.237
155,19.768
156,47.141
157,7.525
158,7.014
159,29.262
160,28.725
161,34.413
162,16.898
163,8.497
164,29.654
165,21.396
166,27.06
167,7.985
168,10.277
169,57.643
170,53.037
171,10.74
172,59.487
173,7.223
174,29.714
175,8.42
176,10.36
177,17.072
178,11.498
179,7.21
180,6.712
181,10.142
182,17.386
183,7.171
184,17.822
185,13.108
186,44.828
187,14.634
188,14.445
189,13.547
190,21.612
191,19.748
192,15.216
193,19.692
194,48.272
195,7.632
196,14.969
197,32.361
198,7.225
199,45.469
200,7.512
201,10.71
202,3.358
203,4.548
204,4.309
205,36.075
206,0.419
207,1.756
208,2.932
209,0.457
210,0.267
211,0.758
212,0.613
213,0.392
214,0.647
215,1.672
216,0.446
217,0.636
218,9.647
219,5.507
220,0.243
221,22.778
222,7.753
223,36.419
224,28.427
225,2.355
226,7.907
227,8.498
228,49.386
229,58.686
230,23.099
231,4.465
232,22.113
233,31.411
234,11.485
235,5.093
236,34.542
237,4.877
238,7.054
239,38.194
240,17.4
241,49.961
242,9.103
243,3.73
244,13.868
245,20.281
246,3.522
247,20.984
248,0.883
249,5.019
250,6.558
251,2.889
252,35.226
253,4.644
254,3.439
255,5.578
256,1.943
257,9.338
258,20.656
259,2.078
260,11.333
261,24.931
262,1.063
263,79.111
264,33.337
265,15.272
266,1.391
267,2.083
268,13.219
269,2.288
270,2.989
271,0.31
272,0.255
273,0.28
274,0.625
275,0.276
276,1.43
277,2.898
278,0.294
279,0.727
280,2.106
281,6.697
282,5.086
283,2.443
284,0.538
285,3.933
286,0.402
287,4.46
288,2.622
289,0.823
290,11.289
291,0.234
292,6.975
293,1.254
294,3.927
295,6.193
296,5.134
297,1.352
298,2.107
299,2.305
300,1.851
301,2.314
302,2.367
303,2.022
304,2.303
305,10.626
306,0.159
307,0.373
308,0.98
309,4.306
310,0.417
311,0.156
312,0.8
313,54.214
314,21.083
315,64.66
316,10.269
317,17.489
318,16.404
319,23.084
320,32.61
321,16.503
322,25.775
323,9.513
324,17.131
325,39.859
326,10.245
327,47.93
328,24.763
329,8.521
330,30.464
331,26.925
332,27.683
333,43.636
334,24.819
335,8.692
336,33.093
337,39.92
338,8.681
339,24.283
340,13.399
341,43.832
342,33.954
343,32.324
344,10.376
345,21.45
346,17.051
347,43.326
348,49.127
349,15.918
350,49.698
351,40.593
352,54.649
353,8.498
354,22.144
355,32.315
356,27.697
357,14.333
358,73.897
359,7.652
360,22.379
361,2.388
362,33.333
363,5.958
364,4.433
365,6.598
366,5.152
367,4.508
368,15.858
369,21.596
370,12.401
371,4.983
372,33.586
373,3.428
374,27.914
375,4.873
376,4.871
377,45.438
378,7.855
379,40.823
380,31.103
381,73.054
382,1.829
383,29.802
384,26.256
385,22.616
386,2.081
387,1.994
388,28.931
389,2.158
390,6.34
391,1.487
392,15.273
393,2.314
394,2.724
395,1.468
396,3.448
397,8.373
398,8.059
399,10.141
400,24.121
401,21.549
402,4.398
403,3.181
404,23.632
405,0.162
406,1.927
407,0.388
408,0.568
409,17.463
410,0.328
411,0.468
412,7.399
413,1.631
414,0.407
415,1.131
416,38.392
417,7.216
418,1.13
419,0.691
420,2.489
421,1.0
422,0.724
423,3.271
424,0.209
425,11.615
426,5.603
427,13.995
428,4.789
429,4.972
430,10.061
431,7.824
432,14.125
433,5.375
434,9.86
435,25.183
436,5.593
437,5.993
438,39.955
439,10.729
440,7.158
441,21.401
442,11.908
443,5.041
444,18.148
445,8.995
446,18.95
447,11.784
448,17.89
449,5.12
450,4.94
451,14.782
452,6.651
453,9.91
454,13.59
455,19.909
456,4.885
457,8.526
458,10.319
459,5.87
460,10.849
461,7.97
462,9.942
463,13.5
464,44.248
465,8.998
466,2.466
467,3.023
468,0.862
469,0.674
470,0.423
471,2.154
472,0.58
473,0.393
474,1.386
475,0.461
476,0.617
477,0.475
478,1.805
479,0.177
480,10.905
481,16.257
482,13.31
483,8.273
484,29.199
485,15.037
486,26.042
487,65.547
488,11.178
489,7.831
490,6.951
491,49.055
492,19.907
493,22.381
494,23.229
495,22.249
496,27.151
497,16.363
498,29.733
499,8.7
500,16.625
501,26.839
502,24.09
503,23.586
504,11.055
505,35.836
506,39.939
507,22.846
508,10.282
509,7.38
510,8.734
511,13.094
512,10.169
513,29.689
514,16.887
515,5.547
516,16.406
517,14.069
518,13.405
519,1.371
520,1.586
521,7.067
522,6.236
523,12.243
524,4.148
525,1.27
526,28.256
527,0.538
528,11.683
529,13.68
530,7.159
531,37.664
532,18.032
533,13.24
534,9.929
535,9.255
536,15.573
537,15.734
538,10.868
539,15.316
540,46.749
541,8.969
542,8.503
543,9.99
544,8.324
545,24.497
546,8.053
547,8.537
548,7.118
549,9.06
550,31.977
551,0.792
552,0.148
553,0.259
554,0.115
555,0.134
556,0.173
557,0.26
558,13.861
559,7.637
560,10.134
561,8.459
562,27.485
563,11.28
564,22.006
565,22.151
566,9.132
567,9.53
568,35.62
569,14.44
570,36.276
571,18.651
572,7.865
573,9.644
574,9.358
575,21.948
576,8.881
577,10.342
578,26.341
579,24.533
580,28.777
581,9.84
582,1.92
583,1.488
584,1.505
585,1.291
586,1.563
587,1.607
588,2.491
589,3.778
590,1.024
591,1.989
592,2.987
593,1.536
594,1.346
595,2.773
596,1.367
597,6.809
598,5.117
599,4.842
600,30.101
601,6.357
602,6.042
603,5.629
604,5.733
605,5.242
606,4.032
607,7.393
608,6.529
609,3.31
610,1.901
611,30.255
612,2.396
613,7.947
614,1.083
615,0.6
616,3.583
617,1.487
618,0.777
619,0.763
620,1.138
621,2.42
622,0.357
623,0.418
624,0.753
625,1.318
626,0.55
627,0.672
628,0.806
629,1.534
630,0.958
631,0.154
632,1.217
633,0.219
634,0.753
635,1.174
636,0.446
637,11.606
638,0.561
639,1.623
640,3.628
641,1.126
642,1.262
643,4.069
644,4.579
645,2.096
646,2.639
647,0.416
648,2.39
649,0.572
650,7.615
651,0.366
652,5.508
653,11.472
654,4.899
655,1.182
656,0.123
657,3.879
658,4.721
659,13.974
660,5.547
661,17.803
662,8.346
663,10.753
664,7.235
665,14.662
666,5.585
667,4.619
668,4.975
669,11.335
670,9.996
671,1.18
672,1.466
673,0.982
674,1.03
675,0.701
676,9.854
677,5.784
678,7.974
679,1.163
680,1.104
681,1.101
682,1.647
683,1.173
684,4.643
685,0.747
686,1.31
687,10.697
688,0.222
689,0.652
690,2.98
691,0.985
692,0.731
693,0.816
694,0.698
695,1.41
696,13.069
697,4.714
698,1.357
699,0.798
700,2.327
701,0.726
702,4.539
703,0.766
704,0.111
705,5.891
706,11.335
707,17.849
708,7.12
709,15.562
710,9.167
711,12.697
712,2.27
713,2.026
714,2.668
715,1.003
716,0.128
717,0.23
718,1.889
719,0.141
720,1.14
721,0.136
722,1.415
723,3.491
724,8.364
725,0.427
726,13.239
727,1.955
728,2.128
729,1.877
730,1.742
731,1.722
732,0.988
733,1.165
734,1.065
735,1.855
736,5.006
737,9.19
738,7.511
739,1.826
740,12.476
741,0.892
742,0.575
743,0.302
744,1.667
745,1.233
746,0.507
747,0.483
748,1.518
749,4.804
750,3.501
751,3.622
752,4.488
753,3.352
754,3.499
755,2.432
756,9.422
757,7.666
758,3.052
759,3.016
760,3.63
761,8.176
762,3.393
763,3.157
764,2.129
765,6.922
766,2.399
767,0.542
768,1.143
769,3.654
770,1.038
771,4.897
772,1.796
773,2.654
774,15.169
775,8.631
776,0.78
777,0.792
778,1.032
779,1.572
780,0.956
781,3.059
782,8.004
783,12.844
784,9.927
785,8.671
786,8.378
787,0.675
788,2.07
789,15.609
790,18.562
791,1.985
792,1.451
793,2.223
794,1.536
795,5.018
796,1.726
797,3.759
798,2.492
799,1.633
800,2.019
801,21.466
802,1.721
803,1.508
804,1.917
805,1.171
806,3.013
807,1.442
808,9.369
809,7.055
810,7.949
811,3.963
812,4.587
813,5.862
814,4.212
815,6.438
816,3.848
817,4.484
818,6.531
819,4.014
820,4.753
821,5.49
822,3.662
823,13.292
824,5.646
825,3.925
826,5.056
827,4.889
828,7.9
829,6.443
830,4.516
831,0.457
832,0.888
833,0.108
834,0.821
835,5.011
836,4.713
837,2.624
838,3.4
839,5.456
840,2.431
841,4.125
842,1.961
843,6.601
844,4.952
845,9.047
846,2.649
847,2.756
848,3.881
849,2.339
850,2.852
851,2.969
852,4.845
853,4.912
854,3.382
855,3.828
856,3.108
857,2.989
858,2.547
859,11.641
860,3.799
861,3.833
862,10.855
863,9.063
864,7.429
865,11.23
866,4.183
867,3.85
868,3.645
869,21.831
870,15.534
871,5.098
872,3.523
873,1.01
874,8.738
875,1.439
876,5.186
877,0.84
878,0.671
