node,labels
0,30.325
1,31.011
2,30.183
3,41.997
4,17.504
5,30.469
6,58.847
7,23.343
8,30.058
9,41.828
10,43.705
11,46.07
12,52.087
13,47.6
14,48.041
15,26.771
16,21.452
17,54.019
18,53.071
19,56.44
20,44.688
21,10.163
22,55.895
23,46.83
24,25.239
25,45.332
26,40.723
27,38.015
28,58.65
29,37.567
30,49.24
31,34.452
32,8.416
33,20.979
34,24.777
35,46.55
36,38.236
37,31.931
38,39.114
39,41.293
40,37.01
41,34.31
42,36.584
43,36.354
44,39.815
45,40.985
46,20.749
47,40.638
48,40.802
49,49.329
50,40.858
51,44.98
52,20.685
53,48.349
54,46.006
55,23.517
56,32.325
57,40.708
58,37.382
59,49.514
60,52.018
61,12.941
62,51.358
63,37.207
64,35.778
65,34.412
66,41.576
67,34.311
68,43.917
69,36.371
70,34.97
71,27.125
72,38.495
73,32.127
74,34.219
75,41.593
76,30.024
77,49.16
78,33.777
79,47.512
80,33.34
81,48.998
82,35.371
83,50.755
84,44.228
85,46.623
86,41.44
87,29.495
88,19.018
89,13.48
90,43.604
91,22.288
92,18.372
93,4.968
94,29.294
95,43.465
96,38.744
97,19.597
98,20.414
99,32.417
100,37.809
101,40.157
102,33.348
103,37.09
104,25.313
105,2.678
106,4.466
107,30.547
108,29.68
109,28.492
110,2.307
111,0.296
112,0.228
113,12.044
114,5.054
115,13.353
116,16.65
117,22.092
118,19.363
119,18.785
120,24.588
121,22.378
122,14.661
123,31.713
124,18.115
125,23.445
126,23.075
127,15.691
128,15.393
129,20.632
130,30.27
131,16.583
132,29.129
133,1.268
134,13.526
135,21.473
136,26.631
137,18.102
138,41.711
139,30.315
140,15.511
141,18.187
142,21.176
143,32.3
144,28.852
145,18.23
146,15.23
147,17.274
148,28.608
149,24.448
150,15.591
151,15.247
152,3.805
153,2.714
154,1.936
155,17.146
156,27.766
157,41.026
158,32.566
159,19.269
160,4.119
161,21.645
162,24.011
163,1.506
164,1.312
165,0.085
166,48.388
167,30.632
168,26.894
169,31.667
170,17.971
171,40.829
172,18.714
173,9.685
174,17.879
175,13.842
176,19.226
177,15.29
178,22.571
179,40.735
180,8.17
181,28.313
182,38.124
183,8.764
184,10.233
185,2.705
186,30.321
187,16.194
188,13.017
189,0.221
190,6.97
191,0.507
192,2.023
193,5.155
194,8.795
195,8.636
196,1.943
197,0.925
