node,labels
0,16.236
1,6.76
2,7.292
3,7.714
4,8.31
5,9.598
6,5.614
7,6.476
8,3.484
9,5.385
10,0.499
11,5.09
12,3.723
13,2.647
14,0.656
15,1.018
16,3.86
17,1.725
18,2.451
19,3.775
20,2.649
21,2.494
22,2.801
23,0.982
24,1.264
25,1.902
26,1.692
27,2.937
28,1.343
29,1.646
30,1.427
31,1.119
32,1.16
33,1.3
34,1.885
35,0.919
36,1.77
37,1.679
38,0.773
39,1.152
40,0.959
41,1.58
42,1.405
43,1.155
44,0.662
45,0.914
46,1.249
47,0.502
48,1.362
49,0.987
50,10.103
51,1.397
52,1.258
53,0.515
54,0.637
55,0.819
56,1.404
57,0.921
58,2.119
59,0.659
60,1.191
61,0.386
62,0.518
63,0.718
64,1.184
65,0.879
66,1.482
67,0.812
68,0.656
69,1.207
70,1.574
71,0.351
72,0.82
73,0.944
74,0.556
75,0.644
76,1.342
77,0.264
78,0.716
79,1.446
80,0.571
81,1.026
82,1.052
83,0.519
84,0.598
85,1.13
86,1.179
87,0.673
88,1.105
89,0.938
90,0.842
91,0.548
92,0.773
93,0.446
94,1.337
95,0.64
96,0.738
97,0.519
98,1.297
99,0.952
100,0.884
101,0.602
102,0.518
103,0.436
104,0.435
105,0.789
106,1.012
107,0.883
108,0.76
109,0.824
110,1.479
111,0.657
112,0.575
113,1.089
114,1.048
115,0.854
116,0.81
117,0.849
118,0.66
119,0.388
120,0.886
121,0.646
122,0.578
123,0.356
124,0.58
125,0.579
126,0.45
127,0.828
128,0.712
129,0.553
130,0.516
131,1.352
132,0.829
133,0.594
134,0.609
135,1.004
136,0.895
137,0.972
138,0.932
139,0.875
140,1.186
141,0.891
142,0.851
143,0.801
144,0.383
145,0.422
146,1.371
147,0.378
148,0.932
149,0.422
150,0.486
151,1.087
152,0.476
153,1.929
154,1.072
155,0.353
156,0.75
157,0.702
158,0.466
159,0.27
160,0.287
161,0.839
162,1.087
163,0.503
164,0.418
165,0.609
166,0.882
167,1.102
168,0.519
169,0.674
170,0.713
171,0.722
172,0.379
173,0.387
174,1.122
175,1.109
176,0.664
177,0.75
178,1.315
179,0.413
180,0.548
181,0.754
182,0.561
183,0.594
184,0.345
185,0.387
186,0.282
187,0.437
188,0.488
189,1.138
190,0.567
191,0.448
192,1.069
193,0.649
194,0.602
195,0.584
196,0.705
197,0.457
198,0.468
199,1.221
200,0.532
201,0.345
202,0.431
203,0.4
204,0.343
205,0.551
206,0.406
207,0.348
208,0.716
209,0.897
210,0.588
211,0.768
212,0.858
213,0.584
214,0.631
215,0.402
216,1.036
217,0.271
218,0.545
219,0.358
220,0.663
221,0.689
222,0.356
223,0.689
224,0.767
225,0.783
226,0.636
227,1.811
228,0.533
229,0.615
230,0.402
231,0.778
232,0.348
233,0.477
234,0.468
235,0.345
236,0.386
237,0.513
238,0.527
239,0.835
240,0.465
241,0.574
242,0.673
243,0.381
244,0.49
245,0.487
246,0.638
247,0.595
248,0.378
249,0.562
250,0.445
251,0.325
252,0.392
253,0.602
254,0.561
255,0.293
256,0.43
257,0.433
258,0.45
259,0.555
260,0.855
261,0.403
262,0.296
263,1.051
264,0.579
265,0.294
266,0.642
267,0.42
268,1.253
269,0.543
270,1.113
271,0.497
272,0.354
273,0.315
274,0.844
275,0.34
276,0.384
277,0.531
278,0.482
279,0.981
280,0.922
281,0.972
282,0.587
283,0.73
284,0.315
285,0.373
286,0.678
287,0.904
288,0.785
289,0.618
290,0.418
291,1.034
292,0.291
293,0.479
294,0.376
295,0.624
296,0.857
297,0.5
298,0.272
299,0.905
300,0.414
301,0.412
302,1.178
303,0.99
304,1.247
305,0.857
306,1.383
307,0.789
308,1.268
309,0.706
310,0.538
311,0.391
312,0.518
313,0.904
314,0.571
315,0.619
316,0.292
317,0.259
318,0.459
319,0.772
320,0.388
321,0.77
322,0.529
323,0.4
324,0.486
325,0.709
326,0.462
327,0.32
328,0.381
329,0.453
330,0.614
331,0.432
332,0.72
333,0.509
334,1.217
335,0.801
336,0.316
337,0.348
338,0.396
339,0.352
340,0.439
341,0.361
342,0.651
343,0.555
344,0.511
345,0.324
346,0.502
347,0.29
348,0.855
349,0.54
350,0.346
351,0.609
352,0.339
353,0.459
354,0.531
355,0.236
356,0.202
357,0.511
358,0.469
359,0.718
360,0.438
361,0.267
362,0.763
363,0.394
364,0.352
365,0.438
366,0.329
367,0.223
368,0.534
369,0.369
370,0.458
371,0.99
372,0.609
373,0.185
374,0.277
375,0.409
376,0.416
377,0.643
378,0.813
379,0.388
380,0.565
381,0.311
382,0.435
383,0.385
384,0.361
385,0.348
386,0.359
387,0.32
388,0.382
389,0.34
390,0.446
391,0.54
392,7.486
393,1.695
394,1.939
395,0.814
396,0.871
397,1.022
398,1.302
399,0.82
400,1.217
401,0.651
402,0.813
403,1.135
404,0.921
405,1.046
406,0.448
407,0.728
408,0.858
409,1.093
410,0.631
411,0.648
412,0.661
413,0.566
414,0.438
415,0.396
416,0.755
417,0.458
418,0.493
419,0.341
420,0.457
421,1.211
422,0.887
423,0.279
424,0.666
425,0.446
426,0.651
427,0.479
428,0.339
429,0.382
430,0.349
431,0.471
432,0.485
433,0.282
434,0.503
435,0.51
436,0.205
437,0.399
438,0.489
439,0.494
440,0.631
441,0.195
442,0.323
443,0.595
444,0.374
445,0.329
446,0.577
447,0.3
448,0.804
449,0.218
450,0.454
451,0.407
452,0.27
453,0.406
454,0.255
455,0.132
456,0.176
457,0.229
458,0.287
459,0.198
460,0.147
461,0.363
462,0.293
463,0.19
464,0.179
465,0.221
466,0.129
467,0.184
468,0.331
469,0.215
470,0.196
471,0.333
472,0.276
473,0.264
474,0.146
475,0.261
476,0.178
477,0.191
478,0.197
479,0.444
480,0.252
481,0.202
482,0.32
483,0.712
484,0.166
485,0.202
486,0.205
487,0.828
488,0.19
489,0.29
490,0.488
491,0.237
492,0.322
493,0.185
494,0.501
495,0.212
496,0.162
497,0.275
498,0.194
499,0.226
500,0.168
501,0.285
502,0.163
503,0.378
504,0.319
505,0.242
506,0.222
507,0.193
508,0.365
509,0.237
510,0.337
511,0.315
512,0.494
513,0.256
514,0.556
515,0.37
516,0.477
517,0.225
518,0.239
519,0.364
520,0.212
521,0.19
522,0.251
523,0.335
524,0.243
525,0.228
526,0.241
527,0.295
528,0.409
529,0.197
530,0.229
531,0.478
532,0.206
533,0.356
534,0.325
535,0.375
536,1.014
537,1.184
538,0.797
539,0.524
540,1.11
541,0.83
542,0.542
543,0.335
544,0.419
545,0.234
546,0.977
547,0.677
548,0.785
549,0.419
550,1.081
551,0.745
552,0.394
553,0.69
554,0.983
555,0.449
556,0.2
557,0.379
558,0.385
559,0.373
560,0.179
561,0.23
562,0.68
563,1.43
564,0.262
565,0.347
566,0.33
567,0.393
568,0.327
569,0.216
570,0.293
571,0.244
572,1.212
573,0.414
574,0.2
575,0.364
576,0.57
577,1.022
578,0.798
579,1.183
580,0.175
581,0.268
582,0.154
583,1.047
584,0.281
585,0.216
586,0.299
587,0.28
588,0.28
589,0.334
590,0.414
591,0.967
592,0.148
593,0.436
594,0.241
595,0.712
596,0.805
597,0.325
598,0.31
599,0.363
600,0.446
601,0.557
602,0.433
603,0.852
604,1.016
605,0.511
606,0.271
607,0.216
608,0.951
609,0.313
610,0.744
611,0.35
612,0.298
613,0.119
614,0.235
615,0.172
616,0.905
617,0.857
618,0.244
619,0.786
620,0.298
621,0.238
622,1.015
623,0.618
624,0.441
625,0.247
626,0.42
627,0.584
628,0.456
629,0.791
630,0.705
631,0.667
632,1.264
633,0.637
634,1.505
635,0.963
636,0.922
637,0.739
638,1.663
639,0.627
640,0.633
641,1.227
642,0.461
643,0.322
644,0.398
645,0.711
646,0.66
647,0.686
648,0.423
649,0.465
650,0.575
651,0.437
652,1.08
653,0.576
654,0.69
655,0.609
656,0.727
657,1.302
658,1.09
659,1.078
660,0.636
661,0.637
662,0.811
663,0.759
