node,labels
0,13.92
1,58.769
2,68.531
3,42.677
4,46.771
5,47.649
6,4.393
7,42.83
8,31.812
9,19.749
10,18.588
11,6.359
12,5.515
13,7.168
14,6.513
15,6.096
16,3.218
17,5.375
18,5.631
19,79.519
20,52.846
21,10.131
22,69.528
23,55.044
24,23.151
25,8.111
26,8.525
27,12.766
28,7.641
29,93.465
30,77.656
31,78.482
32,68.434
33,48.962
34,0.725
35,0.858
36,1.534
37,0.829
38,0.612
39,0.448
40,4.062
41,89.139
42,91.596
43,61.169
44,78.773
45,77.465
46,75.063
47,86.475
48,86.498
49,70.991
50,58.688
51,69.226
52,93.094
53,53.473
54,80.799
55,81.863
56,9.061
57,66.073
58,90.679
59,83.251
60,64.832
61,60.959
62,55.405
63,34.039
64,68.258
65,60.578
66,58.316
67,94.791
68,74.83
69,85.37
70,30.189
71,31.51
72,89.463
73,51.162
74,100.782
75,98.733
76,84.337
77,99.181
78,96.275
79,80.085
80,9.245
81,7.662
82,1.587
83,1.689
84,53.361
85,51.824
86,0.117
87,1.201
88,0.899
89,0.898
90,67.097
91,67.99
92,50.392
93,85.085
94,83.477
95,29.682
96,81.201
97,58.335
98,60.723
99,61.741
100,61.471
101,75.964
102,0.264
103,0.41
104,2.021
105,61.64
106,73.736
107,77.397
108,61.479
109,80.531
110,84.275
111,70.705
112,50.475
113,49.814
114,71.948
115,50.051
116,55.872
117,69.384
118,61.228
119,62.325
120,1.856
121,2.517
122,2.311
123,66.981
124,50.148
125,88.901
126,73.042
127,66.07
128,84.362
129,92.133
130,80.967
131,62.932
132,69.031
133,57.463
134,59.585
135,32.094
136,49.628
137,80.232
138,74.829
139,53.293
140,70.952
141,54.226
142,87.772
143,61.839
144,2.835
145,3.587
146,22.468
147,1.616
148,25.434
149,1.125
150,49.662
151,47.319
152,62.454
153,44.378
154,70.515
155,51.363
156,50.807
157,55.337
158,19.637
159,41.409
160,22.977
161,28.144
162,25.053
163,48.279
164,32.817
165,51.755
166,55.055
167,20.536
168,74.523
169,66.145
170,32.854
171,63.853
172,49.308
173,49.714
174,28.021
175,60.654
176,21.164
177,9.6
178,2.91
179,38.815
180,26.935
181,81.951
182,4.375
183,11.771
184,65.755
185,88.216
186,83.777
187,57.403
188,59.085
189,66.832
190,72.59
191,55.221
192,38.283
193,86.288
194,88.334
195,46.925
196,82.869
197,70.326
198,52.963
199,80.276
200,46.249
201,37.866
202,72.616
203,63.219
204,46.22
205,62.409
206,58.5
207,36.7
208,15.916
209,8.75
210,40.364
211,56.882
212,40.503
213,28.962
214,35.416
215,65.782
216,66.529
217,83.144
218,25.061
219,81.461
220,47.258
221,64.723
222,74.481
223,63.589
224,62.343
225,50.189
226,60.932
227,62.147
228,74.374
229,54.957
230,48.209
231,82.569
232,95.055
233,61.467
234,62.04
235,78.273
236,75.682
237,37.988
238,69.184
239,87.728
240,83.566
241,78.566
242,60.045
243,49.242
244,41.858
245,70.857
246,3.639
247,8.474
248,6.153
249,55.94
250,2.391
251,2.038
252,2.064
253,2.552
254,10.431
255,18.099
256,22.394
257,19.254
258,52.009
259,41.479
260,37.099
261,49.148
262,52.902
263,40.58
264,88.468
265,58.268
266,34.317
267,78.255
268,73.855
269,53.839
270,52.23
271,30.876
272,32.085
273,0.146
274,0.2
275,0.187
276,0.267
277,1.69
278,0.335
279,0.143
280,3.666
281,22.685
282,5.268
283,51.649
284,66.538
285,64.123
286,65.099
287,36.17
288,17.006
289,57.491
290,37.619
291,37.737
292,2.062
293,46.111
294,21.177
295,3.014
296,3.687
297,3.836
