node,labels
0,0.964
1,1.13
2,1.416
3,1.567
4,1.536
5,1.183
6,0.936
7,1.61
8,1.208
9,2.16
10,1.772
11,1.609
12,2.18
13,0.334
14,1.383
15,0.324
16,1.138
17,0.892
18,0.535
19,1.571
20,0.355
21,0.525
22,0.386
23,0.357
24,0.84
25,0.997
26,0.835
27,1.645
28,1.323
29,1.376
30,2.625
31,1.986
32,1.554
33,0.82
34,1.008
35,0.894
36,1.147
37,0.708
38,0.627
39,0.648
40,1.073
41,0.978
42,0.915
43,1.275
44,1.194
45,0.594
46,1.206
47,1.233
48,1.0
49,0.318
50,0.129
51,0.535
52,0.169
53,0.411
54,0.161
55,1.144
56,1.223
57,4.373
58,0.419
59,1.416
60,12.15
61,0.555
62,0.597
63,0.143
64,23.825
65,19.131
66,0.572
67,0.116
68,19.172
69,6.275
70,7.367
71,49.975
72,0.527
73,1.273
74,94.586
75,56.035
76,57.502
77,63.098
78,63.443
79,57.291
80,66.955
81,61.969
82,88.867
83,64.507
84,24.141
85,51.876
86,45.57
87,43.089
88,0.318
89,1.564
90,1.405
91,1.054
92,2.969
93,0.176
94,3.61
95,1.427
96,0.346
97,3.556
98,1.28
99,2.373
100,2.099
101,3.068
102,4.847
103,5.929
104,0.845
105,0.562
106,0.517
107,0.321
108,0.77
109,1.004
110,0.131
111,0.69
112,2.551
113,3.974
114,0.483
115,1.555
116,0.362
117,0.362
118,8.289
119,1.255
120,0.385
121,0.558
122,0.531
123,0.735
124,0.67
125,0.172
126,0.127
127,0.126
128,3.53
129,0.629
130,17.437
131,60.514
132,84.48
133,1.968
134,6.198
135,6.68
136,42.824
137,73.731
138,45.547
139,58.533
140,61.575
141,90.485
142,27.149
143,85.651
144,19.374
145,92.443
146,84.906
147,10.37
148,98.858
149,68.202
150,17.72
151,30.596
152,15.971
153,8.959
154,12.598
155,5.763
156,0.631
157,3.45
158,8.005
159,13.187
160,19.899
161,2.028
162,76.948
163,17.339
164,79.51
165,90.495
166,77.393
167,81.173
168,52.758
169,64.613
170,62.165
171,72.376
172,29.796
173,19.771
174,25.295
175,0.85
176,1.02
177,4.011
178,17.116
179,4.828
180,2.086
181,16.948
182,25.686
183,20.509
184,2.629
185,13.16
186,88.076
187,93.959
188,100.739
189,99.301
190,85.644
191,96.933
192,0.162
193,0.129
194,0.562
195,0.213
196,0.48
197,3.046
198,2.126
199,8.373
200,2.885
201,1.612
202,5.42
203,2.581
204,1.016
205,1.813
206,7.219
207,16.983
208,3.015
209,6.575
210,2.946
211,4.234
212,19.02
213,10.773
214,5.913
215,3.236
216,13.819
217,1.282
218,15.567
219,5.656
220,17.695
221,14.222
222,2.303
223,9.14
224,9.554
225,1.048
226,0.148
227,25.642
228,27.939
229,27.478
230,41.134
231,63.963
232,73.043
233,62.758
234,59.813
235,66.471
236,67.896
237,18.3
238,32.841
239,58.808
240,64.465
241,60.508
242,69.84
243,54.538
244,9.352
245,2.041
246,55.275
247,38.957
248,43.099
249,43.123
250,53.457
251,89.886
252,5.202
253,1.96
254,27.402
255,76.273
256,89.556
257,70.308
258,24.469
259,17.476
260,26.352
261,3.695
262,27.96
263,11.797
264,18.107
265,25.79
266,39.835
267,79.32
268,82.552
269,80.889
270,84.937
271,15.692
272,28.54
273,21.468
274,33.936
275,63.612
276,86.335
277,73.418
278,91.094
279,96.785
280,93.962
281,81.307
282,2.653
283,0.442
284,3.424
285,1.12
286,5.685
287,5.234
288,20.181
289,62.279
290,79.277
291,85.745
292,41.191
293,39.74
294,68.698
295,0.292
296,0.26
297,0.432
298,0.325
299,0.28
300,0.337
301,0.644
302,0.278
303,0.26
304,0.41
305,0.262
306,0.288
307,0.345
308,0.608
309,0.303
310,0.28
311,0.374
312,0.326
313,0.625
314,0.325
315,0.592
316,0.321
317,0.271
318,0.429
319,0.311
320,0.575
321,0.374
322,0.686
323,0.647
324,1.049
325,0.402
326,0.287
327,0.281
328,0.239
329,0.228
330,0.272
331,0.273
332,0.291
333,0.263
334,0.299
335,0.922
336,5.677
337,17.269
338,26.467
339,7.112
340,0.816
341,0.325
342,0.302
343,0.28
344,0.24
345,0.282
346,0.284
347,0.263
348,0.267
349,0.248
350,0.289
351,0.489
352,0.414
