node,labels
0,4.373
1,0.419
2,1.416
3,12.15
4,0.555
5,0.597
6,0.143
7,23.825
8,19.131
9,0.572
10,0.116
11,19.172
12,6.275
13,7.367
14,49.975
15,0.527
16,1.273
17,94.586
18,56.035
19,57.502
20,63.098
21,63.443
22,57.291
23,66.955
24,61.969
25,88.867
26,64.507
27,24.141
28,51.876
29,45.57
30,43.089
31,0.318
32,1.564
33,1.405
34,1.054
35,2.969
36,0.176
37,3.61
38,1.427
39,0.346
40,3.556
41,1.28
42,2.373
43,2.099
44,3.068
45,4.847
46,5.929
47,0.845
48,0.562
49,0.517
50,0.321
51,0.77
52,1.004
53,0.131
54,0.69
55,2.551
56,3.974
57,0.483
58,1.555
59,0.362
60,0.362
61,8.289
62,1.255
63,0.385
64,0.558
65,0.531
66,0.735
67,0.67
68,0.172
69,3.53
70,0.629
71,17.437
72,60.514
73,84.48
74,1.968
75,6.198
76,6.68
77,42.824
78,73.731
79,45.547
80,58.533
81,61.575
82,90.485
83,27.149
84,85.651
85,19.374
86,92.443
87,84.906
88,10.37
89,98.858
90,68.202
91,17.72
92,30.596
93,15.971
94,8.959
95,12.598
96,5.763
97,0.631
98,3.45
99,8.005
100,13.187
101,19.899
102,2.028
103,76.948
104,17.339
105,79.51
106,90.495
107,77.393
108,81.173
109,52.758
110,64.613
111,62.165
112,72.376
113,29.796
114,19.771
115,25.295
116,0.85
117,1.02
118,4.011
119,17.116
120,4.828
121,2.086
122,16.948
123,25.686
124,20.509
125,2.629
126,13.16
127,88.076
128,93.959
129,100.739
130,99.301
131,85.644
132,96.933
133,0.162
134,0.129
135,0.562
136,0.213
137,0.48
138,3.046
139,2.126
140,8.373
141,2.885
142,1.612
143,5.42
144,2.581
145,1.016
146,1.813
147,7.219
148,16.983
149,3.015
150,6.575
151,2.946
152,4.234
153,19.02
154,10.773
155,5.913
156,3.236
157,13.819
158,1.282
159,15.567
160,5.656
161,17.695
162,14.222
163,2.303
164,9.14
165,9.554
166,1.048
167,0.148
168,25.642
169,27.939
170,27.478
171,41.134
172,63.963
173,73.043
174,62.758
175,59.813
176,66.471
177,67.896
178,18.3
179,32.841
180,58.808
181,64.465
182,60.508
183,69.84
184,54.538
185,9.352
186,2.041
187,55.275
188,38.957
189,43.099
190,43.123
191,53.457
192,89.886
193,5.202
194,1.96
195,27.402
196,76.273
197,89.556
198,70.308
199,24.469
200,17.476
201,26.352
202,3.695
203,27.96
204,11.797
205,18.107
206,25.79
207,39.835
208,79.32
209,82.552
210,80.889
211,84.937
212,15.692
213,28.54
214,21.468
215,33.936
216,63.612
217,86.335
218,73.418
219,91.094
220,96.785
221,93.962
222,81.307
223,2.653
224,0.442
225,3.424
226,1.12
227,5.685
228,5.234
229,20.181
230,62.279
231,79.277
232,85.745
233,41.191
234,39.74
235,68.698
236,0.292
237,0.26
238,0.432
239,0.325
240,0.28
241,0.337
242,0.644
243,0.278
244,0.26
245,0.41
246,0.262
247,0.288
248,0.345
249,0.608
250,0.303
251,0.28
252,0.374
253,0.326
254,0.625
255,0.325
