node,labels
0,10.007
1,56.85
2,12.27
3,9.195
4,20.47
5,8.605
6,4.352
7,58.555
8,5.311
9,56.271
10,5.524
11,11.896
12,18.525
13,4.881
14,2.562
15,18.127
16,3.812
17,20.582
18,21.657
19,31.149
20,15.838
21,15.228
22,19.886
23,2.875
24,32.77
25,8.388
26,27.738
27,26.662
28,15.571
29,5.132
30,30.236
31,15.235
32,24.881
33,25.52
34,18.074
35,20.746
36,14.366
37,25.87
38,27.318
39,36.174
40,25.189
41,37.014
42,8.528
43,26.533
44,28.33
45,27.464
46,27.504
47,11.194
48,12.18
49,21.667
50,23.809
51,10.508
52,12.991
53,18.287
54,10.645
55,5.218
56,12.346
57,6.287
58,20.875
59,31.976
60,28.284
61,16.415
62,14.152
63,15.33
64,23.254
65,10.137
66,25.992
67,41.092
68,14.388
69,9.848
70,24.995
71,11.901
72,8.169
73,23.856
74,21.213
75,17.649
76,16.982
77,10.858
78,13.661
79,25.021
80,10.629
81,37.19
82,16.368
83,15.467
84,26.028
85,26.075
86,3.912
87,21.089
88,29.905
89,15.658
90,49.533
91,60.107
92,74.108
93,75.628
94,73.051
95,75.353
96,72.792
97,96.317
98,48.693
99,51.641
100,45.363
101,38.562
102,21.29
103,19.911
104,24.511
105,75.481
106,50.849
107,45.904
108,55.598
109,13.376
110,14.164
111,31.95
112,55.962
113,69.105
114,59.011
115,100.306
116,70.33
117,58.778
118,46.191
119,38.232
120,37.998
121,42.057
122,38.469
123,70.83
124,66.276
125,61.568
126,57.806
127,54.49
128,56.051
129,55.05
130,66.334
131,48.779
132,29.032
133,23.859
134,17.247
135,51.126
136,22.138
137,73.844
138,60.784
139,62.778
140,52.244
141,40.641
142,49.344
143,28.376
144,30.194
145,46.034
146,10.198
147,53.369
148,32.443
149,25.159
150,74.772
151,41.224
152,49.562
153,24.189
154,23.884
155,24.873
156,32.221
157,33.958
158,55.957
159,48.238
160,55.527
161,47.33
162,41.65
163,6.778
164,33.456
165,50.162
166,16.472
167,12.342
168,29.445
169,32.75
170,49.882
171,11.547
172,19.891
173,14.845
174,26.878
175,32.582
176,34.143
177,44.801
178,14.069
179,18.809
180,12.814
181,17.864
182,65.631
183,6.456
184,23.796
185,22.305
186,22.021
187,13.922
188,22.359
189,18.431
190,28.314
191,28.952
192,19.022
193,50.891
194,33.341
195,29.421
196,38.233
197,36.109
198,29.756
199,12.12
200,35.396
201,52.101
202,33.708
203,11.66
204,22.465
205,20.271
206,13.706
207,18.923
208,29.3
209,33.646
210,30.881
211,33.785
212,29.766
213,37.881
214,37.404
215,12.41
216,13.831
217,30.403
218,38.941
219,43.283
220,37.448
221,32.694
222,10.158
223,27.622
224,21.222
225,37.932
226,49.337
227,56.239
228,39.468
229,23.655
230,18.966
231,12.23
232,14.471
233,13.507
234,19.733
235,25.439
236,24.551
237,17.8
238,32.63
239,20.689
240,13.258
241,21.909
242,20.231
243,22.539
244,18.534
245,18.515
246,25.001
247,27.441
248,20.73
249,22.117
250,22.038
251,14.31
252,25.708
253,20.388
254,29.026
255,16.492
256,18.926
257,37.869
258,27.201
259,19.585
260,20.425
261,28.592
262,14.606
263,28.134
264,22.445
265,17.659
266,8.171
267,18.835
268,9.736
269,11.618
270,9.63
271,11.947
272,11.574
273,14.133
274,10.599
275,12.363
276,21.466
277,28.911
278,19.244
279,20.128
280,10.761
281,6.444
282,14.155
283,15.84
284,47.828
285,10.454
286,16.886
287,16.184
288,6.977
289,2.392
290,36.74
291,33.42
292,24.568
293,29.235
294,23.484
295,14.636
296,36.42
297,49.324
298,21.217
299,17.654
300,33.86
301,29.768
302,6.878
303,7.849
304,66.066
305,10.402
306,11.086
307,11.823
308,11.082
309,6.229
310,8.624
311,4.746
312,31.353
313,23.291
314,16.397
315,51.722
316,15.078
317,10.681
318,14.043
319,13.777
320,15.24
321,11.775
322,14.526
323,7.542
324,16.836
325,6.606
326,7.663
327,12.52
328,9.749
329,14.918
330,9.659
331,18.039
332,14.029
333,50.926
334,34.282
335,27.82
336,4.874
337,5.757
338,8.748
339,29.063
340,41.883
