node,labels
0,0.203
1,5.595
2,1.777
3,0.41
4,0.497
5,8.258
6,0.364
7,10.357
8,2.58
9,0.292
10,0.388
11,2.35
12,0.369
13,0.578
14,3.768
15,1.511
16,2.475
17,3.272
18,6.452
19,3.276
20,1.682
21,0.211
22,3.976
23,1.037
24,0.013
25,0.014
26,0.294
27,2.418
28,1.162
29,0.723
30,0.492
31,3.801
32,3.56
33,0.266
34,0.235
35,2.586
36,0.013
37,0.022
38,0.093
39,0.142
40,0.015
41,0.012
42,0.233
43,0.327
44,0.936
45,0.423
46,0.527
47,0.095
48,0.104
49,2.856
50,0.338
51,0.07
52,0.461
53,0.784
54,0.167
55,0.425
56,0.123
57,0.082
58,0.051
59,0.436
60,0.212
61,0.169
62,0.151
63,1.053
64,0.13
65,0.91
66,0.971
67,1.062
68,0.263
69,0.138
70,0.345
71,0.597
72,0.296
73,0.192
74,0.409
75,0.178
76,0.24
77,1.64
78,0.362
79,0.889
80,0.218
81,0.105
82,0.334
83,0.419
84,2.921
85,0.325
86,0.837
87,0.122
88,0.212
89,0.136
90,0.034
91,0.034
92,0.764
93,0.363
94,5.031
95,0.558
96,0.333
97,0.391
98,0.553
99,1.49
100,0.058
101,0.73
102,0.168
103,0.117
104,1.628
105,0.279
106,0.098
107,2.149
108,0.105
109,0.392
110,0.029
111,0.137
112,0.325
113,0.77
114,0.254
115,1.439
116,0.021
117,0.285
118,0.171
119,0.29
120,0.08
121,0.1
122,0.763
123,0.067
124,0.631
125,1.348
126,0.954
127,0.207
128,0.227
129,0.696
130,0.182
131,0.343
132,3.046
133,0.066
134,0.07
135,0.309
136,0.06
137,0.112
138,0.095
139,0.425
140,0.664
141,2.578
142,0.049
143,0.169
144,0.586
145,0.215
146,0.072
147,0.359
148,0.063
149,0.282
150,0.087
151,0.092
152,0.122
153,0.306
154,0.237
155,0.142
156,0.052
157,0.064
158,0.082
159,0.382
160,0.111
161,0.596
162,0.697
163,0.443
164,0.1
165,0.063
166,0.09
167,0.074
168,0.085
169,0.112
170,0.135
171,0.416
172,0.058
173,0.346
174,0.052
175,0.399
176,1.005
177,0.943
178,0.203
179,2.237
180,0.395
181,0.198
182,0.536
183,0.037
184,1.948
185,0.367
186,0.207
187,0.082
188,0.506
189,0.281
190,0.15
191,0.73
192,0.081
193,0.212
194,0.273
195,0.138
196,1.482
197,0.666
198,0.26
199,0.924
200,0.066
201,0.253
202,0.198
203,0.81
204,0.057
205,0.618
206,0.619
207,0.058
208,0.442
209,0.572
210,0.073
211,0.081
212,0.243
213,0.499
214,0.349
215,1.826
216,0.289
217,0.184
218,0.148
219,0.43
220,0.823
221,0.303
222,0.019
223,0.013
224,0.212
225,0.26
226,0.642
227,1.689
228,0.529
229,0.11
230,1.037
231,0.058
232,0.42
233,0.134
234,0.152
235,0.535
236,0.167
237,0.171
238,0.05
239,1.23
240,0.28
241,0.95
242,0.165
243,0.042
244,0.766
245,0.486
246,0.191
247,0.309
248,0.126
249,0.038
250,0.257
251,0.27
252,0.261
253,0.093
254,0.316
255,0.195
256,0.925
257,0.102
258,0.363
259,0.416
260,0.055
261,0.601
262,0.835
263,0.301
264,0.086
265,0.077
266,0.203
267,0.061
268,0.471
269,0.044
270,0.286
271,0.598
272,0.092
273,0.659
274,0.767
275,0.084
276,0.059
277,0.499
278,0.217
279,0.291
280,0.267
281,0.224
282,0.136
283,0.843
284,0.306
285,0.034
286,0.879
287,0.367
288,0.299
289,1.014
290,0.26
291,0.383
292,0.154
293,0.295
294,0.056
295,0.033
296,0.596
297,0.182
298,0.795
299,0.216
300,0.104
301,0.517
302,0.274
303,1.258
304,0.455
305,0.28
306,1.375
307,0.224
308,0.35
309,0.253
310,1.103
311,2.298
312,0.434
313,0.152
314,0.085
315,0.075
316,0.076
317,0.344
318,0.11
319,0.026
320,0.149
321,0.461
322,0.18
323,0.018
324,0.108
325,0.073
326,0.056
327,0.192
328,0.173
329,0.097
330,0.25
331,0.3
332,0.169
333,0.132
334,0.398
335,0.08
336,0.064
337,0.175
338,0.132
339,0.173
340,0.01
341,0.391
342,0.109
343,0.014
344,0.491
345,0.026
346,0.026
347,0.023
348,0.192
349,0.361
350,0.54
351,0.051
352,0.323
353,0.328
354,0.284
355,0.796
356,0.865
357,0.4
358,0.065
359,0.125
360,0.21
361,0.117
362,1.201
363,1.746
364,0.276
365,0.574
366,1.292
367,1.035
368,1.769
369,0.18
370,0.027
371,0.155
372,0.091
373,0.071
374,0.047
375,0.701
376,0.046
377,0.365
378,0.187
379,0.255
380,0.046
381,0.057
382,0.077
383,0.034
384,0.09
385,0.267
386,0.087
387,0.501
388,0.568
389,0.745
390,0.327
391,0.402
392,0.562
393,0.827
394,0.13
395,0.43
396,0.07
397,0.488
398,0.144
399,1.061
400,0.114
401,0.143
402,0.24
403,0.157
404,0.103
405,0.125
406,0.181
407,0.059
408,0.253
409,0.116
410,0.06
411,0.059
412,0.142
413,0.171
414,0.256
415,0.376
416,0.235
417,0.338
418,0.218
