node,labels
0,0.203
1,5.595
2,1.777
3,0.41
4,0.497
5,8.258
6,0.364
7,10.357
8,2.58
9,0.292
10,0.388
11,2.35
12,0.369
13,0.578
14,3.768
15,1.511
16,2.475
17,3.272
18,6.452
19,3.276
20,1.682
21,0.211
22,3.976
23,1.037
24,0.294
25,2.418
26,1.162
27,0.723
28,0.492
29,3.801
30,3.56
31,0.266
32,0.235
33,2.586
34,0.013
35,0.022
36,0.093
37,0.142
38,0.233
39,0.327
40,0.936
41,0.423
42,0.527
43,0.095
44,0.104
45,2.856
46,0.338
47,0.07
48,0.461
49,0.784
50,0.167
51,0.425
52,0.123
53,0.082
54,0.051
55,0.436
56,0.212
57,0.169
58,0.151
59,1.053
60,0.13
61,0.91
62,0.971
63,1.062
64,0.263
65,0.138
66,0.345
67,0.597
68,0.296
69,0.192
70,0.409
71,0.178
72,0.24
73,1.64
74,0.362
75,0.889
76,0.218
77,0.105
78,0.334
79,0.419
80,2.921
81,0.325
82,0.837
83,0.122
84,0.212
85,0.136
86,0.034
87,0.034
88,0.764
89,0.363
90,5.031
91,0.558
92,0.333
93,0.391
94,0.553
95,1.49
96,0.058
97,0.73
98,0.168
99,0.117
100,1.628
101,0.279
102,0.098
103,2.149
104,0.105
105,0.392
106,0.029
107,0.137
108,0.325
109,0.77
110,0.254
111,1.439
112,0.021
113,0.285
114,0.171
115,0.29
116,0.08
117,0.1
118,0.763
119,0.067
120,0.631
121,1.348
122,0.954
123,0.207
124,0.227
125,0.696
126,0.182
127,0.343
128,3.046
129,0.066
130,0.07
131,0.309
132,0.06
133,0.112
134,0.095
135,0.425
136,0.664
137,2.578
138,0.049
139,0.169
140,0.586
141,0.215
142,0.072
143,0.359
144,0.063
145,0.282
146,0.087
147,0.092
148,0.122
149,0.306
150,0.237
151,0.142
152,0.052
153,0.064
154,0.082
155,0.382
156,0.111
157,0.596
158,0.697
159,0.443
160,0.1
161,0.063
162,0.09
163,0.074
164,0.085
165,0.112
166,0.135
167,0.416
168,0.058
169,0.346
170,0.052
171,0.399
172,1.005
173,0.943
174,0.203
175,2.237
176,0.395
177,0.198
178,0.536
179,0.037
180,1.948
181,0.367
182,0.207
183,0.082
184,0.506
185,0.281
186,0.15
187,0.73
188,0.081
189,0.212
190,0.273
191,0.138
192,1.482
193,0.666
194,0.26
195,0.924
196,0.066
197,0.253
198,0.198
199,0.81
200,0.057
201,0.618
202,0.619
203,0.058
204,0.442
205,0.572
206,0.073
207,0.081
208,0.243
209,0.499
210,0.349
211,1.826
212,0.289
213,0.184
214,0.148
215,0.43
216,0.823
217,0.303
218,0.019
219,0.013
220,0.212
221,0.26
222,0.642
223,1.689
224,0.529
225,0.11
226,1.037
227,0.058
228,0.42
229,0.134
230,0.152
231,0.535
232,0.167
233,0.171
234,0.05
235,1.23
236,0.28
237,0.95
238,0.165
239,0.042
240,0.766
241,0.486
242,0.191
243,0.309
244,0.126
245,0.038
246,0.257
247,0.27
248,0.261
249,0.093
250,0.316
251,0.195
252,0.925
253,0.102
254,0.363
255,0.416
256,0.055
257,0.601
258,0.835
259,0.301
260,0.086
261,0.077
262,0.203
263,0.061
264,0.471
265,0.044
266,0.286
267,0.598
268,0.092
269,0.659
270,0.767
271,0.084
272,0.059
273,0.499
274,0.217
275,0.291
276,0.267
277,0.224
278,0.136
279,0.843
280,0.306
281,0.034
282,0.879
283,0.367
284,0.299
285,1.014
286,0.26
287,0.383
288,0.154
289,0.295
290,0.056
291,0.033
292,0.596
293,0.182
294,0.795
295,0.216
296,0.104
297,0.517
298,0.274
299,1.258
300,0.455
301,0.28
302,1.375
303,0.224
304,0.35
305,0.253
306,1.103
307,2.298
308,0.434
309,0.152
310,0.085
311,0.075
312,0.076
313,0.344
314,0.11
315,0.026
316,0.149
317,0.461
318,0.18
319,0.018
320,0.108
321,0.073
322,0.056
323,0.192
324,0.173
325,0.097
326,0.25
327,0.3
328,0.169
329,0.132
330,0.398
331,0.08
332,0.064
333,0.175
334,0.132
335,0.173
336,0.01
337,0.391
338,0.109
339,0.014
340,0.491
341,0.192
342,0.361
343,0.54
344,0.051
345,0.323
346,0.328
347,0.284
348,0.796
349,0.865
350,0.4
351,0.065
352,0.125
353,0.21
354,0.117
355,1.201
356,1.746
357,0.276
358,0.574
359,1.292
360,1.035
361,1.769
362,0.18
363,0.027
364,0.155
365,0.091
366,0.071
367,0.047
368,0.701
369,0.046
370,0.365
371,0.187
372,0.255
373,0.046
374,0.057
375,0.077
376,0.034
377,0.09
378,0.267
379,0.087
380,0.501
381,0.568
382,0.745
383,0.327
384,0.402
385,0.562
386,0.827
387,0.13
388,0.43
389,0.07
390,0.488
391,0.144
392,1.061
393,0.114
394,0.143
395,0.24
396,0.157
397,0.103
398,0.125
399,0.181
400,0.059
401,0.253
402,0.116
403,0.06
404,0.059
405,0.142
406,0.171
407,0.256
408,0.376
409,0.235
410,0.338
411,0.218
412,0.239
413,0.097
414,0.141
415,0.141
416,0.217
417,0.247
418,0.643
