node,labels
0,25.841
1,30.073
2,32.188
3,35.937
4,39.929
5,26.564
6,9.004
7,28.149
8,48.02
9,42.082
10,37.285
11,44.986
12,32.812
13,42.468
14,33.496
15,34.495
16,31.615
17,45.721
18,33.473
19,28.733
20,36.904
21,24.756
22,43.458
23,28.534
24,26.79
25,44.558
26,30.098
27,36.501
28,40.002
29,50.6
30,37.143
31,33.036
32,36.912
33,44.482
34,35.936
35,43.325
36,36.767
37,35.202
38,35.146
39,46.285
40,39.325
41,33.774
42,17.995
43,17.456
44,35.239
45,33.081
46,28.449
47,26.328
48,34.598
49,30.793
50,33.108
51,31.07
52,32.589
53,34.164
54,21.358
55,27.081
56,30.779
57,23.106
58,35.053
59,11.121
60,34.67
61,32.229
62,38.076
63,30.992
64,33.272
65,33.73
66,35.695
67,26.912
68,31.362
69,21.737
70,22.782
71,24.662
72,23.779
73,21.891
74,29.077
75,33.46
76,31.738
77,38.319
78,34.559
79,30.68
80,20.264
81,24.821
82,28.332
83,23.299
84,34.988
85,34.465
86,25.226
87,35.621
88,33.136
89,37.185
90,10.641
91,13.591
92,28.43
93,13.436
94,9.277
95,24.426
96,10.945
97,20.193
98,23.711
99,20.065
100,25.897
101,27.936
102,24.982
103,30.73
104,22.571
105,24.977
106,20.05
107,26.268
108,29.137
109,16.447
110,20.961
111,21.333
112,15.479
113,9.502
114,18.997
115,18.401
116,16.271
117,10.279
118,13.852
119,12.623
120,19.06
121,4.007
122,20.03
123,13.872
124,18.336
125,15.534
126,12.62
127,13.53
128,16.414
129,8.221
130,6.57
131,11.879
132,11.599
133,13.622
134,13.704
135,14.374
136,6.904
137,10.893
138,8.458
139,14.413
140,10.583
141,7.83
142,10.919
143,5.327
144,13.87
145,10.845
146,6.799
147,10.208
148,9.421
149,12.355
150,14.472
151,11.156
152,12.095
153,12.476
154,12.681
155,7.006
156,12.536
157,11.944
158,11.297
159,11.878
160,13.482
161,8.856
162,10.366
163,6.738
164,5.815
165,7.772
166,9.382
167,10.241
168,6.155
169,9.803
170,9.009
171,6.529
172,6.199
173,3.095
174,11.543
175,8.091
176,10.258
177,10.931
178,9.94
179,8.145
180,9.105
181,9.302
182,9.696
183,7.185
184,5.897
185,7.111
186,5.833
187,6.515
188,6.371
189,5.084
190,6.317
191,9.155
192,7.694
193,1.009
194,0.912
195,7.891
196,8.023
197,9.492
198,10.608
199,7.054
200,9.582
201,8.315
202,6.353
203,7.103
204,5.531
205,2.991
206,8.941
207,13.631
208,13.323
209,14.005
210,11.98
211,1.96
212,12.163
213,12.289
214,13.184
215,12.047
216,11.731
217,13.357
218,10.059
219,14.451
220,11.821
221,7.308
222,7.443
223,8.637
224,10.263
225,8.968
226,8.594
227,5.347
228,9.953
229,5.705
230,10.754
231,8.233
232,11.972
233,3.814
234,13.025
235,9.789
236,3.78
237,6.859
238,5.714
239,10.8
240,2.888
