node,labels
0,25.841
1,30.073
2,32.188
3,35.937
4,39.929
5,26.564
6,9.004
7,28.149
8,48.02
9,42.082
10,37.285
11,44.986
12,32.812
13,42.468
14,33.496
15,34.495
16,31.615
17,45.721
18,33.473
19,28.733
20,36.904
21,24.756
22,43.458
23,28.534
24,26.79
25,44.558
26,30.098
27,36.501
28,40.002
29,50.6
30,37.143
31,33.036
32,36.912
33,44.482
34,35.936
35,43.325
36,36.767
37,35.202
38,35.146
39,46.285
40,39.325
41,33.774
42,17.995
43,17.456
44,35.239
45,33.081
46,28.449
47,26.328
48,34.598
49,30.793
50,33.108
51,31.07
52,32.589
53,34.164
54,21.358
55,27.081
56,30.779
57,23.106
58,35.053
59,11.121
60,34.67
61,32.229
62,38.076
63,30.992
64,33.272
65,33.73
66,35.695
67,26.912
68,31.362
69,21.737
70,22.782
71,24.662
72,23.779
73,21.891
74,29.077
75,33.46
76,31.738
77,38.319
78,34.559
79,30.68
80,20.264
81,24.821
82,28.332
83,23.299
84,34.988
85,34.465
86,25.226
87,35.621
88,33.136
89,37.185
90,10.641
91,13.591
92,28.43
93,13.436
94,9.277
95,24.426
96,10.945
97,20.193
98,23.711
99,20.065
100,25.897
101,27.936
102,24.982
103,30.73
104,22.571
105,24.977
106,20.05
107,26.268
108,29.137
109,16.447
110,20.961
111,21.333
112,15.479
113,9.502
114,18.997
115,18.401
116,16.271
