node,labels
0,0.176
1,3.99
2,0.366
3,5.465
4,0.789
5,11.336
6,3.826
7,0.34
8,1.765
9,2.169
10,0.148
11,1.55
12,0.535
13,3.039
14,1.118
15,0.833
16,0.368
17,0.25
18,0.341
19,1.645
20,0.386
21,1.741
22,0.216
23,1.108
24,1.448
25,0.587
26,5.492
27,4.023
28,0.199
29,0.413
30,2.458
31,0.412
32,0.668
33,0.684
34,1.119
35,0.277
36,2.68
37,0.383
38,0.698
39,0.334
40,2.93
41,1.515
42,0.288
43,0.206
44,0.864
45,0.662
46,0.104
47,1.061
48,0.437
49,0.605
50,0.098
51,1.035
52,1.885
53,0.322
54,1.141
55,1.083
56,0.268
57,0.126
58,1.691
59,0.453
60,3.21
61,1.518
62,0.513
63,0.275
64,3.822
65,0.323
66,0.565
67,0.147
68,0.302
69,0.129
70,1.049
71,0.591
72,0.198
73,0.063
74,0.201
75,0.51
76,0.657
77,0.242
78,2.171
79,0.335
80,0.773
81,0.073
82,1.177
83,0.719
84,0.688
85,1.841
86,0.349
87,0.658
88,1.009
89,1.106
90,0.154
91,0.46
92,0.512
93,0.219
94,0.149
95,0.613
96,0.077
97,0.406
98,0.192
99,0.536
100,0.631
101,1.618
102,0.252
103,1.643
104,1.286
105,0.519
106,0.904
107,0.137
108,0.799
109,0.098
110,0.687
111,0.676
112,0.724
113,0.767
114,0.731
115,0.691
116,0.345
117,0.624
118,0.733
119,0.667
120,0.126
121,0.121
122,0.252
123,0.214
124,0.632
125,0.193
126,0.15
127,0.629
128,0.285
129,0.089
130,0.157
131,0.265
132,0.06
133,0.258
134,0.201
135,0.34
136,0.141
137,0.572
138,0.493
139,0.241
140,0.096
141,0.55
142,2.11
143,0.22
144,0.221
145,0.768
146,0.572
147,0.964
148,0.108
149,2.283
150,0.269
151,0.139
152,0.213
153,0.113
154,0.144
155,0.191
156,0.444
157,0.787
158,0.232
159,0.387
160,0.407
161,0.188
162,0.162
163,0.449
164,0.987
165,1.29
166,0.306
167,2.422
168,0.188
169,0.131
170,1.229
171,0.301
172,0.177
173,0.414
174,0.7
175,0.189
176,0.493
177,0.063
178,0.118
179,0.215
180,0.09
181,0.158
182,0.104
183,0.223
184,0.117
185,0.087
186,0.077
187,0.558
188,0.186
189,0.199
190,0.131
191,0.099
192,0.802
193,0.143
194,0.104
195,0.158
196,0.698
197,0.253
198,0.259
199,0.089
200,0.718
201,0.094
202,0.662
203,0.603
204,0.442
205,0.61
206,0.279
207,0.358
208,0.761
209,0.258
210,0.331
211,0.169
212,0.34
213,0.865
214,0.24
215,0.132
216,0.122
217,0.419
218,0.609
219,0.108
220,0.075
221,0.124
222,0.58
223,0.607
224,0.173
225,0.212
226,0.083
227,0.073
228,1.019
229,0.39
230,2.377
231,0.646
232,0.169
233,0.102
234,0.171
235,0.504
236,0.269
237,0.475
238,0.186
239,0.429
240,0.144
241,0.276
242,0.715
243,0.284
244,0.207
245,0.063
246,0.399
247,0.095
248,0.444
249,0.28
250,0.914
251,0.094
252,0.154
253,0.115
254,0.162
255,0.163
256,0.366
257,0.243
258,0.26
259,0.263
260,0.146
261,0.269
262,0.131
263,0.154
264,0.673
265,0.786
266,0.653
267,0.634
268,0.938
269,0.249
270,0.08
271,0.223
272,0.135
273,0.284
274,0.103
275,0.112
276,0.235
277,0.483
278,0.087
279,0.248
280,0.094
281,0.131
282,0.127
283,1.103
284,0.137
285,2.836
286,0.652
287,0.423
288,0.223
289,0.084
290,0.27
291,0.066
292,0.126
293,0.126
294,0.21
295,0.074
296,0.092
297,0.08
298,0.366
299,0.285
300,0.136
301,0.317
302,0.061
303,0.286
304,0.658
305,0.128
306,0.121
307,0.101
308,0.584
309,0.547
310,0.329
311,0.965
312,0.618
313,0.528
314,0.65
315,0.18
316,0.188
317,0.804
318,0.213
319,0.265
320,0.64
321,0.772
322,0.147
323,0.077
324,0.078
325,0.224
326,0.176
327,0.229
328,0.263
329,0.35
330,0.523
331,0.643
332,0.845
333,0.143
334,0.291
335,0.237
336,0.531
337,0.329
338,0.617
339,0.612
340,0.604
341,0.798
342,0.629
343,0.638
344,0.447
345,0.603
346,0.75
347,0.611
348,0.122
349,0.434
350,0.656
351,1.28
352,0.882
353,0.566
354,0.731
355,0.498
356,0.814
357,0.163
358,0.355
359,0.897
360,0.121
361,0.1
362,0.462
363,0.661
364,0.122
365,0.145
366,0.704
367,0.68
368,0.596
369,0.643
370,0.554
371,0.628
372,0.108
373,0.664
374,0.325
375,0.228
376,0.077
377,0.657
378,0.604
379,0.155
380,0.176
381,0.396
382,0.102
383,1.702
384,0.227
385,0.516
386,0.074
387,3.825
388,0.268
389,0.863
390,1.384
391,0.277
392,0.611
393,0.079
394,0.656
395,0.332
396,0.348
397,0.284
398,0.293
399,0.255
400,0.458
401,0.652
402,0.371
403,0.047
404,0.073
405,0.51
406,1.118
407,0.242
408,1.405
409,0.275
410,0.106
411,0.857
412,0.225
413,0.348
414,0.619
415,0.095
416,0.473
417,1.198
418,0.193
419,0.152
420,0.621
421,0.125
422,0.746
423,0.873
424,0.358
425,0.111
426,0.628
427,0.18
428,0.081
429,0.137
430,0.103
431,0.088
432,0.273
433,0.182
434,0.172
435,0.08
436,0.099
437,0.196
438,0.278
439,0.622
440,0.454
441,0.127
442,0.165
443,0.136
444,0.251
445,0.102
446,0.294
447,0.501
448,0.227
449,0.247
450,0.594
451,0.31
452,0.595
453,0.332
454,0.1
455,0.29
456,0.109
457,0.411
458,0.302
459,0.531
460,0.315
461,0.311
462,1.166
463,1.212
464,0.237
465,0.234
466,0.395
467,0.266
468,0.053
469,0.393
470,0.167
471,0.078
472,2.192
473,0.306
474,3.166
475,0.178
476,0.265
477,0.857
478,0.455
479,1.423
480,1.037
481,1.01
482,0.091
483,0.151
484,1.198
485,0.778
486,0.546
487,0.597
488,0.464
489,0.496
490,0.083
491,0.304
492,0.212
493,0.125
494,1.252
495,0.232
496,0.213
497,0.389
498,0.98
499,0.107
500,0.314
501,0.253
502,0.068
503,0.322
504,0.636
505,0.831
506,0.558
507,0.322
508,0.229
509,0.517
510,0.07
511,1.105
512,0.162
513,1.145
514,0.963
515,0.055
516,0.341
517,0.214
518,0.488
519,1.583
520,0.11
521,0.509
522,0.245
523,0.215
524,1.19
525,0.296
526,0.178
527,0.599
528,0.26
529,0.291
530,0.296
531,0.066
532,0.675
533,0.408
534,0.175
535,0.091
536,0.27
537,0.575
538,0.599
539,1.435
540,0.18
541,0.07
542,0.194
543,0.188
544,0.083
545,2.664
546,0.275
547,0.719
548,0.604
549,0.538
550,0.211
551,0.613
552,0.53
553,0.583
554,0.323
555,0.533
556,0.701
557,0.705
558,0.342
559,0.172
560,0.352
561,0.166
562,0.092
563,0.359
564,0.267
565,0.577
566,0.137
567,0.254
568,0.508
569,0.072
570,0.254
571,0.52
572,1.63
573,0.945
574,0.428
575,0.143
576,0.069
577,0.243
578,0.102
579,0.119
580,0.202
581,0.172
582,0.651
583,0.294
584,1.019
585,0.221
586,0.269
587,0.175
588,0.395
589,0.226
590,0.414
591,0.242
592,0.307
593,0.433
594,0.135
595,0.395
596,0.163
597,0.629
598,0.385
599,0.634
600,0.222
601,0.187
602,0.635
603,0.28
604,0.456
605,0.882
606,0.393
607,0.726
608,0.134
609,1.629
610,0.477
611,0.292
612,0.101
613,1.337
614,0.188
615,0.095
616,0.111
617,0.536
618,0.389
619,0.206
620,0.214
621,0.373
622,0.113
623,0.187
624,0.198
625,0.126
626,0.089
627,0.653
628,0.653
629,0.152
630,0.248
631,0.21
632,1.281
633,0.537
634,0.137
635,0.279
636,0.622
637,0.254
638,0.494
639,0.166
640,0.121
641,0.463
642,0.105
643,0.362
644,0.206
645,0.471
646,0.554
647,0.557
648,0.112
649,0.69
650,0.074
651,0.624
652,0.316
653,0.347
654,0.151
655,0.207
656,0.285
657,0.597
658,2.298
659,0.5
660,0.189
661,0.756
662,0.202
663,0.094
664,0.521
