node,labels
0,29.79
1,49.298
2,34.535
3,99.628
4,68.038
5,94.553
6,82.595
7,84.668
8,94.073
9,5.846
10,48.837
11,122.294
12,98.109
13,121.83
14,79.053
15,120.1
16,45.438
17,45.66
18,37.745
19,25.21
20,45.917
21,47.287
22,71.421
23,47.2
24,88.716
25,99.981
26,95.729
27,68.108
28,30.485
29,41.189
30,30.926
31,60.78
32,102.057
33,66.808
34,29.281
35,72.172
36,108.79
37,65.874
38,30.605
39,96.723
40,53.485
41,61.449
42,82.598
43,63.958
44,77.087
45,73.311
46,27.144
47,85.661
48,69.123
49,75.778
50,0.714
51,3.017
52,1.901
53,69.491
54,83.198
55,0.573
56,40.179
57,26.188
58,98.475
59,82.978
60,41.631
61,42.983
62,25.368
63,52.926
64,26.595
65,74.266
66,96.302
67,56.709
68,72.709
69,33.593
70,63.183
71,4.394
72,11.178
73,60.867
74,40.776
75,78.597
76,28.97
77,20.228
78,91.459
79,61.647
80,62.087
81,92.397
82,48.667
83,69.993
84,1.894
85,60.365
86,3.942
87,7.1
88,55.732
89,7.16
90,92.038
91,82.091
92,58.931
93,121.165
94,73.483
95,91.355
96,77.091
97,73.125
98,78.733
99,36.198
100,112.498
101,68.02
102,46.436
103,72.032
104,75.759
105,98.425
106,89.183
107,55.5
108,43.711
109,51.274
110,62.161
111,76.927
112,27.898
113,63.919
114,86.537
115,89.082
116,55.08
117,82.385
118,74.215
119,71.946
120,91.877
121,72.075
122,71.373
123,93.402
124,88.408
125,99.502
126,79.07
127,54.332
128,32.587
129,47.373
130,45.65
131,42.883
132,25.246
133,50.831
134,17.212
135,57.171
136,26.856
137,36.305
138,26.197
139,35.219
140,58.802
141,38.4
142,27.661
143,2.393
144,23.295
145,31.277
146,42.472
147,49.769
148,57.375
149,63.486
150,79.361
151,78.677
152,53.153
153,42.743
154,48.066
155,1.619
156,46.752
157,86.625
158,48.934
159,65.557
160,1.521
161,2.883
162,34.112
163,20.122
164,40.159
165,34.063
166,61.865
167,83.545
168,48.626
169,93.568
170,27.755
171,65.015
172,87.879
173,0.539
174,2.529
175,71.892
176,15.173
177,67.393
178,31.864
179,80.184
180,21.77
181,8.703
182,78.067
183,56.953
184,2.815
185,46.634
186,41.753
187,37.021
188,7.898
189,39.506
190,1.711
191,66.646
192,15.896
193,10.896
194,30.162
195,14.378
196,8.694
197,66.673
198,28.552
199,5.001
200,17.052
201,14.585
202,41.046
203,38.003
204,55.589
205,21.822
206,36.52
207,25.13
208,1.431
209,61.068
210,4.945
211,20.203
212,26.94
213,33.107
214,15.702
215,4.658
216,61.563
217,12.713
218,63.257
219,31.781
220,79.239
221,9.456
222,6.333
223,93.351
224,2.086
225,8.415
226,4.756
227,21.6
228,3.785
229,16.205
230,15.5
231,2.402
232,38.223
233,54.93
234,45.198
235,17.365
236,50.037
237,77.695
238,65.467
239,69.183
240,57.578
241,23.577
242,38.994
243,66.155
244,28.276
245,54.564
246,32.938
247,28.256
248,24.707
249,2.752
250,1.606
251,6.587
252,0.91
253,23.0
254,5.664
255,0.898
256,0.027
257,63.669
258,49.899
259,32.8
260,18.745
261,0.937
262,4.497
263,8.903
264,52.875
265,75.699
266,77.666
267,3.199
268,13.598
269,65.238
270,5.603
271,0.096
272,3.066
273,27.941
274,25.144
275,8.517
276,36.13
277,40.975
278,3.179
279,22.709
280,40.266
281,40.877
282,30.71
283,51.778
284,33.104
285,34.951
286,33.8
287,15.478
288,42.121
289,40.509
290,40.841
291,43.125
292,6.59
293,46.219
294,14.476
295,9.698
296,0.043
297,3.579
298,11.933
299,10.783
300,7.877
301,89.076
302,63.752
303,5.187
304,2.768
305,15.998
306,3.267
307,4.609
308,61.057
309,1.135
310,42.776
311,1.54
312,1.839
313,14.663
314,2.396
315,1.064
316,11.07
317,4.664
318,5.18
319,9.941
320,7.64
321,6.389
322,50.953
323,21.036
324,66.613
325,0.624
326,39.481
327,7.214
328,26.119
329,4.616
330,14.221
331,10.527
332,2.243
333,37.49
334,29.471
335,49.721
336,63.644
337,74.745
338,6.325
339,16.339
340,0.366
341,28.728
342,0.21
343,38.076
344,8.903
345,16.469
346,49.039
347,60.093
348,51.122
349,69.483
350,48.59
351,21.8
352,53.457
353,11.153
354,0.244
355,10.241
356,7.568
357,17.875
358,3.199
359,16.449
360,0.343
