node,labels
0,61.624
1,33.822
2,29.747
3,117.41
4,97.467
5,23.834
6,17.517
7,10.207
8,15.441
9,12.001
10,8.406
11,10.751
12,28.587
13,20.278
14,37.91
15,14.312
16,58.228
17,26.905
18,104.219
19,87.221
20,44.803
21,41.441
22,41.544
23,85.136
24,58.88
25,76.251
26,47.062
27,41.972
28,61.647
29,117.924
30,19.122
31,11.832
32,39.528
33,51.018
34,54.408
35,29.653
36,39.647
37,33.381
38,71.868
39,41.968
40,34.041
41,77.63
42,40.034
43,45.8
44,45.513
45,130.416
46,63.52
47,120.627
48,72.171
49,51.715
50,58.218
51,69.59
52,61.385
53,56.293
54,36.556
55,36.089
56,19.51
57,72.315
58,94.018
59,92.739
60,25.5
61,21.797
62,15.928
63,39.324
64,25.193
65,26.319
66,21.711
67,11.348
68,21.677
69,74.354
70,117.171
71,85.765
72,105.008
73,69.361
74,96.612
75,61.076
76,112.534
77,40.214
78,37.516
79,130.91
80,67.212
81,102.401
82,78.125
83,86.076
84,71.218
85,63.045
86,39.059
87,54.798
88,28.697
89,183.262
90,12.053
91,9.179
92,20.592
93,29.819
94,29.68
95,72.645
96,105.747
97,76.771
98,39.213
99,175.431
100,98.59
101,102.43
102,34.437
103,39.436
104,13.401
105,51.881
106,22.449
107,92.399
108,85.15
109,93.81
110,149.825
111,78.256
112,72.778
113,72.432
114,17.571
115,102.902
116,77.491
117,25.169
118,120.84
119,128.26
120,122.517
121,60.632
122,95.327
123,69.495
124,82.986
125,21.676
126,18.359
127,29.245
128,41.965
129,28.99
130,10.671
131,30.779
132,36.604
133,80.413
134,79.711
135,92.634
136,38.994
137,56.912
138,53.526
139,63.21
140,47.212
141,42.08
142,43.633
143,68.194
144,37.6
145,36.427
146,9.065
147,11.582
148,7.998
149,57.927
150,32.857
151,25.867
152,16.945
153,7.898
154,47.126
155,60.676
156,34.647
157,38.496
158,87.622
159,26.962
160,44.099
161,59.115
162,32.21
163,8.49
164,37.824
165,48.428
166,69.157
167,25.81
168,70.496
169,91.432
170,77.479
171,43.278
172,40.433
173,26.9
174,66.732
175,33.534
176,92.086
177,38.78
178,25.536
179,62.106
180,25.326
181,39.471
182,32.42
183,26.457
184,17.257
185,49.088
186,60.472
187,53.169
188,43.82
189,22.909
190,46.936
191,60.112
192,26.772
193,146.075
194,96.865
195,175.481
196,87.066
197,48.688
198,40.334
199,16.697
200,15.791
201,19.398
202,44.486
203,37.784
204,38.328
205,22.437
206,12.946
207,8.393
208,32.308
209,29.38
210,18.586
211,16.569
212,13.276
213,5.797
214,14.176
215,10.515
216,21.623
217,20.773
218,22.857
219,15.212
220,16.362
221,33.44
222,47.953
223,49.091
224,23.39
225,76.968
226,44.227
227,24.02
228,71.048
229,47.834
230,68.684
231,37.911
232,33.886
233,18.479
234,57.853
235,46.182
236,24.024
237,90.231
238,60.177
239,45.787
240,45.213
241,65.489
242,83.269
243,63.71
244,60.374
245,37.067
246,15.027
247,26.174
248,21.198
249,29.498
250,13.632
251,13.016
252,24.767
253,15.954
254,36.915
255,21.337
256,21.257
257,21.348
258,19.959
259,17.67
260,88.472
261,82.816
262,13.202
263,15.22
264,85.05
265,87.877
266,52.775
267,106.197
268,7.959
269,13.542
270,17.336
271,40.053
272,44.949
273,22.434
274,32.947
275,14.936
276,80.209
277,75.738
278,62.811
279,51.981
280,29.243
281,88.446
282,76.905
283,3.738
284,2.025
285,5.052
286,87.012
287,43.939
288,90.381
289,44.468
290,94.028
291,29.285
292,54.612
293,7.675
294,3.1
295,50.632
296,50.895
297,72.389
298,82.684
299,34.813
300,29.864
301,64.874
302,92.572
303,74.713
304,89.446
305,37.473
306,31.193
307,45.246
308,39.523
309,34.431
310,4.253
311,27.159
312,15.517
313,22.86
314,35.226
315,22.766
316,42.877
317,34.374
318,39.584
319,33.659
320,18.707
321,46.94
322,39.478
323,61.438
324,84.304
325,27.932
326,17.716
327,9.491
328,3.699
329,9.766
330,42.543
331,31.206
332,45.215
333,32.363
334,35.2
335,14.875
336,14.883
337,8.338
338,24.291
339,18.676
340,10.834
341,12.011
342,35.695
343,20.821
344,34.219
345,40.169
346,35.892
347,16.6
348,12.031
349,74.861
350,37.587
351,21.841
352,51.931
353,39.518
354,31.052
355,60.23
356,61.806
357,31.862
358,41.911
359,12.217
360,29.298
361,37.707
362,10.227
363,21.113
364,18.673
365,22.078
366,9.704
367,53.125
368,27.017
369,23.388
370,3.955
371,52.891
372,11.969
373,99.547
374,67.321
375,49.044
376,53.411
377,25.366
378,29.891
379,58.285
380,28.35
381,69.139
382,108.943
383,37.875
384,87.779
385,90.356
386,43.446
387,47.972
388,46.223
389,47.794
390,74.126
391,37.693
392,46.156
393,45.215
394,20.483
395,53.861
396,42.009
397,21.83
398,40.029
399,72.737
400,35.325
401,56.652
402,61.302
403,30.721
404,22.894
405,44.79
406,65.463
407,87.155
408,56.761
409,33.968
410,37.157
411,74.422
412,58.952
413,102.471
414,90.483
415,50.233
416,42.48
417,20.367
418,50.423
419,47.842
420,26.35
421,60.712
422,34.949
423,68.382
424,34.434
425,45.715
426,72.724
427,68.62
428,40.725
429,30.631
430,14.997
431,27.165
432,51.453
433,42.286
434,49.925
435,40.332
436,91.417
437,17.483
438,11.25
439,33.435
440,38.429
441,38.995
442,35.591
443,25.572
444,52.437
445,53.55
446,38.8
447,32.059
448,42.641
449,39.264
450,37.651
451,15.084
452,50.559
453,18.137
454,40.144
455,25.766
456,19.261
457,12.26
458,41.614
459,43.248
460,38.522
461,38.982
462,22.25
463,20.646
464,13.078
465,63.488
466,33.265
467,74.132
468,61.124
469,67.992
470,100.857
471,76.21
472,80.446
473,66.381
474,61.829
475,45.443
476,39.078
477,46.092
478,46.591
479,30.266
480,63.453
481,77.47
482,29.149
483,55.479
484,61.417
485,47.031
486,52.122
487,37.26
488,124.423
489,63.817
490,100.838
491,60.615
492,51.598
493,43.889
494,71.983
495,35.223
496,26.938
497,12.681
498,44.862
499,26.94
500,21.793
501,27.881
502,200.702
503,184.241
504,95.376
505,52.949
506,48.365
507,38.707
508,71.659
509,36.607
510,23.532
511,32.15
512,20.313
513,144.064
514,133.353
515,71.99
516,34.983
517,35.3
518,22.001
519,68.116
520,108.92
521,84.687
522,85.078
523,100.807
524,113.169
525,68.184
526,77.7
527,77.502
528,66.794
529,42.605
530,90.197
531,122.932
532,85.169
533,74.684
534,103.188
535,77.407
536,88.393
537,76.346
538,65.097
539,63.235
540,80.826
541,103.085
542,56.619
543,62.32
544,46.229
545,63.744
546,29.555
547,32.517
548,53.97
549,63.481
550,126.066
551,68.703
552,61.335
553,76.948
554,96.894
555,54.338
556,170.525
557,197.673
558,18.764
559,16.684
560,116.797
561,21.135
562,31.804
563,13.994
564,59.669
565,40.105
566,40.649
567,106.164
568,63.977
569,37.454
570,70.934
571,37.792
572,32.554
573,57.612
574,29.507
575,9.201
576,18.221
577,49.276
578,23.936
579,22.473
580,25.546
581,14.11
582,16.8
583,13.15
584,15.906
585,12.202
586,16.794
587,42.327
588,16.743
589,52.131
590,21.834
591,35.121
592,19.851
593,32.717
594,14.186
595,17.851
596,56.385
597,41.042
598,48.538
599,82.928
600,39.74
601,66.575
602,33.321
603,31.269
604,14.872
605,60.539
606,32.227
607,83.856
608,38.617
609,19.958
610,29.399
611,43.209
612,20.995
613,17.547
614,10.136
615,90.299
616,45.391
617,76.369
618,38.272
619,39.854
620,16.58
621,98.127
622,49.781
623,40.348
624,18.149
625,37.754
626,24.983
627,36.497
628,23.944
629,28.095
630,9.427
631,54.464
632,27.343
633,105.009
634,101.845
635,50.959
636,60.885
637,28.991
638,41.183
639,29.712
640,55.676
641,27.422
642,28.633
643,12.577
644,16.628
645,26.108
646,12.133
647,20.168
648,35.851
649,11.547
650,60.378
651,31.604
652,108.17
653,84.651
654,52.328
655,34.715
656,26.22
657,56.791
658,29.23
659,27.197
660,40.55
661,40.957
662,68.775
663,30.573
664,111.742
665,100.479
666,55.6
667,61.506
668,91.547
669,49.573
670,49.082
671,29.472
672,71.178
673,31.057
674,28.269
675,13.253
676,95.527
677,63.532
678,84.498
679,47.84
680,25.075
681,13.57
682,6.445
683,6.855
684,49.549
685,60.703
686,34.565
687,35.076
688,35.046
689,16.676
690,24.063
691,5.45
692,8.626
693,78.844
694,12.701
695,8.684
696,34.788
697,17.914
698,29.017
699,14.801
700,40.849
701,20.021
702,66.765
703,34.84
704,84.418
705,77.755
706,70.393
707,33.251
708,29.681
709,13.909
710,16.415
711,105.362
712,62.49
713,120.094
714,39.608
715,16.344
716,8.057
717,13.895
718,35.02
719,13.313
720,48.295
721,26.897
722,43.899
723,18.872
724,61.333
725,35.572
726,71.458
727,67.276
728,84.605
729,92.911
730,94.072
731,44.332
732,45.761
733,50.087
734,58.602
