node,labels
0,13.052
1,5.92
2,3.958
3,50.09
4,13.843
5,6.91
6,9.183
7,0.841
8,7.348
9,9.994
10,3.52
11,35.775
12,5.832
13,69.967
14,0.274
15,0.3
16,0.518
17,0.548
18,0.614
19,0.122
20,0.42
21,4.005
22,73.93
23,79.066
24,48.521
25,36.903
26,53.261
27,54.231
28,43.237
29,73.6
30,14.141
31,69.009
32,84.873
33,89.913
34,84.41
35,53.976
36,91.041
37,89.109
38,87.768
39,87.4
40,88.858
41,98.304
42,67.174
43,82.043
44,88.55
45,85.15
46,33.212
47,89.967
48,24.417
49,62.018
50,99.754
51,93.979
52,16.057
53,22.205
54,41.693
55,13.068
56,1.468
57,4.457
58,18.791
59,27.76
60,51.556
61,12.288
62,55.454
63,9.829
64,12.579
65,78.812
66,83.779
67,85.623
68,83.843
69,91.464
70,83.615
71,91.318
72,89.586
73,87.928
74,86.731
75,85.824
76,79.633
77,76.49
78,73.538
79,87.293
80,70.335
81,88.945
82,84.217
83,89.947
84,60.24
85,65.801
86,9.954
87,9.087
88,59.75
89,21.623
90,59.07
91,32.94
92,40.205
93,26.891
94,50.116
95,31.64
96,8.757
97,1.017
98,39.04
99,0.214
100,0.669
101,25.656
102,45.513
103,95.179
104,19.204
105,4.156
106,82.472
107,0.273
108,1.187
109,0.939
110,4.145
111,0.102
112,0.342
113,2.47
114,9.804
115,3.182
116,0.561
117,0.581
118,1.017
119,0.636
120,1.177
121,0.834
122,0.46
123,1.131
124,0.22
125,5.071
126,53.646
127,15.421
128,81.192
129,81.586
130,7.923
131,0.852
132,90.932
133,1.039
134,82.771
135,94.11
136,94.248
137,72.489
138,98.993
139,85.944
140,100.498
141,86.595
142,98.344
143,95.596
144,92.662
145,98.579
146,71.281
147,91.461
148,56.879
149,0.113
150,0.306
151,0.793
152,0.337
153,1.988
154,0.4
155,0.118
156,0.107
157,0.117
158,0.123
159,0.113
160,0.233
161,3.814
162,0.47
163,24.007
164,0.421
165,0.243
166,92.751
167,83.571
168,30.339
169,95.948
170,37.338
171,89.006
172,72.19
173,90.836
174,53.462
175,41.871
176,63.586
177,87.222
178,95.074
179,52.702
180,72.516
181,42.51
182,74.813
183,98.263
184,56.117
185,19.605
186,35.208
187,77.785
188,30.645
189,58.213
190,23.602
191,34.074
192,15.942
193,78.469
194,51.174
195,31.505
196,76.383
197,33.657
198,47.165
199,80.876
200,10.215
201,80.739
202,11.318
203,10.001
204,5.85
205,11.082
206,2.438
207,2.882
208,2.049
209,2.137
210,3.047
211,2.417
212,2.705
213,1.725
214,2.585
215,2.833
216,0.957
217,2.443
218,2.227
219,18.752
220,8.606
221,2.588
222,1.467
223,3.089
224,2.575
225,2.316
226,1.513
227,1.471
228,35.606
229,27.165
230,22.806
231,28.766
232,24.259
233,24.157
234,12.391
235,20.909
236,60.12
237,0.223
238,0.107
239,0.243
240,0.104
241,0.878
242,0.102
243,0.216
244,0.205
245,0.318
246,0.093
247,0.094
248,0.377
249,0.994
250,0.221
251,8.315
252,6.512
253,9.039
254,0.324
255,0.217
256,0.084
257,0.511
258,2.656
259,1.628
260,10.819
261,0.303
262,0.188
263,1.706
264,0.151
265,1.155
266,0.332
267,9.916
268,0.205
269,0.691
270,0.943
271,9.724
272,0.452
273,0.13
274,0.534
275,4.304
276,0.848
277,0.485
278,1.659
279,1.743
280,11.473
281,1.829
282,0.541
283,0.173
284,0.81
285,0.348
286,0.354
287,1.01
288,0.24
289,2.24
290,16.844
291,0.345
292,3.215
293,6.691
294,1.332
295,1.478
296,43.855
297,22.494
298,5.927
299,14.366
300,22.753
301,24.226
302,1.176
303,36.492
304,6.095
305,13.788
306,1.479
307,8.43
308,7.343
309,18.714
310,32.816
311,2.496
312,0.464
313,2.993
314,4.839
315,0.885
316,0.123
317,0.377
318,0.295
319,0.866
320,47.017
321,29.332
322,29.276
323,56.074
324,37.933
325,6.703
326,4.405
327,46.026
328,15.54
329,37.817
330,13.465
331,10.13
332,33.239
333,24.289
334,8.274
335,15.447
336,27.068
337,9.458
338,4.237
339,4.517
340,1.148
341,6.479
342,46.733
343,0.73
344,0.619
345,1.711
346,0.326
347,0.385
348,0.312
349,26.953
350,45.856
351,7.379
352,1.097
353,0.331
354,0.496
355,0.149
356,0.187
357,6.097
358,9.639
359,64.101
360,2.773
361,0.828
362,2.598
363,29.225
364,1.647
365,8.327
366,0.201
367,0.209
368,0.116
369,86.091
370,0.503
371,0.11
372,4.321
373,4.999
374,0.356
375,0.876
376,0.218
377,0.332
378,0.279
379,0.212
380,0.287
381,0.105
382,0.453
383,0.244
384,0.633
385,0.144
386,0.181
387,2.194
388,2.857
389,0.116
390,0.325
391,5.675
392,6.699
393,0.543
394,8.692
395,4.405
396,38.363
397,2.219
398,9.237
399,0.665
400,1.236
401,1.927
402,6.027
403,1.066
404,5.905
405,29.729
406,18.664
407,0.352
408,0.936
409,3.267
410,2.882
411,5.117
412,0.487
413,4.686
414,0.109
415,0.39
416,0.15
417,6.696
418,2.76
419,26.599
