node,labels
0,38.184
1,65.174
2,57.699
3,42.539
4,44.557
5,35.089
6,40.948
7,41.969
8,25.902
9,50.477
10,34.818
11,41.72
12,54.341
13,52.575
14,56.69
15,59.688
16,46.806
17,30.289
18,54.19
19,60.639
20,65.288
21,54.059
22,69.076
23,37.239
24,40.517
25,63.485
26,53.247
27,51.736
28,67.53
29,49.385
30,57.712
31,42.712
32,48.292
33,75.849
34,39.145
35,33.45
36,42.811
37,40.409
38,18.367
39,52.165
40,51.052
41,31.908
42,22.226
43,64.53
44,35.744
45,23.654
46,71.547
47,28.463
48,37.928
49,41.491
50,31.214
51,25.071
52,24.66
53,37.751
54,28.494
55,57.916
56,39.459
57,40.983
58,37.414
59,59.909
60,60.663
61,45.507
62,52.655
63,31.194
64,26.857
65,33.877
66,45.195
67,42.739
68,40.597
69,55.163
70,33.973
71,65.913
72,45.018
73,36.095
74,52.85
75,28.754
76,37.743
77,32.464
78,64.686
79,18.928
80,35.864
81,27.059
82,55.251
83,22.68
84,14.308
85,55.99
86,16.714
87,27.486
88,46.258
89,34.366
90,62.81
91,59.769
92,38.344
93,39.896
94,85.449
95,36.038
96,53.04
97,67.687
98,41.451
99,36.916
100,53.23
101,60.531
102,52.197
103,64.945
104,46.638
105,44.545
106,22.953
107,23.799
108,22.858
109,13.218
110,37.859
111,18.949
112,77.349
113,24.817
114,53.006
115,30.509
116,60.462
117,28.913
118,70.008
119,66.784
120,39.804
121,33.377
122,63.902
123,46.181
124,71.607
125,36.144
126,59.892
127,63.268
128,59.434
129,27.73
130,43.85
131,41.849
132,25.166
133,28.373
134,18.23
135,48.732
136,79.683
137,39.202
138,55.467
139,32.43
140,67.477
141,25.209
142,49.474
143,67.096
144,43.253
145,62.713
146,73.233
147,68.416
148,65.121
149,61.066
150,49.701
151,82.733
152,74.603
153,54.493
154,45.851
155,13.375
156,57.002
157,41.599
158,16.647
159,48.48
160,59.761
161,53.206
162,32.808
163,50.688
164,53.085
165,29.717
166,27.069
167,48.951
168,67.643
169,42.279
170,65.012
171,45.536
172,31.394
173,47.198
174,30.541
175,46.052
176,53.941
177,68.145
178,42.862
179,20.51
180,40.037
181,58.0
182,58.617
183,51.853
184,37.043
185,36.23
186,41.647
187,60.468
188,42.66
189,46.444
190,46.736
191,43.143
192,56.691
193,43.744
194,55.195
195,50.343
196,43.831
197,55.641
198,45.719
199,51.09
200,48.905
201,13.893
202,25.314
203,7.955
204,13.448
205,28.379
206,36.988
207,37.031
208,46.623
209,45.586
210,60.183
211,15.48
212,22.964
213,21.741
214,4.407
215,14.378
216,36.179
