node,labels
0,0.261
1,0.048
2,5.189
3,16.453
4,4.473
5,2.451
6,1.619
7,2.721
8,8.321
9,5.644
10,1.94
11,9.508
12,0.781
13,0.088
14,0.669
15,0.079
16,0.062
17,0.756
18,1.077
19,0.093
20,0.754
21,0.817
22,1.184
23,1.852
24,3.415
25,0.372
26,1.365
27,0.438
28,2.282
29,0.533
30,2.799
31,0.144
32,0.564
33,1.043
34,0.442
35,0.28
36,0.678
37,0.604
38,0.122
39,0.28
40,0.999
41,0.303
42,0.09
43,3.27
44,0.29
45,0.207
46,0.222
47,0.478
48,0.054
49,1.806
50,0.667
51,0.912
52,0.092
53,1.499
54,0.919
55,0.341
56,0.265
57,0.106
58,1.102
59,0.676
60,0.286
61,0.775
62,2.032
63,0.915
64,0.732
65,1.252
66,0.533
67,0.818
68,0.41
69,1.106
70,0.163
71,0.199
72,0.548
73,0.218
74,0.4
75,0.271
76,0.245
77,0.301
78,0.855
79,0.53
80,0.214
81,0.276
82,0.25
83,0.122
84,0.563
85,0.271
86,0.385
87,0.577
88,0.967
89,0.47
90,0.276
91,0.327
92,0.475
93,0.167
94,0.767
95,0.515
96,0.192
97,0.046
98,0.057
99,0.064
100,0.101
101,0.093
102,0.292
103,0.878
104,0.303
105,0.061
106,0.053
107,0.742
108,0.244
109,0.146
110,0.426
111,0.285
112,0.336
113,0.094
114,0.024
115,0.032
116,0.203
117,0.093
118,0.085
119,0.376
120,0.397
121,0.342
122,0.034
123,0.281
124,0.194
125,0.3
126,0.234
127,0.072
128,0.454
129,0.156
130,0.082
131,0.465
132,0.133
133,0.889
134,0.156
135,0.638
136,0.395
137,0.364
138,0.146
139,0.285
140,0.358
141,0.202
142,0.289
143,0.271
144,0.118
145,0.051
146,0.125
147,0.067
148,0.336
149,0.108
150,0.898
151,0.066
152,0.321
153,0.177
154,0.093
155,0.083
156,0.108
157,0.052
158,0.058
159,0.077
160,0.075
161,0.105
162,0.1
163,0.082
164,0.014
165,0.1
166,0.133
167,0.14
168,0.092
169,0.582
170,0.254
171,0.033
172,0.553
173,0.427
174,0.083
175,0.669
176,0.286
177,0.026
178,0.561
179,0.092
180,0.099
181,0.144
182,0.856
183,0.1
184,0.387
185,0.554
186,0.069
187,0.054
188,0.206
189,0.294
190,0.299
191,0.248
192,0.242
193,0.173
194,0.113
195,0.172
196,0.078
197,0.323
198,0.761
199,0.284
200,0.358
201,0.528
202,0.265
203,0.042
204,0.099
205,0.234
206,0.059
207,0.126
208,0.12
209,0.678
210,0.371
211,0.182
212,0.179
213,0.08
214,0.268
215,0.092
216,0.356
217,0.39
218,0.395
219,0.307
220,0.097
221,0.173
222,0.508
223,0.418
224,0.124
225,0.456
226,0.408
227,0.068
228,0.135
229,0.075
230,0.051
231,0.108
232,0.142
233,0.1
234,0.39
235,0.087
236,0.266
237,0.34
238,0.256
239,0.082
240,0.239
241,0.065
242,0.135
243,0.264
244,0.571
245,0.144
246,0.124
247,0.134
248,0.265
249,0.438
250,0.94
251,0.214
252,0.098
253,0.572
254,0.128
255,0.083
256,0.286
257,0.08
258,0.184
259,0.283
260,0.256
261,0.121
262,0.105
263,0.085
264,0.095
265,0.17
266,0.078
267,0.128
268,0.347
269,0.419
270,0.037
271,0.157
272,0.419
273,0.08
274,0.177
275,0.259
276,0.267
277,0.336
278,0.33
279,0.286
280,0.049
281,0.204
282,0.148
283,0.289
284,0.324
285,0.197
286,0.103
287,0.27
288,0.15
289,0.122
290,0.158
291,0.333
292,0.179
293,0.059
294,0.064
295,0.253
296,0.499
297,0.052
298,0.297
299,0.082
300,0.125
301,0.224
302,0.152
303,0.118
304,0.241
305,0.121
306,0.298
307,0.498
308,0.149
309,0.228
310,0.333
311,0.592
312,0.309
313,0.238
314,0.126
315,0.067
316,0.167
317,0.369
318,0.094
319,0.16
320,0.234
321,0.185
322,0.193
323,0.117
324,0.165
325,0.37
326,0.455
327,0.194
328,0.152
329,0.163
330,0.34
331,0.084
332,0.112
333,0.245
334,0.133
335,0.139
336,0.175
337,0.101
338,0.05
339,0.109
340,0.126
341,0.208
342,0.134
343,0.083
344,0.119
345,0.28
346,0.407
347,0.229
348,0.123
349,0.249
350,0.289
351,0.241
352,0.157
353,0.425
354,0.507
355,0.066
356,0.075
357,0.071
358,0.376
359,0.062
360,0.192
361,0.1
362,0.1
363,0.132
364,0.114
365,0.139
366,0.123
367,0.072
368,0.077
369,0.449
370,0.412
371,0.503
372,0.065
373,0.119
374,0.626
375,0.307
376,0.3
377,0.062
378,0.029
379,0.072
380,0.09
381,0.035
382,0.134
383,0.737
384,0.021
385,0.214
386,0.369
387,0.01
388,0.093
389,0.026
390,0.228
391,0.114
392,0.037
393,0.444
394,0.037
395,0.501
396,0.546
397,0.04
398,0.008
399,0.058
400,0.022
401,0.224
402,0.041
403,0.098
404,0.04
405,0.264
406,0.043
407,0.011
408,0.016
409,0.03
410,0.124
411,0.058
412,0.16
413,0.118
414,0.052
415,0.066
416,0.049
417,0.013
418,0.077
419,0.025
420,0.54
421,0.024
422,0.055
423,0.586
424,0.351
425,0.019
426,0.212
427,0.028
428,0.081
429,0.585
430,0.078
431,0.048
432,0.054
433,0.57
434,0.018
435,0.039
436,0.046
437,0.015
438,0.022
439,0.181
440,0.09
441,0.133
442,0.067
443,0.012
444,0.269
445,0.05
446,0.151
447,0.052
448,0.028
449,0.233
450,0.022
451,0.043
452,0.088
453,0.094
454,0.556
455,0.011
456,0.009
457,0.035
458,0.035
459,0.02
460,0.015
461,0.01
462,0.015
463,0.039
464,0.027
465,0.018
466,0.035
467,0.015
468,0.028
469,0.013
470,0.05
471,0.052
472,0.064
473,0.52
474,0.041
475,0.307
476,0.792
477,0.124
478,0.094
479,0.417
480,0.042
481,0.023
482,0.154
483,0.02
484,0.018
485,0.029
486,0.077
487,0.108
488,0.025
489,0.03
490,0.032
491,0.023
492,0.043
493,0.033
494,0.047
495,0.024
496,0.162
497,0.376
498,0.105
499,0.14
500,0.082
501,0.152
502,0.227
503,0.038
504,0.014
505,0.014
506,0.025
507,0.014
508,0.011
509,0.024
510,0.014
511,0.03
512,0.071
513,0.213
514,0.12
515,1.013
516,0.281
517,0.035
518,0.141
519,0.037
520,0.031
521,0.262
522,0.025
523,0.015
524,0.162
525,0.032
526,0.118
527,0.068
528,0.057
529,0.011
530,0.149
531,0.365
532,0.015
533,0.069
534,0.053
535,0.021
536,0.017
537,1.699
538,0.871
539,0.204
540,0.026
541,0.016
542,0.013
543,0.262
544,0.011
545,0.245
546,0.233
547,0.145
548,0.179
549,0.077
550,0.045
551,0.029
552,0.036
553,0.027
554,0.089
555,0.329
556,0.239
557,0.06
558,0.014
559,0.005
560,0.022
561,0.008
562,0.009
563,0.016
564,0.138
565,0.116
566,0.018
567,0.067
568,0.08
569,0.038
570,0.031
571,0.023
572,0.026
573,0.144
574,0.025
575,0.051
576,0.287
577,0.087
578,0.02
579,0.024
580,0.198
581,0.014
582,0.012
583,0.039
584,0.078
585,0.05
586,0.022
587,0.069
588,0.193
589,0.013
590,0.046
591,0.13
592,0.02
593,0.079
594,0.04
595,0.015
596,0.016
597,0.036
598,0.192
599,0.016
600,0.12
601,0.119
602,0.303
603,0.186
604,0.101
605,0.206
606,0.507
607,0.242
608,0.012
609,0.278
610,0.012
611,0.023
612,0.066
613,0.06
614,0.058
615,0.276
616,0.069
617,0.034
618,0.035
619,0.04
620,0.71
621,0.014
622,0.138
623,1.535
624,1.444
625,0.231
626,0.142
627,0.22
628,0.367
629,0.212
630,0.03
631,0.047
632,0.073
633,0.063
634,0.085
635,0.279
636,0.225
637,0.032
638,0.042
639,0.05
640,0.256
641,0.18
642,0.287
643,0.113
644,0.133
645,0.164
646,0.208
647,0.112
648,0.215
649,0.123
650,0.087
651,0.021
652,0.585
653,0.122
654,0.171
655,0.092
656,0.04
657,0.029
658,0.074
659,0.11
660,0.24
661,0.159
662,0.042
663,0.091
664,0.173
665,0.093
666,0.036
667,0.048
668,0.017
669,0.17
670,0.03
671,0.24
672,0.793
673,0.018
674,0.163
675,0.068
676,0.133
677,0.104
678,0.191
679,0.189
680,0.298
681,0.18
682,0.209
683,0.404
684,0.112
685,0.029
686,0.047
687,0.014
688,0.092
689,0.569
690,0.305
691,0.046
692,0.105
693,0.02
694,0.429
695,0.057
696,0.041
697,0.134
698,0.312
699,0.012
700,0.009
701,0.013
702,0.025
703,0.02
704,0.113
705,0.072
706,0.051
707,0.227
708,0.05
709,0.041
710,0.019
711,0.187
712,0.985
713,0.048
714,1.008
715,0.009
716,0.404
717,0.231
718,0.26
719,0.401
720,0.242
721,0.249
722,0.252
723,0.308
724,0.181
725,0.171
726,0.197
727,0.232
728,0.069
729,0.046
730,0.039
731,0.125
732,0.03
733,0.065
734,0.047
735,0.337
736,0.88
737,0.073
738,0.081
739,0.233
740,0.442
741,0.061
742,0.413
743,0.04
744,0.213
