node,labels
0,0.558
1,0.532
2,30.042
3,48.243
4,15.492
5,20.474
6,20.448
7,47.554
8,41.933
9,53.645
10,52.232
11,41.01
12,11.551
13,2.341
14,2.321
15,2.374
16,2.31
17,21.978
18,26.504
19,21.321
20,21.581
21,37.835
22,35.269
23,35.672
24,36.631
25,41.076
26,22.537
27,38.474
28,45.369
29,3.776
30,3.686
31,3.647
32,4.107
33,24.994
34,28.934
35,28.927
36,26.245
37,30.193
38,33.08
39,29.067
40,36.945
41,15.194
42,26.47
43,15.745
44,29.874
45,24.879
46,24.82
47,27.991
48,29.493
49,35.889
50,2.334
51,2.333
52,2.387
53,2.317
54,32.507
55,32.377
56,17.549
57,44.791
58,41.499
59,37.398
60,39.614
61,43.432
62,39.962
63,55.749
64,45.659
65,51.332
66,46.442
67,50.618
68,53.528
69,55.39
70,45.538
71,33.299
72,48.861
73,43.817
74,47.469
75,49.187
76,46.342
77,37.262
78,22.347
79,31.447
80,22.251
81,45.327
82,27.347
83,31.11
84,27.518
85,23.165
86,40.434
87,18.119
88,19.705
89,20.507
90,38.035
91,28.218
92,32.833
93,41.371
94,38.357
95,46.27
96,40.132
97,34.914
98,36.356
99,37.856
100,7.395
101,5.724
102,6.409
103,5.714
104,11.339
105,13.732
106,10.493
107,10.739
108,28.094
109,26.108
110,25.791
111,45.074
112,40.117
113,41.312
114,42.598
115,5.736
116,5.467
117,5.808
118,3.708
119,5.795
120,6.133
121,2.304
122,51.442
123,5.286
124,4.923
125,7.052
126,37.28
127,31.48
128,27.971
129,30.655
130,29.303
131,33.376
132,19.026
133,2.358
134,2.367
135,2.295
136,2.295
137,3.682
138,5.843
139,2.034
140,50.31
141,45.527
142,51.121
143,34.763
144,46.002
145,41.144
146,38.197
147,41.411
148,5.62
149,5.531
150,3.754
151,3.683
152,3.765
153,4.218
154,17.29
155,17.144
156,15.93
157,13.627
158,14.22
159,13.217
160,50.646
161,44.569
162,42.612
163,41.22
164,40.012
165,39.513
166,41.251
167,0.508
168,0.541
169,8.968
170,11.214
171,19.579
172,17.255
173,19.17
174,0.533
175,0.526
176,0.517
177,0.517
178,0.515
179,0.553
180,0.54
181,0.531
182,11.413
183,8.93
184,8.339
