node,labels
0,30.042
1,48.243
2,15.492
3,20.474
4,20.448
5,47.554
6,41.933
7,53.645
8,52.232
9,41.01
10,11.551
11,21.978
12,26.504
13,21.321
14,21.581
15,37.835
16,35.269
17,35.672
18,36.631
19,41.076
20,22.537
21,38.474
22,45.369
23,24.994
24,28.934
25,28.927
26,26.245
27,30.193
28,33.08
29,29.067
30,36.945
31,15.194
32,26.47
33,15.745
34,29.874
35,24.879
36,24.82
37,27.991
38,29.493
39,35.889
40,32.507
41,32.377
42,17.549
43,44.791
44,41.499
45,37.398
46,39.614
47,43.432
48,39.962
49,55.749
50,45.659
51,51.332
52,46.442
53,50.618
54,53.528
55,55.39
56,45.538
57,33.299
58,48.861
59,43.817
60,47.469
61,49.187
62,46.342
63,37.262
64,22.347
65,31.447
66,22.251
67,45.327
68,27.347
69,31.11
70,27.518
71,23.165
72,40.434
73,18.119
74,19.705
75,20.507
76,38.035
77,28.218
78,32.833
79,41.371
80,38.357
81,46.27
82,40.132
83,34.914
84,36.356
85,37.856
86,7.395
87,5.724
88,6.409
89,5.714
90,11.339
91,13.732
92,10.493
93,10.739
94,28.094
95,26.108
96,25.791
97,45.074
98,40.117
99,41.312
100,42.598
101,51.442
102,5.286
103,4.923
104,7.052
105,37.28
106,31.48
107,27.971
108,30.655
109,29.303
110,33.376
111,19.026
112,50.31
113,45.527
114,51.121
115,34.763
116,46.002
117,41.144
118,38.197
119,41.411
120,17.29
121,17.144
122,15.93
123,13.627
124,14.22
125,13.217
126,50.646
127,44.569
128,42.612
129,41.22
130,40.012
131,39.513
132,41.251
133,8.968
134,11.214
135,19.579
136,17.255
137,19.17
138,11.413
139,8.93
140,8.339
