node,labels
0,78.643
1,88.886
2,104.577
3,72.339
4,62.424
5,63.059
6,107.879
7,104.726
8,109.248
9,90.759
10,55.987
11,79.936
12,26.6
13,37.215
14,72.71
15,91.738
16,43.641
17,49.42
18,24.508
19,57.614
20,40.171
21,80.593
22,59.31
23,44.663
24,31.449
25,56.723
26,60.033
27,60.761
28,72.291
29,73.951
30,66.011
31,66.182
32,90.681
33,46.002
34,74.195
35,60.292
36,37.338
37,58.524
38,110.966
39,94.222
40,86.672
41,69.96
42,45.36
43,74.197
44,49.647
45,20.109
46,41.727
47,43.723
48,80.097
49,47.528
50,54.625
51,25.504
52,21.972
53,26.327
54,51.38
55,88.926
56,9.078
57,50.808
58,25.724
59,46.38
60,46.189
61,35.3
62,10.289
63,75.278
64,92.325
65,47.396
66,46.093
67,34.452
68,21.504
69,84.236
70,50.461
71,52.903
72,23.968
73,54.347
74,34.748
75,81.096
76,78.939
77,72.138
78,68.507
79,36.543
80,67.73
81,80.912
82,50.13
83,66.126
84,54.842
85,76.88
86,57.922
87,33.169
88,41.67
89,46.148
90,33.535
91,54.489
92,44.97
93,60.278
94,33.105
95,72.722
96,48.954
97,74.722
98,82.317
99,44.525
100,70.948
101,27.347
102,47.158
103,40.446
104,18.895
105,50.966
106,70.503
107,115.296
108,39.629
109,13.678
110,48.651
111,88.295
112,25.591
113,17.67
114,39.327
115,37.529
116,2.912
117,15.623
118,18.409
119,14.926
120,65.134
121,39.208
122,40.078
123,58.355
124,32.591
125,87.237
126,83.958
127,81.404
128,54.867
129,58.592
130,56.256
131,48.147
132,49.95
133,12.438
134,5.01
135,30.278
136,52.004
137,23.508
138,70.666
139,33.982
140,48.065
141,18.226
142,25.415
143,79.714
144,22.297
145,65.829
146,68.194
147,14.16
148,33.172
149,34.197
150,40.057
151,27.148
152,44.676
153,59.069
154,36.444
155,51.322
156,68.58
157,21.69
158,23.354
159,31.007
160,60.195
161,91.706
162,104.159
163,70.597
164,62.141
165,53.473
166,35.631
167,73.528
168,64.481
169,17.524
170,12.838
171,45.756
172,32.618
173,28.855
174,40.465
175,20.281
176,29.912
177,45.127
178,64.763
179,30.834
180,64.567
181,31.89
182,49.138
183,55.507
184,66.019
185,57.348
186,30.923
187,48.099
188,61.311
189,45.753
190,47.074
191,49.958
192,46.436
193,64.395
194,40.42
195,40.043
196,42.344
197,56.118
198,75.454
199,32.763
200,20.926
201,24.307
202,18.66
203,86.121
204,24.818
205,40.041
206,71.227
207,39.756
208,37.683
209,7.18
210,40.586
211,65.349
212,34.967
213,61.247
214,32.721
215,35.469
216,59.499
217,46.83
218,37.707
219,51.322
220,51.825
221,59.137
222,55.388
223,65.091
224,58.461
225,63.425
226,47.426
227,42.796
228,73.14
229,28.525
230,19.922
231,45.338
232,66.049
233,40.961
234,41.277
235,49.838
236,27.409
237,47.138
238,36.624
239,73.33
240,50.158
241,45.432
242,42.586
243,49.322
244,44.507
245,40.32
246,24.379
247,35.454
248,60.509
249,62.249
250,55.492
251,75.841
252,56.748
253,10.379
254,47.038
255,18.238
256,47.509
257,47.583
258,25.396
259,61.008
260,58.586
261,27.296
262,40.625
263,41.117
264,60.113
265,71.228
266,13.648
267,35.014
268,26.013
269,49.901
270,14.726
271,49.412
272,35.138
273,33.336
274,47.855
275,40.108
276,39.863
277,33.383
278,58.062
279,28.332
280,25.696
281,40.244
282,41.771
283,28.763
284,64.544
285,55.115
286,28.959
287,52.784
288,22.46
289,52.029
290,57.742
291,48.703
292,25.547
293,70.347
294,10.954
295,57.483
296,56.168
297,39.508
298,38.835
299,26.255
300,43.402
301,52.011
302,43.931
303,49.46
304,32.336
305,25.255
306,53.434
307,51.829
308,38.844
309,36.261
310,12.547
311,10.733
312,27.223
313,22.765
314,8.78
315,10.79
316,66.682
317,28.286
318,43.644
319,28.499
320,26.103
321,48.524
322,36.079
323,39.037
324,48.78
325,69.466
326,69.697
327,25.756
328,24.223
329,49.004
330,30.792
331,20.159
332,14.802
333,39.526
334,37.168
335,24.942
336,21.592
337,33.819
338,39.855
339,30.0
340,35.536
341,32.677
342,28.372
343,24.401
344,9.208
345,28.155
346,2.843
347,21.076
348,26.571
349,48.383
350,29.131
351,19.95
352,42.009
353,28.284
354,24.883
355,15.072
356,32.759
357,20.525
358,23.724
359,14.671
360,24.005
361,2.913
362,17.672
363,15.818
364,10.555
365,27.202
366,8.28
367,17.581
368,12.807
369,12.407
370,7.908
371,8.923
