node,labels
0,27.295
1,41.9
2,36.322
3,32.092
4,45.045
5,24.944
6,31.314
7,39.886
8,34.408
9,40.466
10,30.584
11,35.671
12,30.993
13,21.862
14,29.2
15,44.644
16,32.284
17,32.542
18,34.998
19,29.498
20,24.311
21,29.836
22,33.277
23,41.002
24,27.277
25,29.768
26,48.56
27,46.939
28,44.656
29,42.902
30,43.946
31,38.53
32,32.801
33,47.999
34,43.299
35,46.689
36,44.221
37,51.169
38,41.892
39,27.064
40,46.168
41,46.856
42,50.865
43,48.053
44,49.392
45,33.73
46,46.785
47,47.778
48,47.221
49,50.675
50,44.011
51,46.491
52,47.259
53,42.448
54,27.216
55,42.843
56,47.818
57,44.937
58,50.359
59,34.005
60,33.532
61,49.598
62,48.122
63,47.642
64,36.686
65,25.234
66,36.356
67,34.46
68,35.699
69,21.844
70,42.418
71,11.331
72,32.812
73,23.89
74,31.336
75,29.074
76,38.725
77,31.294
78,23.664
79,28.882
80,28.326
81,8.012
82,33.091
83,24.664
84,24.401
85,23.64
86,28.342
87,14.709
88,12.737
89,36.221
90,13.019
91,33.67
92,10.603
93,13.678
94,6.553
95,9.509
96,13.086
97,17.609
98,25.364
99,25.274
100,25.18
101,23.018
102,26.02
103,27.615
104,25.014
105,11.382
106,20.518
107,18.324
108,24.319
109,11.11
110,26.67
111,17.415
112,24.51
113,35.94
114,23.663
115,13.324
116,9.673
117,19.871
118,33.162
119,32.103
120,23.962
121,12.377
122,17.219
123,26.106
124,9.993
125,14.334
126,16.821
127,23.435
128,37.156
129,22.809
130,24.617
131,23.386
132,24.366
133,27.122
134,28.959
135,27.676
136,34.102
137,5.186
138,21.884
139,27.865
140,25.59
141,24.091
142,25.33
143,20.592
144,24.163
145,24.367
146,16.487
147,20.911
148,19.934
149,41.064
150,24.481
151,26.596
152,22.967
153,33.506
154,19.065
155,24.914
156,33.497
157,19.99
158,26.988
159,12.874
160,29.53
161,18.544
162,17.003
163,6.183
164,24.569
165,18.558
166,20.777
167,14.583
168,11.068
169,11.678
170,9.996
171,8.84
172,5.255
173,3.803
174,26.265
175,24.353
176,7.234
177,37.618
178,23.334
179,24.468
180,21.1
181,27.928
182,23.256
183,27.059
184,9.179
185,26.688
186,17.735
187,26.602
188,19.881
189,23.755
190,23.754
191,20.143
192,23.352
193,24.172
194,33.521
195,25.857
196,24.222
197,15.278
198,18.19
199,19.82
200,14.173
201,27.944
202,26.314
203,18.323
204,23.999
205,24.138
206,18.622
207,20.913
208,14.233
209,6.708
210,9.39
211,27.09
212,3.816
213,18.412
214,8.579
215,9.535
216,8.297
217,8.966
218,13.561
219,8.771
220,2.586
221,7.344
222,13.418
223,26.079
224,24.993
225,9.079
226,15.935
227,3.796
228,20.932
229,10.477
230,3.317
231,6.065
