node,labels
0,207.002
1,180.578
2,240.691
3,168.971
4,109.762
5,172.518
6,175.916
7,85.941
8,178.68
9,193.697
10,166.483
11,156.374
12,190.521
13,181.057
14,148.637
15,248.768
16,59.052
17,167.062
18,197.174
19,153.825
20,240.616
21,145.837
22,242.53
23,211.866
24,163.089
25,45.118
26,152.607
27,114.338
28,72.62
29,189.463
30,186.289
31,34.783
32,96.449
33,152.665
34,15.525
35,13.348
36,16.244
37,174.11
38,215.41
39,210.389
40,246.3
41,251.408
42,118.009
43,157.899
44,205.216
45,230.473
46,90.157
47,96.398
48,238.494
49,214.641
50,173.809
51,225.457
52,38.435
53,216.658
54,161.377
55,227.524
56,157.452
57,188.318
58,152.158
59,34.545
60,76.228
61,195.417
62,75.743
63,142.814
64,106.37
65,131.846
66,90.869
67,115.178
68,164.018
69,166.527
70,114.492
71,188.788
72,139.332
73,169.12
74,78.0
75,225.966
76,87.514
77,104.272
78,113.239
79,188.6
80,181.943
81,162.49
82,78.469
83,160.41
84,173.623
85,122.792
86,85.633
87,111.232
88,58.868
89,124.499
90,86.767
91,95.371
92,86.226
93,162.348
94,54.712
95,44.205
96,32.024
97,26.087
98,53.919
99,27.931
100,109.494
101,22.707
102,64.11
103,168.361
104,268.465
105,177.715
106,145.76
107,81.014
108,29.806
109,99.383
110,11.885
111,141.789
112,108.219
113,44.07
114,95.245
115,227.702
116,128.187
117,52.13
118,83.177
119,175.887
120,82.871
121,111.899
122,47.175
123,137.817
124,105.437
125,30.263
126,133.644
127,234.314
128,83.866
129,107.942
130,125.776
131,90.149
132,139.385
133,208.005
134,217.361
135,70.642
136,211.471
137,51.545
138,38.655
139,215.089
140,80.757
141,161.84
142,203.975
143,41.67
144,158.078
145,190.94
146,165.52
147,120.37
148,116.956
149,171.664
150,25.552
151,159.963
152,117.888
153,44.681
154,144.278
155,66.781
156,140.247
157,67.989
158,48.911
159,20.304
160,92.139
161,118.245
162,85.065
163,63.454
164,81.173
165,75.614
166,81.375
167,119.961
168,60.685
169,54.089
170,37.908
171,54.274
172,17.037
173,57.934
174,14.637
175,168.382
176,40.584
177,55.62
178,50.855
179,28.34
180,89.823
181,184.174
182,193.223
183,107.238
184,202.423
185,115.286
186,82.744
187,98.678
188,117.497
189,84.463
190,130.788
191,107.746
192,175.074
193,196.167
194,59.947
195,242.745
196,140.677
197,200.218
198,118.237
199,169.989
200,215.382
201,143.875
202,150.808
203,234.953
204,207.683
205,217.394
206,165.058
207,110.607
208,80.174
209,213.179
210,144.026
211,194.167
212,167.956
213,188.58
214,198.989
215,174.184
216,139.281
217,182.082
218,188.536
219,74.824
220,113.08
