node,labels
0,1.549
1,0.206
2,2.11
3,1.371
4,1.416
5,2.113
6,0.697
7,1.248
8,1.333
9,0.585
10,0.102
11,0.798
12,0.762
13,4.219
14,0.647
15,1.794
16,4.08
17,20.884
18,8.235
19,0.333
20,9.982
21,0.437
22,1.449
23,0.629
24,1.575
25,6.851
26,1.146
27,0.561
28,0.698
29,2.481
30,0.126
31,0.1
32,1.657
33,2.272
34,2.764
35,0.868
36,0.787
37,0.812
38,2.571
39,2.933
40,1.611
41,2.354
42,0.469
43,2.545
44,1.664
45,2.896
46,4.898
47,5.198
48,0.197
49,3.211
50,3.084
51,0.427
52,2.364
53,1.284
54,5.708
55,0.661
56,0.109
57,0.178
58,0.156
59,2.128
60,1.069
61,2.566
62,3.096
63,0.453
64,1.146
65,1.978
66,0.965
67,1.298
68,1.19
69,1.039
70,1.836
71,0.567
72,5.065
73,0.883
74,3.765
75,0.425
76,0.301
77,2.274
78,1.319
79,0.187
80,0.47
81,1.802
82,2.835
83,0.223
84,1.621
85,1.189
86,1.598
87,0.956
88,0.427
89,0.169
90,0.305
91,2.584
92,1.928
93,0.355
94,2.191
95,1.356
96,0.861
97,3.63
98,0.607
99,0.499
100,0.39
101,0.471
102,1.766
103,0.466
104,1.808
105,2.275
106,2.355
107,1.7
108,2.426
109,2.094
110,3.41
111,1.288
112,0.212
113,0.164
114,1.237
115,2.319
116,0.17
117,0.301
118,0.524
119,0.083
120,0.097
121,5.189
122,0.62
123,0.651
124,0.581
125,0.58
126,0.395
127,0.533
128,0.616
129,0.396
130,0.506
131,0.494
132,0.525
133,1.355
134,0.598
135,0.525
136,0.496
137,0.468
138,0.535
139,0.517
140,0.489
141,0.53
142,0.571
143,1.857
144,5.392
145,0.577
146,0.7
147,0.609
148,0.543
149,0.643
150,0.523
151,0.575
152,0.445
153,0.31
154,0.608
155,0.491
156,0.713
157,2.985
158,0.511
159,0.591
160,0.478
161,0.518
162,0.644
163,0.47
164,0.685
165,0.39
166,0.088
167,0.301
168,2.013
169,1.153
170,0.261
171,0.64
172,1.695
173,2.796
174,0.241
175,4.982
176,1.274
177,0.519
178,0.52
179,0.359
180,1.332
181,0.55
182,0.46
183,1.177
184,0.326
185,1.381
186,0.805
187,0.468
188,0.577
189,0.539
190,0.571
191,0.541
192,2.106
193,0.095
194,0.249
195,2.141
196,0.486
197,0.105
198,1.822
199,0.177
200,1.189
201,1.744
202,0.279
203,0.244
204,0.268
205,1.037
206,0.397
207,0.204
208,1.943
209,0.986
210,1.288
211,0.205
212,0.224
213,0.154
214,0.193
215,0.182
216,2.624
217,0.523
218,1.088
219,3.026
220,2.473
221,0.279
222,2.505
223,2.643
224,0.312
225,1.345
226,0.365
227,1.548
228,1.889
229,0.699
230,0.909
231,2.123
232,2.537
233,0.941
234,0.218
235,3.188
236,0.262
237,0.533
238,1.77
239,0.229
240,0.27
241,2.713
242,1.232
243,0.218
244,0.256
245,0.241
246,0.715
247,0.453
248,0.168
249,2.726
250,0.305
251,0.827
252,0.355
253,0.911
254,2.077
255,0.087
256,0.078
257,2.254
258,1.945
259,0.365
260,0.302
261,0.474
262,3.297
263,0.333
264,0.301
265,0.732
266,0.898
267,4.851
268,0.462
269,1.028
270,0.441
271,0.415
272,0.821
273,0.423
274,0.375
275,1.777
276,0.244
277,1.525
278,0.172
279,0.982
280,0.964
281,0.098
282,1.966
283,0.423
284,1.633
285,0.929
286,0.212
287,0.52
288,0.3
289,6.715
290,0.873
291,0.674
292,0.805
293,0.953
294,0.586
295,0.641
296,0.605
297,0.612
298,0.604
299,2.737
300,0.301
301,0.216
302,0.426
303,0.398
304,0.267
305,0.423
306,0.363
307,0.195
308,2.124
309,2.863
310,0.31
311,0.445
312,0.241
313,1.664
314,0.971
315,1.806
316,0.439
317,0.803
318,0.114
319,2.279
320,1.7
321,0.504
322,0.202
323,0.164
324,0.205
325,2.03
326,1.0
327,0.138
328,0.094
329,2.572
330,2.461
331,3.586
332,2.083
333,0.955
334,0.261
335,0.09
336,8.866
337,0.762
338,0.886
339,1.934
340,1.034
341,0.842
342,0.894
343,1.487
344,1.049
345,0.915
346,0.851
347,0.873
348,0.68
349,0.889
350,1.192
351,0.853
352,0.775
353,2.28
354,0.681
355,0.937
356,0.725
357,0.858
358,1.833
359,0.887
360,0.812
361,1.341
362,0.846
363,0.802
364,0.777
365,1.102
366,0.95
367,0.807
368,0.865
369,0.778
370,0.91
371,1.116
372,0.773
373,1.425
374,1.076
375,1.279
376,0.852
377,0.975
378,0.844
379,1.595
380,2.621
381,1.007
382,0.842
383,0.945
384,0.778
385,0.725
386,1.102
387,0.906
388,1.063
389,0.716
390,1.295
391,0.855
392,1.039
393,0.759
394,2.998
395,0.287
396,0.398
397,0.332
398,0.304
399,0.333
400,0.28
401,0.618
402,0.308
403,0.273
404,0.244
405,0.771
406,0.372
407,0.263
408,0.349
409,0.351
410,0.315
411,0.387
412,0.688
413,0.333
414,0.412
415,0.319
416,0.24
417,0.316
418,0.604
419,0.36
420,3.414
421,0.508
422,0.375
423,0.318
424,0.394
425,0.358
426,0.429
427,0.304
428,0.401
429,0.335
430,0.842
431,3.279
432,0.561
433,2.049
434,0.733
435,2.06
436,0.278
437,4.864
438,0.502
439,0.356
440,5.04
441,0.524
442,0.412
443,0.479
444,0.505
445,0.926
446,0.524
447,0.684
448,0.427
449,0.416
450,0.469
451,0.576
452,2.221
453,0.274
454,0.457
455,0.088
456,1.734
457,2.881
458,3.488
459,4.638
460,0.348
461,0.77
462,0.419
463,0.375
464,0.6
465,0.3
466,0.693
467,0.331
468,0.592
469,0.497
470,0.542
471,0.471
472,1.876
473,0.297
474,0.501
475,0.112
476,0.856
477,0.775
478,0.271
479,0.083
480,0.132
481,0.727
482,0.103
483,0.083
484,3.768
485,2.083
486,0.745
487,0.842
488,0.676
489,1.233
490,2.502
491,0.623
492,0.246
493,0.72
494,0.887
495,0.761
496,2.511
497,0.351
498,0.77
499,1.362
500,0.16
501,3.085
502,0.564
503,2.76
504,0.294
505,0.495
506,0.907
507,0.124
508,0.116
509,3.756
510,0.361
511,0.432
512,0.413
513,0.201
514,2.376
515,0.356
516,0.306
517,0.265
518,0.681
519,0.343
520,0.273
521,0.259
522,0.231
523,0.232
524,0.299
525,0.304
526,2.09
527,0.245
528,2.284
529,0.189
530,1.231
531,2.024
532,0.509
533,3.558
534,0.535
535,1.48
536,0.204
537,0.292
538,2.97
539,0.324
540,0.302
541,0.308
542,0.346
543,0.287
544,0.283
545,2.153
546,0.327
547,0.166
548,0.299
549,0.316
550,0.21
551,1.112
552,1.279
553,0.127
554,1.055
555,1.781
556,0.589
557,2.094
558,4.333
559,0.417
560,0.465
561,0.352
562,0.352
563,0.369
564,1.763
565,0.197
566,0.203
567,0.234
568,0.167
569,0.425
570,0.91
571,0.185
572,0.231
573,0.567
574,0.465
575,0.161
576,0.476
577,2.856
578,0.343
579,0.395
580,0.32
581,0.242
582,1.863
583,0.18
584,4.585
585,0.576
586,0.585
587,0.675
588,0.558
589,0.531
590,0.416
591,0.492
592,0.613
593,0.446
594,0.392
595,0.69
596,0.504
597,0.436
598,0.602
599,0.634
600,0.447
601,0.595
602,0.551
603,3.208
604,0.243
605,0.421
606,0.228
607,0.322
608,0.913
609,1.864
610,0.328
611,0.657
612,2.468
613,0.222
614,0.301
615,0.144
616,3.775
617,0.314
618,0.276
619,0.32
620,0.343
621,0.288
622,0.431
623,0.449
624,0.411
625,0.363
626,0.434
627,2.02
628,0.215
629,1.726
630,0.26
631,1.971
632,0.255
633,0.107
634,0.205
635,1.349
636,4.154
637,0.441
638,0.452
639,0.422
640,0.457
641,0.425
642,0.469
643,0.813
644,0.4
645,0.454
646,0.389
647,0.412
648,0.443
649,1.934
650,0.265
651,0.999
652,3.126
653,2.474
654,0.292
655,0.291
656,1.284
657,0.922
658,4.425
659,0.458
660,0.477
661,1.181
662,0.483
663,0.45
664,0.497
665,0.411
666,0.375
667,0.416
668,0.4
669,0.393
670,0.439
671,0.434
672,0.501
673,0.291
674,0.633
675,1.872
676,3.142
677,0.399
678,0.239
679,0.263
680,2.167
681,0.587
682,2.438
683,1.177
684,1.605
685,0.293
686,4.609
687,3.911
688,0.468
689,0.425
690,0.373
691,0.399
692,0.347
693,1.107
694,0.473
695,0.52
696,0.487
697,0.342
698,0.336
699,0.445
700,0.408
701,0.434
702,1.029
703,0.388
704,0.46
705,0.383
706,0.448
707,0.439
708,0.411
709,0.434
710,0.282
711,0.404
712,0.452
713,0.399
714,0.392
715,2.707
716,1.891
717,0.466
718,0.093
719,0.26
720,0.864
721,1.366
722,0.225
723,0.177
724,1.45
725,2.981
726,0.293
727,1.951
728,0.326
729,0.249
730,3.821
731,3.019
732,0.453
733,3.355
734,2.895
735,1.891
736,0.192
737,1.092
738,3.346
739,0.39
740,0.346
741,0.859
742,0.11
743,0.174
744,2.5
745,3.228
746,0.285
747,0.265
748,0.333
749,2.295
750,0.261
751,1.146
752,1.858
753,2.187
754,1.722
755,1.084
756,2.908
757,2.01
758,2.575
759,0.273
760,0.677
761,0.141
762,0.597
763,2.457
764,2.834
765,0.319
766,0.419
767,0.27
768,0.249
769,4.192
770,0.449
771,0.537
772,2.29
773,0.59
774,0.142
775,1.651
776,3.218
777,0.316
778,0.241
779,0.453
780,0.354
781,0.39
782,0.429
783,0.374
784,0.375
785,0.285
786,0.4
787,3.084
788,0.31
789,0.373
790,0.363
791,0.454
792,0.661
793,0.317
794,0.315
795,0.085
796,0.089
797,1.272
798,0.094
799,0.082
800,1.509
801,0.257
802,2.413
803,1.572
804,2.323
805,0.293
806,5.857
807,0.501
808,0.463
809,0.478
810,0.506
811,1.205
812,1.497
813,1.894
814,0.239
815,1.992
816,1.613
817,3.035
818,0.347
819,0.257
820,0.521
821,0.401
822,0.493
823,0.405
824,0.356
825,0.31
826,3.051
827,0.363
828,1.663
829,6.389
830,0.483
831,0.691
832,0.648
833,7.081
834,0.757
835,0.509
836,0.66
837,0.524
838,0.515
839,0.521
840,0.879
841,0.93
842,0.69
843,0.721
844,0.566
845,0.669
846,1.272
847,0.204
848,2.946
849,0.27
850,0.557
851,0.091
852,0.645
853,0.948
854,0.149
855,1.317
856,0.15
857,0.215
858,0.819
859,3.187
860,1.932
861,0.235
