node,labels
0,1.549
1,0.206
2,2.11
3,1.371
4,1.416
5,2.113
6,0.697
7,1.248
8,1.333
9,0.585
10,0.102
11,0.798
12,0.762
13,4.219
14,0.647
15,1.794
16,4.08
17,20.884
18,8.235
19,0.333
20,9.982
21,0.437
22,1.449
23,0.629
24,1.575
25,6.851
26,1.146
27,0.561
28,0.698
29,2.481
30,0.126
31,0.1
32,1.657
33,2.272
34,2.764
35,0.868
36,0.787
37,0.812
38,2.571
39,2.933
40,1.611
41,2.354
42,0.469
43,2.545
44,1.664
45,2.896
46,4.898
47,5.198
48,0.197
49,3.211
50,3.084
51,0.427
52,2.364
53,1.284
54,5.708
55,0.661
56,0.109
57,0.178
58,0.156
59,2.128
60,1.069
61,2.566
62,3.096
63,0.453
64,1.146
65,1.978
66,0.965
67,1.298
68,1.19
69,1.039
70,1.836
71,0.567
72,5.065
73,0.883
74,3.765
75,0.425
76,0.301
77,2.274
78,1.319
79,0.187
80,0.47
81,1.802
82,2.835
83,0.223
84,1.621
85,1.189
86,1.598
87,0.956
88,0.427
89,0.169
90,0.305
91,2.584
92,1.928
93,0.355
94,2.191
95,1.356
96,0.861
97,3.63
98,0.607
99,0.499
100,0.39
101,0.471
102,1.766
103,0.466
104,1.808
105,2.275
106,2.355
107,1.7
108,2.426
109,2.094
110,3.41
111,1.288
112,0.212
113,0.164
114,1.237
115,2.319
116,0.17
117,0.301
118,0.524
119,0.083
120,0.097
121,5.189
122,0.62
123,0.651
124,0.581
125,0.58
126,0.395
127,0.533
128,0.616
129,0.396
130,0.506
131,0.494
132,0.525
133,1.355
134,0.598
135,0.525
136,0.496
137,0.468
138,0.535
139,0.517
140,0.489
141,0.53
142,0.571
143,1.857
144,5.392
145,0.577
146,0.7
147,0.609
148,0.543
149,0.643
150,0.523
151,0.575
152,0.445
153,0.31
154,0.608
155,0.491
156,0.713
157,2.985
158,0.511
159,0.591
160,0.478
161,0.518
162,0.644
163,0.47
164,0.685
165,0.39
166,0.088
167,0.301
168,2.013
169,1.153
170,0.261
171,0.64
172,1.695
173,2.796
174,0.241
175,4.982
176,1.274
177,0.519
178,0.52
179,0.359
180,1.332
181,0.55
182,0.46
183,1.177
184,0.326
185,1.381
186,0.805
187,0.468
188,0.577
189,0.539
190,0.571
191,0.541
192,2.106
193,2.141
194,0.486
195,0.105
196,1.822
197,0.177
198,1.189
199,1.744
200,0.279
201,0.244
202,0.268
203,1.037
204,0.397
205,0.204
206,1.943
207,0.986
208,1.288
209,0.205
210,0.224
211,0.154
212,0.193
213,0.182
214,2.624
215,0.523
216,1.088
217,3.026
218,2.473
219,0.279
220,2.505
221,2.643
222,0.312
223,1.345
224,0.365
225,1.548
226,1.889
227,0.699
228,0.909
229,2.123
230,2.537
231,0.941
232,0.218
233,3.188
234,0.262
235,0.533
236,1.77
237,0.229
238,0.27
239,2.713
240,1.232
241,0.218
242,0.256
243,0.241
244,0.715
245,0.453
246,0.168
247,2.726
248,0.305
249,0.827
250,0.355
251,0.911
252,2.077
253,2.254
254,1.945
255,0.365
256,0.302
257,0.474
258,3.297
259,0.333
260,0.301
261,0.732
262,0.898
263,4.851
264,0.462
265,1.028
266,0.441
267,0.415
268,0.821
269,0.423
270,0.375
271,1.777
272,0.244
273,1.525
274,0.172
275,0.982
276,0.964
277,0.098
278,1.966
279,0.423
280,1.633
281,0.929
282,0.212
283,0.52
284,0.3
285,6.715
286,0.873
287,0.674
288,0.805
289,0.953
290,0.586
291,0.641
292,0.605
293,0.612
294,0.604
295,2.737
296,0.301
297,0.216
298,0.426
299,0.398
300,0.267
301,0.423
302,0.363
303,0.195
304,2.124
305,2.863
306,0.31
307,0.445
308,0.241
309,1.664
310,0.971
311,1.806
312,0.439
313,0.803
314,0.114
315,2.279
316,1.7
317,0.504
318,0.202
319,0.164
320,0.205
321,2.03
322,1.0
323,0.138
324,2.572
325,2.461
326,3.586
327,2.083
328,0.955
329,0.261
330,0.09
331,8.866
332,0.762
333,0.886
334,1.934
335,1.034
336,0.842
337,0.894
338,1.487
339,1.049
340,0.915
341,0.851
342,0.873
343,0.68
344,0.889
345,1.192
346,0.853
347,0.775
348,2.28
349,0.681
350,0.937
351,0.725
352,0.858
353,1.833
354,0.887
355,0.812
356,1.341
357,0.846
358,0.802
359,0.777
360,1.102
361,0.95
362,0.807
363,0.865
364,0.778
365,0.91
366,1.116
367,0.773
368,1.425
369,1.076
370,1.279
371,0.852
372,0.975
373,0.844
374,1.595
375,2.621
376,1.007
377,0.842
378,0.945
379,0.778
380,0.725
381,1.102
382,0.906
383,1.063
384,0.716
385,1.295
386,0.855
387,1.039
388,0.759
389,2.998
390,0.287
391,0.398
392,0.332
393,0.304
394,0.333
395,0.28
396,0.618
397,0.308
398,0.273
399,0.244
400,0.771
401,0.372
402,0.263
403,0.349
404,0.351
405,0.315
406,0.387
407,0.688
408,0.333
409,0.412
410,0.319
411,0.24
412,0.316
413,0.604
414,0.36
415,3.414
416,0.508
417,0.375
418,0.318
419,0.394
420,0.358
421,0.429
422,0.304
423,0.401
424,0.335
425,0.842
426,3.279
427,0.561
428,2.049
429,0.733
430,2.06
431,0.278
432,4.864
433,0.502
434,0.356
435,5.04
436,0.524
437,0.412
438,0.479
439,0.505
440,0.926
441,0.524
442,0.684
443,0.427
444,0.416
445,0.469
446,0.576
447,2.221
448,0.274
449,0.457
450,0.088
451,1.734
452,2.881
453,3.488
454,4.638
455,0.348
456,0.77
457,0.419
458,0.375
459,0.6
460,0.3
461,0.693
462,0.331
463,0.592
464,0.497
465,0.542
466,0.471
467,1.876
468,0.297
469,0.501
470,0.112
471,0.856
472,0.775
473,0.271
474,0.083
475,0.132
476,0.727
477,0.103
478,0.083
479,3.768
480,2.083
481,0.745
482,0.842
483,0.676
484,1.233
485,2.502
486,0.623
487,0.246
488,0.72
489,0.887
490,0.761
491,2.511
492,0.351
493,0.77
494,1.362
495,0.16
496,3.085
497,0.564
498,2.76
499,0.294
500,0.495
501,0.907
502,0.124
503,0.116
504,3.756
505,0.361
506,0.432
507,0.413
508,0.201
509,2.376
510,0.356
511,0.306
512,0.265
513,0.681
514,0.343
515,0.273
516,0.259
517,0.231
518,0.232
519,0.299
520,0.304
521,2.09
522,0.245
523,2.284
524,0.189
525,1.231
526,2.024
527,0.509
528,3.558
529,0.535
530,1.48
531,0.204
532,0.292
533,2.97
534,0.324
535,0.302
536,0.308
537,0.346
538,0.287
539,0.283
540,2.153
541,0.327
542,0.166
543,0.299
544,0.316
545,0.21
546,1.112
547,1.279
548,0.127
549,1.055
550,1.781
551,0.589
552,2.094
553,4.333
554,0.417
555,0.465
556,0.352
557,0.352
558,0.369
559,1.763
560,0.197
561,0.203
562,0.234
563,0.167
564,0.425
565,0.91
566,0.185
567,0.231
568,0.567
569,0.465
570,0.161
571,0.476
572,2.856
573,0.343
574,0.395
575,0.32
576,0.242
577,1.863
578,0.18
579,4.585
580,0.576
581,0.585
582,0.675
583,0.558
584,0.531
585,0.416
586,0.492
587,0.613
588,0.446
589,0.392
590,0.69
591,0.504
592,0.436
593,0.602
594,0.634
595,0.447
596,0.595
597,0.551
598,3.208
599,0.243
600,0.421
601,0.228
602,0.322
603,0.913
604,1.864
605,0.328
606,0.657
607,2.468
608,0.222
609,0.301
610,0.144
611,3.775
612,0.314
613,0.276
614,0.32
615,0.343
616,0.288
617,0.431
618,0.449
619,0.411
620,0.363
621,0.434
622,2.02
623,0.215
624,1.726
625,0.26
626,1.971
627,0.255
628,0.107
629,0.205
630,1.349
631,4.154
632,0.441
633,0.452
634,0.422
635,0.457
636,0.425
637,0.469
638,0.813
639,0.4
640,0.454
641,0.389
642,0.412
643,0.443
644,1.934
645,0.265
646,0.999
647,3.126
648,2.474
649,0.292
650,0.291
651,1.284
652,0.922
653,4.425
654,0.458
655,0.477
656,1.181
657,0.483
658,0.45
659,0.497
660,0.411
661,0.375
662,0.416
663,0.4
664,0.393
665,0.439
666,0.434
667,0.501
668,0.291
669,0.633
670,1.872
671,3.142
672,0.399
673,0.239
674,0.263
675,2.167
676,0.587
677,2.438
678,1.177
679,1.605
680,0.293
681,4.609
682,3.911
683,0.468
684,0.425
685,0.373
686,0.399
687,0.347
688,1.107
689,0.473
690,0.52
691,0.487
692,0.342
693,0.336
694,0.445
695,0.408
696,0.434
697,1.029
698,0.388
699,0.46
700,0.383
701,0.448
702,0.439
703,0.411
704,0.434
705,0.282
706,0.404
707,0.452
708,0.399
709,0.392
710,2.707
711,1.891
712,0.466
713,0.093
714,0.26
715,0.864
716,1.366
717,0.225
718,0.177
719,1.45
720,2.981
721,0.293
722,1.951
723,0.326
724,0.249
725,3.821
726,3.019
727,0.453
728,3.355
729,2.895
730,1.891
731,0.192
732,1.092
733,3.346
734,0.39
735,0.346
736,0.859
737,0.174
738,2.5
739,3.228
740,0.285
741,0.265
742,0.333
743,2.295
744,0.261
745,1.146
746,1.858
747,2.187
748,1.722
749,1.084
750,2.908
751,2.01
752,2.575
753,0.273
754,0.677
755,0.141
756,0.597
757,2.457
758,2.834
759,0.319
760,0.419
761,0.27
762,0.249
763,4.192
764,0.449
765,0.537
766,2.29
767,0.59
768,0.142
769,1.651
770,3.218
771,0.316
772,0.241
773,0.453
774,0.354
775,0.39
776,0.429
777,0.374
778,0.375
779,0.285
780,0.4
781,3.084
782,0.31
783,0.373
784,0.363
785,0.454
786,0.661
787,0.317
788,0.315
789,1.272
790,1.509
791,0.257
792,2.413
793,1.572
794,2.323
795,0.293
796,5.857
797,0.501
798,0.463
799,0.478
800,0.506
801,1.205
802,1.497
803,1.894
804,0.239
805,1.992
806,1.613
807,3.035
808,0.347
809,0.257
810,0.521
811,0.401
812,0.493
813,0.405
814,0.356
815,0.31
816,3.051
817,0.363
818,1.663
819,6.389
820,0.483
821,0.691
822,0.648
823,7.081
824,0.757
825,0.509
826,0.66
827,0.524
828,0.515
829,0.521
830,0.879
831,0.93
832,0.69
833,0.721
834,0.566
835,0.669
836,1.272
837,0.204
838,2.946
839,0.27
840,0.557
841,0.091
842,0.645
843,0.948
844,0.149
845,1.317
846,0.15
847,0.215
848,0.819
849,3.187
850,1.932
851,0.235
852,0.252
853,2.969
854,0.457
855,0.322
856,0.39
857,0.296
