node,labels
0,0.389
1,8.204
2,0.47
3,9.934
4,25.599
5,5.092
6,0.271
7,1.254
8,7.564
9,4.647
10,92.857
11,2.306
12,2.365
13,5.162
14,20.259
15,6.351
16,43.345
17,129.995
18,83.23
19,42.711
20,27.228
21,4.88
22,8.902
23,67.722
24,45.907
25,0.977
26,92.587
27,10.274
28,69.784
29,3.592
30,3.761
31,1.517
32,1.079
33,113.169
34,0.71
35,1.362
36,0.054
37,0.858
38,36.708
39,49.87
40,12.181
41,123.479
42,43.521
43,0.072
44,25.542
45,3.098
46,36.955
47,4.725
48,1.474
49,0.048
50,41.992
51,6.095
52,0.496
53,6.905
54,4.291
55,19.256
56,1.394
57,0.474
58,76.903
59,0.045
60,0.048
61,0.111
62,10.427
63,42.019
64,20.711
65,21.531
66,72.423
67,17.161
68,6.608
69,6.742
70,68.054
71,6.135
72,10.874
73,48.396
74,35.193
75,17.716
76,13.936
77,19.45
78,6.205
79,122.694
80,2.143
81,139.296
82,120.461
83,2.849
84,8.46
85,123.213
86,95.242
87,113.077
88,76.329
89,142.315
90,79.348
91,46.272
92,36.71
93,9.046
94,73.683
95,108.671
96,93.469
97,37.264
98,38.408
99,52.388
100,38.439
101,14.607
102,4.571
103,130.195
104,28.818
105,12.633
106,124.95
107,116.371
108,36.878
109,122.107
110,111.084
111,127.041
112,54.335
113,101.253
114,130.828
115,38.726
116,15.201
117,5.516
118,58.462
119,32.384
120,2.456
121,21.529
122,2.699
123,119.757
124,120.264
125,94.003
126,88.725
127,138.91
128,89.451
129,81.486
130,5.818
131,25.22
132,46.554
133,11.942
134,73.447
135,25.469
136,98.464
137,13.436
138,20.861
139,128.243
140,39.69
141,59.437
142,88.723
143,56.036
144,77.987
145,8.468
146,53.012
147,14.271
148,16.846
149,11.436
150,59.303
151,71.777
152,44.031
153,37.02
154,10.685
155,0.741
156,30.692
157,37.316
158,100.346
159,106.338
160,19.67
161,101.036
162,66.596
163,58.288
164,109.833
165,10.846
166,109.464
167,4.057
168,102.807
169,47.249
170,53.834
171,114.548
172,7.715
173,76.502
174,21.414
175,4.156
176,112.771
177,69.483
