node,labels
0,0.389
1,8.204
2,0.47
3,9.934
4,25.599
5,5.092
6,0.271
7,1.254
8,7.564
9,4.647
10,92.857
11,2.306
12,2.365
13,5.162
14,20.259
15,6.351
16,43.345
17,129.995
18,83.23
19,42.711
20,27.228
21,4.88
22,8.902
23,67.722
24,45.907
25,0.977
26,92.587
27,10.274
28,69.784
29,3.592
30,3.761
31,1.517
32,1.079
33,113.169
34,0.71
35,1.362
36,0.054
37,0.858
38,36.708
39,49.87
40,12.181
41,123.479
42,43.521
43,0.072
44,25.542
45,3.098
46,36.955
47,4.725
48,1.474
49,0.048
50,41.992
51,6.095
52,0.496
53,6.905
54,4.291
55,19.256
56,1.394
57,0.474
58,76.903
59,0.111
60,10.427
61,42.019
62,20.711
63,21.531
64,72.423
65,17.161
66,6.608
67,6.742
68,68.054
69,6.135
70,10.874
71,48.396
72,35.193
73,17.716
74,13.936
75,19.45
76,6.205
77,122.694
78,2.143
79,139.296
80,120.461
81,2.849
82,8.46
83,123.213
84,95.242
85,113.077
86,76.329
87,142.315
88,79.348
89,46.272
90,36.71
91,9.046
92,73.683
93,108.671
94,93.469
95,37.264
96,38.408
97,52.388
98,38.439
99,14.607
100,4.571
101,130.195
102,28.818
103,12.633
104,124.95
105,116.371
106,36.878
107,122.107
108,111.084
109,127.041
110,54.335
111,101.253
112,130.828
113,38.726
114,15.201
115,5.516
116,58.462
117,32.384
118,2.456
119,21.529
120,2.699
121,119.757
122,120.264
123,94.003
124,88.725
125,138.91
126,89.451
127,81.486
128,5.818
129,25.22
130,46.554
131,11.942
132,73.447
133,25.469
134,98.464
135,13.436
136,20.861
137,128.243
138,39.69
139,59.437
140,88.723
141,56.036
142,77.987
143,8.468
144,53.012
145,14.271
146,16.846
147,11.436
148,59.303
149,71.777
150,44.031
151,37.02
152,10.685
153,0.741
154,30.692
155,37.316
156,100.346
157,106.338
158,19.67
159,101.036
160,66.596
161,58.288
162,109.833
163,10.846
164,109.464
165,4.057
166,102.807
167,47.249
168,53.834
169,114.548
170,7.715
171,76.502
172,21.414
173,4.156
174,112.771
175,69.483
176,101.124
177,111.278
