node,labels
0,18.487
1,11.251
2,8.235
3,15.479
4,12.223
5,17.739
6,15.706
8,15.109
9,10.739
10,14.727
11,12.405
13,11.84
14,11.342
16,14.282
19,11.183
20,8.516
22,9.793
23,10.668
25,12.664
27,10.263
28,8.184
31,9.616
36,7.987
41,7.317
42,7.105
46,9.391
49,6.722
7,14.07
17,10.417
12,11.233
15,11.661
18,9.978
26,8.528
29,10.01
30,10.714
33,7.9
38,7.095
21,8.919
37,9.904
40,9.759
43,7.639
45,7.478
39,8.189
47,7.227
24,7.73
48,6.986
44,5.944
35,7.953
32,7.804
34,5.791
