,u,v
0,0,1
1,0,2
2,0,3
3,0,4
4,0,8
5,0,9
6,0,11
7,0,12
8,0,13
9,0,14
10,0,15
11,0,17
12,0,23
13,0,37
14,0,41
15,0,42
16,0,45
17,0,54
18,0,57
19,0,65
20,0,78
21,0,82
22,0,84
23,0,98
24,0,112
25,0,124
26,0,135
27,0,146
28,0,151
29,0,155
30,0,157
31,0,159
32,0,166
33,0,188
34,0,205
35,0,219
36,0,231
37,0,258
38,0,259
39,0,265
40,0,268
41,0,278
42,0,286
43,0,319
44,0,328
45,0,338
46,0,373
47,0,392
48,0,393
49,0,415
50,0,433
51,0,436
52,0,441
53,0,446
54,0,548
55,0,606
56,0,629
57,0,639
58,0,728
59,0,756
60,0,757
61,0,762
62,0,819
63,0,835
64,0,860
65,0,870
66,0,901
67,0,911
68,0,934
69,0,977
70,0,991
71,1,7
72,1,12
73,1,26
74,1,27
75,1,28
76,1,45
77,1,69
78,1,220
79,1,256
80,1,329
81,1,344
82,1,349
83,1,373
84,1,594
85,1,598
86,1,663
87,1,790
88,1,900
89,1,978
90,2,3
91,2,4
92,2,5
93,2,6
94,2,10
95,2,15
96,2,16
97,2,20
98,2,25
99,2,27
100,2,41
101,2,46
102,2,62
103,2,68
104,2,70
105,2,81
106,2,86
107,2,94
108,2,117
109,2,144
110,2,150
111,2,191
112,2,220
113,2,279
114,2,350
115,2,418
116,2,444
117,2,456
118,2,498
119,2,550
120,2,608
121,2,626
122,2,688
123,2,712
124,2,767
125,2,805
126,2,858
127,2,899
128,3,5
129,3,6
130,3,8
131,3,10
132,3,14
133,3,16
134,3,19
135,3,23
136,3,28
137,3,33
138,3,34
139,3,36
140,3,39
141,3,43
142,3,48
143,3,62
144,3,70
145,3,71
146,3,94
147,3,101
148,3,106
149,3,115
150,3,117
151,3,125
152,3,141
153,3,147
154,3,149
155,3,157
156,3,158
157,3,159
158,3,166
159,3,169
160,3,172
161,3,175
162,3,199
163,3,213
164,3,229
165,3,260
166,3,285
167,3,292
168,3,293
169,3,299
170,3,312
171,3,327
172,3,345
173,3,362
174,3,363
175,3,377
176,3,381
177,3,396
178,3,399
179,3,401
180,3,435
181,3,453
182,3,458
183,3,475
184,3,494
185,3,506
186,3,520
187,3,523
188,3,524
189,3,539
190,3,557
191,3,570
192,3,576
193,3,613
194,3,626
195,3,628
196,3,700
197,3,750
198,3,754
199,3,774
200,3,841
201,3,854
202,3,879
203,3,891
204,3,904
205,3,969
206,3,976
207,3,993
208,4,55
209,4,354
210,4,681
211,4,985
212,5,11
213,5,127
214,5,200
215,5,216
216,5,257
217,5,361
218,5,394
219,5,655
220,5,705
221,5,788
222,5,793
223,5,953
224,5,995
225,6,7
226,6,9
227,6,13
228,6,17
229,6,29
230,6,32
231,6,33
232,6,89
233,6,92
234,6,93
235,6,95
236,6,130
237,6,137
238,6,167
239,6,184
240,6,191
241,6,212
242,6,227
243,6,230
244,6,243
245,6,271
246,6,343
247,6,382
248,6,414
249,6,480
250,6,484
