node,labels
0,61.906
1,32.777
2,55.179
3,67.294
4,20.601
5,35.817
6,36.027
7,22.696
8,31.184
9,23.753
10,17.625
11,34.723
12,23.006
13,18.434
14,13.047
15,16.887
16,13.033
17,19.1
18,21.143
19,12.579
20,20.272
21,15.771
22,16.977
23,20.777
24,16.837
25,15.08
26,17.986
27,23.194
28,11.079
29,17.749
30,14.962
31,18.564
32,18.309
33,19.752
34,12.106
35,15.103
36,15.388
37,11.961
38,13.003
39,16.107
40,14.986
41,11.44
42,17.521
43,11.105
44,10.916
45,11.921
46,17.012
47,14.157
48,13.185
49,12.82
50,13.917
51,14.864
52,13.186
53,14.038
54,10.681
55,11.77
56,9.575
57,13.455
58,11.865
59,11.349
60,10.896
61,10.134
62,12.044
63,11.631
64,12.836
65,9.8
66,15.34
67,11.567
68,10.954
69,10.226
70,13.166
71,14.558
72,19.987
73,28.339
74,16.199
75,28.017
76,10.715
77,11.655
78,6.004
79,7.592
80,7.582
81,6.722
82,8.635
83,7.035
84,5.629
85,10.251
86,8.088
87,11.557
88,26.742
89,46.657
90,34.169
91,31.076
92,36.076
93,15.691
94,16.707
95,18.074
96,14.359
97,16.683
98,15.017
99,13.3
100,18.178
101,19.685
102,10.322
103,12.538
104,17.382
105,13.667
106,14.554
107,10.575
108,15.469
109,10.335
110,10.185
111,7.702
112,9.364
113,17.227
114,10.477
115,10.828
116,9.93
117,9.875
118,9.857
119,8.143
120,30.6
121,26.602
122,26.042
123,18.399
124,14.756
125,20.238
126,22.572
127,21.79
128,18.431
129,18.247
130,11.803
131,12.288
132,15.814
133,21.515
134,13.392
135,14.453
136,13.987
137,15.985
138,12.885
139,13.311
140,15.347
141,10.842
142,20.133
143,14.572
144,15.97
145,17.132
146,15.116
147,14.627
148,13.084
149,13.949
150,10.89
151,16.461
152,10.2
153,15.073
154,13.976
155,12.043
156,11.954
157,14.903
158,12.392
159,10.566
160,12.741
161,12.651
162,11.249
163,11.577
164,10.759
165,13.046
166,12.59
167,11.325
168,13.519
169,13.036
170,12.729
171,10.672
172,14.245
173,14.282
174,13.651
175,16.715
176,11.579
177,11.749
178,10.453
179,11.575
180,16.65
181,11.835
182,13.523
183,10.336
184,11.481
185,5.833
186,6.757
187,4.845
188,10.327
189,8.701
190,8.268
191,8.782
192,11.249
193,7.122
194,10.096
195,5.124
196,3.948
197,5.988
198,11.991
199,5.253
200,9.868
201,27.917
202,13.556
203,9.675
204,13.816
205,15.447
206,20.501
207,17.159
208,13.089
209,11.602
210,12.19
211,8.824
212,10.447
213,14.074
214,13.624
215,12.44
216,10.192
217,10.965
218,10.098
219,7.324
220,13.884
221,9.061
222,9.798
223,7.827
224,8.4
225,9.64
226,11.778
227,10.574
228,8.064
229,9.257
230,9.45
231,31.298
232,4.044
233,5.914
234,7.077
235,6.853
236,5.76
237,7.4
238,15.609
239,17.832
240,7.679
241,8.115
242,8.072
243,6.688
244,10.208
245,7.781
246,13.727
247,10.389
248,8.334
249,6.666
250,8.027
251,8.594
252,11.245
253,6.351
254,39.237
255,33.366
256,12.074
257,10.803
258,22.952
259,15.143
260,11.472
261,10.694
262,16.233
263,12.733
264,15.496
265,6.997
266,11.924
267,9.901
268,11.778
269,8.362
270,7.241
271,10.764
272,9.787
273,7.686
274,7.465
275,10.838
276,7.77
277,9.834
278,7.455
279,9.423
280,6.463
281,9.971
282,8.815
283,6.576
284,8.995
285,7.378
286,7.606
287,8.165
288,7.566
289,8.944
290,8.288
291,6.44
292,7.565
293,7.976
294,5.949
295,10.681
296,4.41
297,5.61
298,5.814
299,6.726
300,5.773
301,6.738
302,6.023
303,7.804
304,7.328
305,7.542
306,16.071
307,13.167
308,13.685
309,13.197
310,9.108
311,5.457
312,5.833
313,5.189
314,6.505
315,12.086
316,11.69
317,10.854
318,6.038
319,5.788
320,5.254
321,5.612
322,13.056
323,11.743
324,14.702
325,11.457
326,11.504
327,9.013
328,8.633
329,7.699
330,7.26
331,7.902
332,7.399
333,12.588
334,14.206
335,11.968
336,9.243
337,8.356
338,8.972
339,7.23
340,5.439
341,6.036
342,7.644
343,7.742
344,6.747
345,6.352
346,12.536
347,9.483
348,4.792
349,4.013
350,3.98
351,13.44
352,11.969
353,11.814
354,9.537
355,7.56
356,11.06
357,8.686
358,7.116
359,8.127
360,9.14
361,9.841
362,8.482
363,7.551
364,7.358
365,7.739
366,6.737
367,9.5
368,7.201
369,9.114
370,6.34
371,6.737
372,10.083
373,7.789
374,13.54
375,23.299
376,12.988
377,8.566
378,8.092
379,8.544
380,6.679
381,5.226
382,5.636
383,6.813
384,9.362
385,6.932
386,24.772
387,15.57
388,10.455
389,19.508
390,6.22
391,9.273
392,10.389
393,11.489
394,9.142
395,9.12
396,9.636
397,8.616
398,7.321
399,9.982
400,8.457
401,8.828
402,6.89
403,8.157
404,8.252
405,7.073
406,7.807
407,7.269
408,24.198
409,12.098
410,12.965
411,12.307
412,13.798
413,10.297
414,16.584
415,8.912
416,7.68
417,8.42
418,8.0
419,8.614
420,7.635
421,9.366
422,8.524
423,7.14
424,8.457
425,7.088
426,9.275
427,4.911
428,4.918
429,6.957
430,8.778
431,8.642
432,5.005
433,11.611
434,4.804
435,3.087
436,17.808
437,10.96
438,7.423
439,13.603
440,9.069
441,8.241
442,6.91
443,8.26
444,6.593
445,8.091
446,7.348
447,5.114
448,5.444
449,6.756
450,5.634
451,5.066
452,3.054
453,3.343
454,3.993
455,5.831
456,3.607
457,15.366
458,7.001
459,18.043
460,9.77
461,7.129
462,6.134
463,9.574
464,7.142
465,5.558
466,5.808
467,8.015
468,6.73
469,6.581
470,6.037
471,9.401
472,6.789
473,8.672
474,7.03
475,7.924
476,5.75
477,8.686
478,12.631
479,7.341
480,9.626
481,12.648
482,11.417
483,7.789
484,8.132
485,7.094
486,8.887
487,6.823
488,6.953
489,7.071
490,9.158
491,12.652
492,7.226
493,5.867
494,7.149
495,8.443
496,6.386
